network_method	network_db	network_cutoff	experiment_info	module	source	term_id	p_value	row_rank_p	mcc	row_rank_mcc	term_name	top_go	top_kegg	top_reac
K1	cpdb	0.6	network_modules	1	REAC	REAC:R-HSA-2187338	1.2368945234325157e-4	1	0.17510407095771763	1	Visual phototransduction	-	-	REAC:R-HSA-2187338
K1	cpdb	0.6	network_modules	1	GO:BP	GO:0007601	2.5299793112321594e-4	1	0.15015319828745174	1	visual perception	GO:0007601	-	-
K1	cpdb	0.6	network_modules	2	KEGG	KEGG:04061	1.7110038470841952e-51	1	0.5130723851264599	1	Viral protein interaction with cytokine and cytokine receptor	-	KEGG:04061	-
K1	cpdb	0.6	network_modules	2	REAC	REAC:R-HSA-380108	4.3936689093546814e-49	1	0.606511258031503	1	Chemokine receptors bind chemokines	-	-	REAC:R-HSA-380108
K1	cpdb	0.6	network_modules	2	GO:BP	GO:0070098	5.5367456038221094e-49	1	0.5259651908759975	1	chemokine-mediated signaling pathway	GO:0070098	-	-
K1	cpdb	0.6	network_modules	2	GO:BP	GO:1990869	1.175102546077527e-47	2	0.4973356877553848	2	cellular response to chemokine	GO:0070098	-	-
K1	cpdb	0.6	network_modules	2	GO:BP	GO:1990868	1.175102546077527e-47	3	0.4973356877553848	3	response to chemokine	GO:0070098	-	-
K1	cpdb	0.6	network_modules	2	GO:BP	GO:0006935	1.054586294463684e-43	4	0.27029997320485155	16	chemotaxis	GO:0070098	-	-
K1	cpdb	0.6	network_modules	2	GO:BP	GO:0042330	1.054586294463684e-43	5	0.27029997320485155	17	taxis	GO:0070098	-	-
K1	cpdb	0.6	network_modules	2	GO:BP	GO:0071621	1.9873419046099474e-43	6	0.4127622615008562	6	granulocyte chemotaxis	GO:0070098	-	-
K1	cpdb	0.6	network_modules	2	KEGG	KEGG:04062	7.376215549516229e-43	2	0.3663016232257792	2	Chemokine signaling pathway	-	KEGG:04061	-
K1	cpdb	0.6	network_modules	2	GO:BP	GO:0030593	1.2919462169629152e-42	7	0.43431360026904653	4	neutrophil chemotaxis	GO:0070098	-	-
K1	cpdb	0.6	network_modules	2	GO:BP	GO:0097530	7.675859216937727e-42	8	0.3838519039360767	9	granulocyte migration	GO:0070098	-	-
K1	cpdb	0.6	network_modules	2	GO:BP	GO:0060326	1.5355787814417308e-41	9	0.29472641220311563	13	cell chemotaxis	GO:0070098	-	-
K1	cpdb	0.6	network_modules	2	GO:BP	GO:1990266	5.625431822686332e-41	10	0.40212142220099373	7	neutrophil migration	GO:0070098	-	-
K1	cpdb	0.6	network_modules	2	KEGG	KEGG:04060	1.6745940716746797e-40	3	0.3053314298222134	3	Cytokine-cytokine receptor interaction	-	KEGG:04061	-
K1	cpdb	0.6	network_modules	2	GO:BP	GO:0097529	2.0941860396143173e-40	11	0.33029168514033436	11	myeloid leukocyte migration	GO:0070098	-	-
K1	cpdb	0.6	network_modules	2	GO:BP	GO:0030595	1.333868828124425e-39	12	0.3183351506183687	12	leukocyte chemotaxis	GO:0070098	-	-
K1	cpdb	0.6	network_modules	2	GO:BP	GO:0050900	1.4070239292982877e-37	13	0.26802853689125034	18	leukocyte migration	GO:0070098	-	-
K1	cpdb	0.6	network_modules	2	REAC	REAC:R-HSA-375276	7.767316513766306e-36	2	0.3256313051038803	2	Peptide ligand-binding receptors	-	-	REAC:R-HSA-380108
K1	cpdb	0.6	network_modules	2	GO:BP	GO:0048247	1.0101565594222085e-32	14	0.41686612509877913	5	lymphocyte chemotaxis	GO:0070098	-	-
K1	cpdb	0.6	network_modules	2	GO:BP	GO:0002548	1.220891505258869e-31	15	0.39096417141038614	8	monocyte chemotaxis	GO:0070098	-	-
K1	cpdb	0.6	network_modules	2	GO:BP	GO:0072676	1.0980308419502396e-30	16	0.334859101322028	10	lymphocyte migration	GO:0070098	-	-
K1	cpdb	0.6	network_modules	2	REAC	REAC:R-HSA-373076	1.1892657258688295e-30	3	0.24936935913920613	3	Class A/1 (Rhodopsin-like receptors)	-	-	REAC:R-HSA-380108
K1	cpdb	0.6	network_modules	2	GO:BP	GO:0019221	2.6585649587589206e-29	17	0.20854553146736227	21	cytokine-mediated signaling pathway	GO:0070098	-	-
K1	cpdb	0.6	network_modules	2	GO:BP	GO:0006954	7.070284418109384e-28	18	0.18164459528612734	22	inflammatory response	GO:0070098	-	-
