network_method	network_db	network_cutoff	experiment_info	module	source	term_id	p_value	row_rank_p	mcc	row_rank_mcc	term_name	top_go	top_kegg	top_reac
K1	cpdb	0.7	network_modules	1	GO:BP	GO:0140053	2.0110805080106585e-40	1	0.26681147159195256	1	mitochondrial gene expression	GO:0140053	-	-
K1	cpdb	0.7	network_modules	1	REAC	REAC:R-HSA-1428517	1.2145139904208714e-13	1	0.14778539279876673	1	Aerobic respiration and respiratory electron transport	-	-	REAC:R-HSA-1428517
K1	cpdb	0.7	network_modules	1	KEGG	KEGG:00970	1.3955744532463244e-9	1	0.18667176163582688	1	Aminoacyl-tRNA biosynthesis	-	KEGG:00970	-
K1	cpdb	0.7	network_modules	2	GO:BP	GO:0052695	1.789870150729089e-15	1	0.5342744877317185	1	cellular glucuronidation	GO:0052695	-	-
K1	cpdb	0.7	network_modules	2	REAC	REAC:R-HSA-156588	1.612578702647864e-14	1	0.48947117875359203	1	Glucuronidation	-	-	REAC:R-HSA-156588
K1	cpdb	0.7	network_modules	2	KEGG	KEGG:00053	5.629739396914286e-14	1	0.4465801481628934	1	Ascorbate and aldarate metabolism	-	KEGG:00053	-
K1	cpdb	0.7	network_modules	3	REAC	REAC:R-HSA-6805567	4.2409416410117475e-32	1	0.2680673250405508	1	Keratinization	-	-	REAC:R-HSA-6805567
K1	cpdb	0.7	network_modules	4	REAC	REAC:R-HSA-8948216	5.590378491028293e-23	1	0.41357364660117696	1	Collagen chain trimerization	-	-	REAC:R-HSA-8948216
K1	cpdb	0.7	network_modules	4	GO:BP	GO:0030198	1.6382125096513946e-20	1	0.2010468806836369	1	extracellular matrix organization	GO:0030198	-	-
K1	cpdb	0.7	network_modules	5	KEGG	KEGG:04061	1.7110038470841952e-51	1	0.5130723851264599	1	Viral protein interaction with cytokine and cytokine receptor	-	KEGG:04061	-
K1	cpdb	0.7	network_modules	5	REAC	REAC:R-HSA-380108	4.3936689093546814e-49	1	0.606511258031503	1	Chemokine receptors bind chemokines	-	-	REAC:R-HSA-380108
K1	cpdb	0.7	network_modules	5	GO:BP	GO:0070098	5.5367456038221094e-49	1	0.5259651908759975	1	chemokine-mediated signaling pathway	GO:0070098	-	-
K1	cpdb	0.7	network_modules	6	REAC	REAC:R-HSA-629597	1.907050094130242e-14	1	0.7452193552865911	1	Highly calcium permeable nicotinic acetylcholine receptors	-	-	REAC:R-HSA-629597
K1	cpdb	0.7	network_modules	6	GO:BP	GO:0007271	2.64436498179753e-12	1	0.46599282217327354	1	synaptic transmission, cholinergic	GO:0007271	-	-
K1	cpdb	0.7	network_modules	7	REAC	REAC:R-HSA-1592389	1.7728337845841875e-34	3	0.5217152013026768	1	Activation of Matrix Metalloproteinases	-	-	REAC:R-HSA-1592389
K1	cpdb	0.7	network_modules	7	GO:BP	GO:0030574	8.75656505219584e-32	1	0.44337802164571544	1	collagen catabolic process	GO:0030574	-	-
K1	cpdb	0.7	network_modules	8	REAC	REAC:R-HSA-1296072	3.1342757162222643e-24	1	0.48338530108464195	1	Voltage gated Potassium channels	-	-	REAC:R-HSA-1296072
K1	cpdb	0.7	network_modules	8	GO:BP	GO:0071805	3.818962692620605e-21	1	0.2547155637547786	1	potassium ion transmembrane transport	GO:0071805	-	-
K1	cpdb	0.7	network_modules	9	GO:BP	GO:0033141	6.851613716542827e-27	1	0.6739286983279091	1	positive regulation of peptidyl-serine phosphorylation of STAT protein	GO:0033141	-	-
K1	cpdb	0.7	network_modules	9	REAC	REAC:R-HSA-912694	9.669895192550296e-25	1	0.6149549656223064	1	Regulation of IFNA/IFNB signaling	-	-	REAC:R-HSA-912694
K1	cpdb	0.7	network_modules	9	KEGG	KEGG:04622	5.3489544499193067e-20	1	0.37394010036682895	1	RIG-I-like receptor signaling pathway	-	KEGG:04622	-
K1	cpdb	0.7	network_modules	10	GO:BP	GO:0014826	4.109978563309067e-8	2	0.6707305111188623	1	vein smooth muscle contraction	GO:0014826	-	-
K1	cpdb	0.7	network_modules	12	GO:BP	GO:0035720	1.0706540032731328e-26	1	0.6801359373778403	1	intraciliary anterograde transport	GO:0035720	-	-
K1	cpdb	0.7	network_modules	12	REAC	REAC:R-HSA-5620924	5.211116514584586e-23	1	0.43109286594826407	1	Intraflagellar transport	-	-	REAC:R-HSA-5620924
K1	cpdb	0.7	network_modules	14	KEGG	KEGG:05218	4.9134085190777816e-14	1	0.29641408855996737	1	Melanoma	-	KEGG:05218	-
K1	cpdb	0.7	network_modules	14	GO:BP	GO:0008543	9.603598977573759e-14	1	0.2725799057304982	1	fibroblast growth factor receptor signaling pathway	GO:0008543	-	-
K1	cpdb	0.7	network_modules	14	REAC	REAC:R-HSA-190241	9.340209569599472e-13	1	0.4322977735003722	1	FGFR2 ligand binding and activation	-	-	REAC:R-HSA-190241
