network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes
K1	cpdb	0.9	network_modules	2	TRUE	2.2788231600950095e-54	215	65	42	0.6461538461538462	0.19534883720930232	REAC:R-HSA-6805567	REAC	Keratinization	10916	1288		0	0.1111111111111111	215	10701	42	23	173	10678	10916	0.3489360673818559	1	GO:0050789	ENSG00000064989;ENSG00000131477;ENSG00000122679;ENSG00000134516;ENSG00000184371;ENSG00000272804;ENSG00000168918;ENSG00000100065;ENSG00000241123;ENSG00000212935;ENSG00000244537;ENSG00000187766;ENSG00000221837;ENSG00000008197;ENSG00000186925;ENSG00000182591;ENSG00000153048;ENSG00000171396;ENSG00000187272;ENSG00000254997;ENSG00000204571;ENSG00000240432;ENSG00000188155;ENSG00000205867;ENSG00000186965;ENSG00000221864;ENSG00000241595;ENSG00000244411;ENSG00000197683;ENSG00000244362;ENSG00000186970;ENSG00000205439;ENSG00000153060;ENSG00000213416;ENSG00000186930;ENSG00000184492;ENSG00000243489;ENSG00000196811;ENSG00000204873;ENSG00000278620;ENSG00000186564;ENSG00000100246;ENSG00000119508;ENSG00000072121;ENSG00000187026;ENSG00000171431;ENSG00000188581;ENSG00000263090;ENSG00000184724;ENSG00000187175;ENSG00000186510;ENSG00000172155;ENSG00000182816;ENSG00000212899;ENSG00000212933;ENSG00000187559;ENSG00000243335;ENSG00000230989;ENSG00000008118;ENSG00000170122;ENSG00000221859;ENSG00000198271;ENSG00000125409;ENSG00000135124;ENSG00000132677;ENSG00000162512;ENSG00000137868;ENSG00000159267;ENSG00000213417;ENSG00000105497;ENSG00000138435;ENSG00000135902;ENSG00000108556;ENSG00000183049;ENSG00000215455;ENSG00000213934;ENSG00000198390;ENSG00000212938;ENSG00000198443;ENSG00000262347
K1	cpdb	0.9	network_modules	2	TRUE	7.238457911627569e-5	4	38	3	0.07894736842105263	0.75	GO:1990410	GO:BP	adrenomedullin receptor signaling pathway	16175	25158		0.125	0.2222222222222222	4	16171	3	35	1	16136	16175	0.24288538905699725	2	GO:0050789	ENSG00000064989;ENSG00000131477;ENSG00000122679;ENSG00000134516;ENSG00000184371;ENSG00000272804;ENSG00000168918;ENSG00000100065;ENSG00000241123;ENSG00000212935;ENSG00000244537;ENSG00000187766;ENSG00000221837;ENSG00000008197;ENSG00000186925;ENSG00000182591;ENSG00000153048;ENSG00000171396;ENSG00000187272;ENSG00000254997;ENSG00000204571;ENSG00000240432;ENSG00000188155;ENSG00000205867;ENSG00000186965;ENSG00000221864;ENSG00000241595;ENSG00000244411;ENSG00000197683;ENSG00000244362;ENSG00000186970;ENSG00000205439;ENSG00000153060;ENSG00000213416;ENSG00000186930;ENSG00000184492;ENSG00000243489;ENSG00000196811;ENSG00000204873;ENSG00000278620;ENSG00000186564;ENSG00000100246;ENSG00000119508;ENSG00000072121;ENSG00000187026;ENSG00000171431;ENSG00000188581;ENSG00000263090;ENSG00000184724;ENSG00000187175;ENSG00000186510;ENSG00000172155;ENSG00000182816;ENSG00000212899;ENSG00000212933;ENSG00000187559;ENSG00000243335;ENSG00000230989;ENSG00000008118;ENSG00000170122;ENSG00000221859;ENSG00000198271;ENSG00000125409;ENSG00000135124;ENSG00000132677;ENSG00000162512;ENSG00000137868;ENSG00000159267;ENSG00000213417;ENSG00000105497;ENSG00000138435;ENSG00000135902;ENSG00000108556;ENSG00000183049;ENSG00000215455;ENSG00000213934;ENSG00000198390;ENSG00000212938;ENSG00000198443;ENSG00000262347
K1	cpdb	0.9	network_modules	2	TRUE	2.2975864828525517e-4	12	65	4	0.06153846153846154	0.3333333333333333	REAC:R-HSA-622323	REAC	Presynaptic nicotinic acetylcholine receptors	10916	1792		0.25	0.3333333333333333	12	10904	4	61	8	10843	10916	0.14116277358284166	3	GO:0050789	ENSG00000064989;ENSG00000131477;ENSG00000122679;ENSG00000134516;ENSG00000184371;ENSG00000272804;ENSG00000168918;ENSG00000100065;ENSG00000241123;ENSG00000212935;ENSG00000244537;ENSG00000187766;ENSG00000221837;ENSG00000008197;ENSG00000186925;ENSG00000182591;ENSG00000153048;ENSG00000171396;ENSG00000187272;ENSG00000254997;ENSG00000204571;ENSG00000240432;ENSG00000188155;ENSG00000205867;ENSG00000186965;ENSG00000221864;ENSG00000241595;ENSG00000244411;ENSG00000197683;ENSG00000244362;ENSG00000186970;ENSG00000205439;ENSG00000153060;ENSG00000213416;ENSG00000186930;ENSG00000184492;ENSG00000243489;ENSG00000196811;ENSG00000204873;ENSG00000278620;ENSG00000186564;ENSG00000100246;ENSG00000119508;ENSG00000072121;ENSG00000187026;ENSG00000171431;ENSG00000188581;ENSG00000263090;ENSG00000184724;ENSG00000187175;ENSG00000186510;ENSG00000172155;ENSG00000182816;ENSG00000212899;ENSG00000212933;ENSG00000187559;ENSG00000243335;ENSG00000230989;ENSG00000008118;ENSG00000170122;ENSG00000221859;ENSG00000198271;ENSG00000125409;ENSG00000135124;ENSG00000132677;ENSG00000162512;ENSG00000137868;ENSG00000159267;ENSG00000213417;ENSG00000105497;ENSG00000138435;ENSG00000135902;ENSG00000108556;ENSG00000183049;ENSG00000215455;ENSG00000213934;ENSG00000198390;ENSG00000212938;ENSG00000198443;ENSG00000262347
K1	cpdb	0.9	network_modules	3	TRUE	1.8416062025729393e-18	21	7	7	1	0.3333333333333333	GO:0052695	GO:BP	cellular glucuronidation	16175	14152		0	0.016666666666666666	21	16154	7	0	14	16154	16175	0.5771002489555422	1	GO:0042440;GO:0006805;GO:0006082;GO:0050896	ENSG00000241635;ENSG00000244122;ENSG00000167165;ENSG00000242515;ENSG00000244474;ENSG00000242366;ENSG00000241119;ENSG00000243135
K1	cpdb	0.9	network_modules	3	TRUE	3.882719743757972e-18	23	7	7	1	0.30434782608695654	GO:0006063	GO:BP	uronic acid metabolic process	16175	1930		0.01694915254237288	0.05	23	16152	7	0	16	16152	16175	0.5514042443682814	2.5	GO:0042440;GO:0006805;GO:0006082;GO:0050896	ENSG00000241635;ENSG00000244122;ENSG00000167165;ENSG00000242515;ENSG00000244474;ENSG00000242366;ENSG00000241119;ENSG00000243135
K1	cpdb	0.9	network_modules	3	TRUE	3.882719743757972e-18	23	7	7	1	0.30434782608695654	GO:0019585	GO:BP	glucuronate metabolic process	16175	5912		0.01694915254237288	0.05	23	16152	7	0	16	16152	16175	0.5514042443682814	2.5	GO:0042440;GO:0006805;GO:0006082;GO:0050896	ENSG00000241635;ENSG00000244122;ENSG00000167165;ENSG00000242515;ENSG00000244474;ENSG00000242366;ENSG00000241119;ENSG00000243135
K1	cpdb	0.9	network_modules	3	TRUE	3.129293750588103e-17	25	7	7	1	0.28	REAC:R-HSA-156588	REAC	Glucuronidation	10916	1054		0.05084745762711865	0.06666666666666667	25	10891	7	0	18	10891	10916	0.528713529380484	4	GO:0042440;GO:0006805;GO:0006082;GO:0050896	ENSG00000241635;ENSG00000244122;ENSG00000167165;ENSG00000242515;ENSG00000244474;ENSG00000242366;ENSG00000241119;ENSG00000243135
K1	cpdb	0.9	network_modules	3	TRUE	1.5782255436281903e-16	30	7	7	1	0.23333333333333334	KEGG:00053	KEGG	Ascorbate and aldarate metabolism	8484	8		0.06779661016949153	0.08333333333333333	30	8454	7	0	23	8454	8484	0.4823901405803703	5	GO:0042440;GO:0006805;GO:0006082;GO:0050896	ENSG00000241635;ENSG00000244122;ENSG00000167165;ENSG00000242515;ENSG00000244474;ENSG00000242366;ENSG00000241119;ENSG00000243135
K1	cpdb	0.9	network_modules	3	TRUE	6.471422441317484e-16	36	7	7	1	0.19444444444444445	KEGG:00040	KEGG	Pentose and glucuronate interconversions	8484	5		0.0847457627118644	0.1	36	8448	7	0	29	8448	8484	0.4402036412870379	6	GO:0042440;GO:0006805;GO:0006082;GO:0050896	ENSG00000241635;ENSG00000244122;ENSG00000167165;ENSG00000242515;ENSG00000244474;ENSG00000242366;ENSG00000241119;ENSG00000243135
K1	cpdb	0.9	network_modules	3	TRUE	2.4981294741913067e-15	43	7	7	1	0.16279069767441862	KEGG:00860	KEGG	Porphyrin metabolism	8484	128		0.1016949152542373	0.11666666666666667	43	8441	7	0	36	8441	8484	0.4026156486192828	7	GO:0042440;GO:0006805;GO:0006082;GO:0050896	ENSG00000241635;ENSG00000244122;ENSG00000167165;ENSG00000242515;ENSG00000244474;ENSG00000242366;ENSG00000241119;ENSG00000243135
