network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes
K1	humanbase	0.2	network_modules	13	TRUE	0.001060859996325265	81	15	4	0.26666666666666666	0.04938271604938271	GO:0007565	GO:BP	female pregnancy	16175	3043		0	0.3333333333333333	81	16094	4	11	77	16083	16175	0.1129354556075793	1	GO:0022414;GO:0032501	100129335;60676;5675;5678;80036;127707;139629;353135;84569;255330;283248;283629;728224;57053;3810;3770;440119;6540;93444;5030;5672;8687;5671;653240;8909;93034
K1	humanbase	0.2	network_modules	14	TRUE	1.715818928011445e-4	767	5	5	1	0.00651890482398957	GO:0006082	GO:BP	organic acid metabolic process	16175	1947		0	0.08333333333333333	767	15408	5	0	762	15408	16175	0.0788143766680624	1	GO:0050789;GO:0006082	116519;1558;2328;345;6822
K1	humanbase	0.2	network_modules	14	TRUE	2.635961144000946e-4	268	5	4	0.8	0.014925373134328358	GO:0016053	GO:BP	organic acid biosynthetic process	16175	5085		0.09090909090909091	0.16666666666666666	268	15907	4	1	264	15906	16175	0.10792290301837598	2	GO:0050789;GO:0006082	116519;1558;2328;345;6822
K1	humanbase	0.2	network_modules	14	TRUE	8.305496365212e-4	6	5	2	0.4	0.3333333333333333	GO:0010901	GO:BP	regulation of very-low-density lipoprotein particle remodeling	16175	4487		0.18181818181818182	0.25	6	16169	2	3	4	16166	16175	0.36493383771979027	3	GO:0050789;GO:0006082	116519;1558;2328;345;6822
K1	humanbase	0.2	network_modules	19	TRUE	3.6298236135179344e-10	354	23	12	0.5217391304347826	0.03389830508474576	REAC:R-HSA-9752946	REAC	Expression and translocation of olfactory receptors	10916	885		0	0.125	354	10562	12	11	342	10551	10916	0.12692956111810302	1	GO:0051606	1066;8338;127077;390538;641371;127068;353145;127069;4018;346528;388692;57232;139285;402317;9947;170482;317772;81300;219429;219431;219432;401667;279;283694;2952;6884;440686;9573;399671;54901
K1	humanbase	0.2	network_modules	19	TRUE	4.57746851445143e-10	361	23	12	0.5217391304347826	0.0332409972299169	REAC:R-HSA-381753	REAC	Olfactory Signaling Pathway	10916	1638		0.14285714285714285	0.25	361	10555	12	11	349	10544	10916	0.1255698099871558	2	GO:0051606	1066;8338;127077;390538;641371;127068;353145;127069;4018;346528;388692;57232;139285;402317;9947;170482;317772;81300;219429;219431;219432;401667;279;283694;2952;6884;440686;9573;399671;54901
K1	humanbase	0.2	network_modules	21	TRUE	0.00271917487129715	43	11	3	0.2727272727272727	0.06976744186046512	REAC:R-HSA-1296072	REAC	Voltage gated Potassium channels	10916	2663		0	0.5	43	10873	3	8	40	10865	10916	0.1362850292120363	1	NA	7545;440742;10242;152404;10251;11144;85449;4826;2166;23415;407738;64093;326;3750;3751;3952;4821;492;51560;827;8448;84502;8927;91355
K1	humanbase	0.2	network_modules	22	TRUE	2.7177470275328256e-20	13	7	7	1	0.5384615384615384	GO:0015671	GO:BP	oxygen transport	16175	4800		0	0.05263157894736842	13	16162	7	0	6	16162	16175	0.7336632153421802	1	GO:0015669;GO:0008152	3043;3039;3040;3047;3048;3049;3045
K1	humanbase	0.2	network_modules	22	TRUE	5.0401853965155e-19	18	7	7	1	0.3888888888888889	GO:0015669	GO:BP	gas transport	16175	4798		0.05555555555555555	0.10526315789473684	18	16157	7	0	11	16157	16175	0.6233973900323692	2	GO:0015669;GO:0008152	3043;3039;3040;3047;3048;3049;3045
K1	humanbase	0.2	network_modules	22	TRUE	5.481486697070062e-18	24	7	7	1	0.2916666666666667	GO:0042744	GO:BP	hydrogen peroxide catabolic process	16175	10337		0.1111111111111111	0.15789473684210525	24	16151	7	0	17	16151	16175	0.5397777236312955	3	GO:0015669;GO:0008152	3043;3039;3040;3047;3048;3049;3045
K1	humanbase	0.2	network_modules	22	TRUE	4.3926945206013065e-16	13	7	6	0.8571428571428571	0.46153846153846156	GO:0015670	GO:BP	carbon dioxide transport	16175	4799		0.16666666666666666	0.21052631578947367	13	16162	6	1	7	16161	16175	0.6287698808171058	4	GO:0015669;GO:0008152	3043;3039;3040;3047;3048;3049;3045
K1	humanbase	0.2	network_modules	22	TRUE	5.103554198040734e-16	43	7	7	1	0.16279069767441862	GO:0042743	GO:BP	hydrogen peroxide metabolic process	16175	10336		0.2222222222222222	0.2631578947368421	43	16132	7	0	36	16132	16175	0.40302385112077943	5	GO:0015669;GO:0008152	3043;3039;3040;3047;3048;3049;3045
K1	humanbase	0.2	network_modules	23	TRUE	2.958386412810421e-51	94	31	27	0.8709677419354839	0.2872340425531915	REAC:R-HSA-3214815	REAC	HDACs deacetylate histones	10916	1092		0	0.0078125	94	10822	27	4	67	10818	10916	0.4980802501509178	1	GO:0065003	8344;8351;8365;8349;3017;8347;8345;3006;8337;3012;8336;8361;8370;348801;8362;8343;85235;3007;3013;402569;8331;8346;8357;8969;554313;3018;5053;8335;8367;8329;8348;8353
K1	humanbase	0.2	network_modules	23	TRUE	9.076546885170978e-49	113	31	27	0.8709677419354839	0.23893805309734514	REAC:R-HSA-9610379	REAC	HCMV Late Events	10916	1090		0.007874015748031496	0.015625	113	10803	27	4	86	10799	10916	0.4537620232046772	2	GO:0065003	8344;8351;8365;8349;3017;8347;8345;3006;8337;3012;8336;8361;8370;348801;8362;8343;85235;3007;3013;402569;8331;8346;8357;8969;554313;3018;5053;8335;8367;8329;8348;8353
K1	humanbase	0.2	network_modules	23	TRUE	1.986099270294942e-46	135	31	27	0.8709677419354839	0.2	REAC:R-HSA-9609690	REAC	HCMV Early Events	10916	1088		0.015748031496062992	0.0234375	135	10781	27	4	108	10777	10916	0.4145958252558667	3	GO:0065003	8344;8351;8365;8349;3017;8347;8345;3006;8337;3012;8336;8361;8370;348801;8362;8343;85235;3007;3013;402569;8331;8346;8357;8969;554313;3018;5053;8335;8367;8329;8348;8353
K1	humanbase	0.2	network_modules	23	TRUE	2.4115392721839408e-46	132	29	27	0.9310344827586207	0.20454545454545456	KEGG:05322	KEGG	Systemic lupus erythematosus	8484	484		0.023622047244094488	0.03125	132	8352	27	2	105	8350	8484	0.433219009757204	4	GO:0065003	8344;8351;8365;8349;3017;8347;8345;3006;8337;3012;8336;8361;8370;348801;8362;8343;85235;3007;3013;402569;8331;8346;8357;8969;554313;3018;5053;8335;8367;8329;8348;8353
K1	humanbase	0.2	network_modules	23	TRUE	7.281581351197776e-46	141	31	27	0.8709677419354839	0.19148936170212766	REAC:R-HSA-3214847	REAC	HATs acetylate histones	10916	1087		0.031496062992125984	0.0390625	141	10775	27	4	114	10771	10916	0.4055319015619358	5	GO:0065003	8344;8351;8365;8349;3017;8347;8345;3006;8337;3012;8336;8361;8370;348801;8362;8343;85235;3007;3013;402569;8331;8346;8357;8969;554313;3018;5053;8335;8367;8329;8348;8353
