network_method	network_db	network_cutoff	experiment_info	module	source	term_id	p_value	row_rank_p	mcc	row_rank_mcc	term_name	top_go	top_kegg	top_reac
K1	humanbase	0.3	network_modules	2	GO:BP	GO:0015670	5.660137805268847e-17	1	0.6792191465069795	1	carbon dioxide transport	GO:0015670	-	-
K1	humanbase	0.3	network_modules	4	GO:BP	GO:0007565	8.704088563673149e-4	1	0.14822146402888547	1	female pregnancy	GO:0007565	-	-
K1	humanbase	0.3	network_modules	5	GO:BP	GO:0003002	4.385882675359537e-4	1	0.10736378427215573	1	regionalization	GO:0003002	-	-
K1	humanbase	0.3	network_modules	10	REAC	REAC:R-HSA-6809371	3.5530346265596386e-12	1	0.22173414733350863	1	Formation of the cornified envelope	-	-	REAC:R-HSA-6809371
K1	humanbase	0.3	network_modules	10	GO:BP	GO:0045109	1.364944162574717e-6	1	0.16992886784388225	1	intermediate filament organization	GO:0045109	-	-
K1	humanbase	0.3	network_modules	13	GO:BP	GO:0019373	1.433688382369128e-7	1	0.3137446621307518	1	epoxygenase P450 pathway	GO:0019373	-	-
K1	humanbase	0.3	network_modules	13	REAC	REAC:R-HSA-211999	1.0472049194018095e-5	1	0.31921952331311165	1	CYP2E1 reactions	-	-	REAC:R-HSA-211999
K1	humanbase	0.3	network_modules	20	KEGG	KEGG:04060	0.0019439589163539142	1	0.06446309211018016	1	Cytokine-cytokine receptor interaction	-	KEGG:04060	-
K1	humanbase	0.3	network_modules	22	REAC	REAC:R-HSA-156902	4.667622416072591e-83	1	0.6488926866691285	1	Peptide chain elongation	-	-	REAC:R-HSA-156902
K1	humanbase	0.3	network_modules	27	GO:BP	GO:0050851	1.4582069385903984e-18	5	0.17951151606093474	1	antigen receptor-mediated signaling pathway	GO:0050851	-	-
K1	humanbase	0.3	network_modules	27	KEGG	KEGG:04640	2.1723930674427212e-13	2	0.197497927728824	1	Hematopoietic cell lineage	-	KEGG:04640	-
K1	humanbase	0.3	network_modules	28	GO:BP	GO:0046649	3.233781882732577e-11	2	0.10672523964333505	1	lymphocyte activation	GO:0046649	-	-
K1	humanbase	0.3	network_modules	29	REAC	REAC:R-HSA-73728	5.079904305935746e-39	1	0.5130453573639625	1	RNA Polymerase I Promoter Opening	-	-	REAC:R-HSA-73728
K1	humanbase	0.3	network_modules	29	KEGG	KEGG:05322	1.3212695318498603e-37	1	0.3962376635764754	1	Systemic lupus erythematosus	-	KEGG:05322	-
K1	humanbase	0.3	network_modules	30	REAC	REAC:R-HSA-2033519	3.0536462732598844e-7	1	0.4626766908490246	1	Activated point mutants of FGFR2	-	-	REAC:R-HSA-2033519
K1	humanbase	0.3	network_modules	30	GO:BP	GO:0060592	2.8314213558950658e-5	3	0.7070630583989846	1	mammary gland formation	GO:0060592	-	-
K1	humanbase	0.3	network_modules	32	REAC	REAC:R-HSA-1474244	1.797920226370615e-32	1	0.24366480586202455	3	Extracellular matrix organization	-	-	REAC:R-HSA-1474244
K1	humanbase	0.3	network_modules	32	GO:BP	GO:0030198	1.796141106973335e-27	1	0.2046098998950942	2	extracellular matrix organization	GO:0030198	-	-
K1	humanbase	0.3	network_modules	32	KEGG	KEGG:04974	4.120615588428656e-16	1	0.22911029578492179	1	Protein digestion and absorption	-	KEGG:04974	-
K1	humanbase	0.3	network_modules	33	REAC	REAC:R-HSA-6798695	5.122800701490939e-19	1	0.14396976149537016	1	Neutrophil degranulation	-	-	REAC:R-HSA-6798695
K1	humanbase	0.3	network_modules	33	GO:BP	GO:0006954	1.5335409542735492e-18	1	0.12305587453989297	3	inflammatory response	GO:0006954	-	-
K1	humanbase	0.3	network_modules	33	KEGG	KEGG:05140	4.4337606792950916e-12	1	0.17619779787163295	1	Leishmaniasis	-	KEGG:05140	-
K1	humanbase	0.3	network_modules	35	GO:BP	GO:0051607	1.9691762838024555e-47	1	0.28772050103254754	1	defense response to virus	GO:0051607	-	-
K1	humanbase	0.3	network_modules	35	REAC	REAC:R-HSA-909733	3.727169179106086e-30	2	0.323864997505671	1	Interferon alpha/beta signaling	-	-	REAC:R-HSA-909733
K1	humanbase	0.3	network_modules	35	KEGG	KEGG:05160	1.6536441187711633e-11	1	0.1538398526216675	1	Hepatitis C	-	KEGG:05160	-
K1	humanbase	0.3	network_modules	36	GO:BP	GO:0006119	1.7893315287170113e-78	1	0.4747260635493667	1	oxidative phosphorylation	GO:0006119	-	-
K1	humanbase	0.3	network_modules	36	KEGG	KEGG:00190	1.9939344243366286e-70	1	0.5013241970764806	1	Oxidative phosphorylation	-	KEGG:00190	-
K1	humanbase	0.3	network_modules	36	REAC	REAC:R-HSA-611105	4.712601336654944e-56	2	0.43932158397148197	1	Respiratory electron transport	-	-	REAC:R-HSA-611105
K1	humanbase	0.3	network_modules	37	GO:BP	GO:0001568	7.580784310270264e-9	1	0.08532342031319846	2	blood vessel development	GO:0001568	-	-
K1	humanbase	0.3	network_modules	37	KEGG	KEGG:04510	1.4155187064841089e-8	1	0.12470504621754926	1	Focal adhesion	-	KEGG:04510	-
K1	humanbase	0.3	network_modules	37	REAC	REAC:R-HSA-2022090	6.233965506441097e-8	3	0.1448716453176585	1	Assembly of collagen fibrils and other multimeric structures	-	-	REAC:R-HSA-2022090
K1	humanbase	0.3	network_modules	38	GO:BP	GO:0043588	5.521759834987619e-6	2	0.09721179700816955	1	skin development	GO:0043588	-	-
K1	humanbase	0.3	network_modules	38	REAC	REAC:R-HSA-6809371	1.3742014077010026e-5	1	0.10806843091489227	1	Formation of the cornified envelope	-	-	REAC:R-HSA-6809371
K1	humanbase	0.3	network_modules	39	GO:BP	GO:0006954	3.2789434736184074e-13	1	0.10194545930268757	2	inflammatory response	GO:0006954	-	-
K1	humanbase	0.3	network_modules	39	KEGG	KEGG:05150	1.7270096383959004e-6	1	0.11787270428540018	1	Staphylococcus aureus infection	-	KEGG:05150	-
K1	humanbase	0.3	network_modules	39	REAC	REAC:R-HSA-6798695	2.2940246693224608e-6	1	0.07936967619178453	1	Neutrophil degranulation	-	-	REAC:R-HSA-6798695
K1	humanbase	0.3	network_modules	42	GO:BP	GO:1990169	1.022038858447273e-26	1	0.8016597238611952	1	stress response to copper ion	GO:1990169	-	-
K1	humanbase	0.3	network_modules	42	REAC	REAC:R-HSA-5661231	8.148627344145847e-24	1	0.8526855852368603	1	Metallothioneins bind metals	-	-	REAC:R-HSA-5661231
K1	humanbase	0.3	network_modules	43	REAC	REAC:R-HSA-1306955	3.2264662661123924e-4	1	0.40798637869251825	1	GRB7 events in ERBB2 signaling	-	-	REAC:R-HSA-1306955
K1	humanbase	0.3	network_modules	44	REAC	REAC:R-HSA-6794362	1.1083778377909676e-5	1	0.12579166314502938	1	Protein-protein interactions at synapses	-	-	REAC:R-HSA-6794362
K1	humanbase	0.3	network_modules	44	GO:BP	GO:0048812	7.55546914229989e-5	1	0.06854392384411177	1	neuron projection morphogenesis	GO:0048812	-	-
K1	humanbase	0.3	network_modules	47	REAC	REAC:R-HSA-3656243	4.6965868588173034e-4	1	0.35322933292575615	1	Defective ST3GAL3 causes MCT12 and EIEE15	-	-	REAC:R-HSA-3656243
K1	humanbase	0.3	network_modules	48	GO:BP	GO:0006986	6.346355176590016e-4	1	0.1463153111751428	1	response to unfolded protein	GO:0006986	-	-
K1	humanbase	0.3	network_modules	49	REAC	REAC:R-HSA-156842	6.594793019075323e-84	1	0.6152229817349151	1	Eukaryotic Translation Elongation	-	-	REAC:R-HSA-156842
K1	humanbase	0.3	network_modules	49	GO:BP	GO:0002181	7.193146042315195e-74	1	0.4502362166611922	1	cytoplasmic translation	GO:0002181	-	-
K1	humanbase	0.3	network_modules	60	KEGG	KEGG:04962	6.954712883196308e-4	1	0.2126722123208959	1	Vasopressin-regulated water reabsorption	-	KEGG:04962	-
K1	humanbase	0.3	network_modules	66	REAC	REAC:R-HSA-8856825	1.5276956069937248e-4	1	0.16905378494224915	1	Cargo recognition for clathrin-mediated endocytosis	-	-	REAC:R-HSA-8856825
K1	humanbase	0.3	network_modules	67	KEGG	KEGG:05016	2.1663519071583798e-10	1	0.11988846880176299	2	Huntington disease	-	KEGG:05016	-
K1	humanbase	0.3	network_modules	67	REAC	REAC:R-HSA-1268020	6.709235147153828e-8	1	0.13220165060432554	1	Mitochondrial protein import	-	-	REAC:R-HSA-1268020
K1	humanbase	0.3	network_modules	67	GO:BP	GO:0009060	1.5671571997192663e-5	2	0.08082249755309455	1	aerobic respiration	GO:0009060	-	-
K1	humanbase	0.3	network_modules	68	GO:BP	GO:0032543	1.578890429310886e-10	1	0.1272137674304767	1	mitochondrial translation	GO:0032543	-	-
K1	humanbase	0.3	network_modules	68	REAC	REAC:R-HSA-5389840	3.6184266699663945e-8	1	0.13572062820966907	1	Mitochondrial translation elongation	-	-	REAC:R-HSA-5389840
K1	humanbase	0.3	network_modules	69	REAC	REAC:R-HSA-611105	6.981347116471551e-10	1	0.1529684206537939	1	Respiratory electron transport	-	-	REAC:R-HSA-611105
K1	humanbase	0.3	network_modules	69	KEGG	KEGG:00190	3.436293424982438e-7	2	0.1271201757551434	1	Oxidative phosphorylation	-	KEGG:00190	-
K1	humanbase	0.3	network_modules	69	GO:BP	GO:0032981	9.544755421959373e-7	2	0.12644442658479338	1	mitochondrial respiratory chain complex I assembly	GO:0032981	-	-
K1	humanbase	0.3	network_modules	71	REAC	REAC:R-HSA-72702	2.4573826841982414e-8	1	0.15306837536029627	1	Ribosomal scanning and start codon recognition	-	-	REAC:R-HSA-72702
K1	humanbase	0.3	network_modules	71	GO:BP	GO:0002183	5.200537184921949e-7	2	0.13062508244870136	1	cytoplasmic translational initiation	GO:0002183	-	-
K1	humanbase	0.3	network_modules	72	GO:BP	GO:0002181	0.002081850786618793	2	0.07534542824993157	1	cytoplasmic translation	GO:0002181	-	-
K1	humanbase	0.3	network_modules	72	REAC	REAC:R-HSA-72689	0.0024967408282728564	2	0.0858396214032289	1	Formation of a pool of free 40S subunits	-	-	REAC:R-HSA-72689
K1	humanbase	0.3	network_modules	78	KEGG	KEGG:03030	3.723367123709272e-10	1	0.2020835000903362	1	DNA replication	-	KEGG:03030	-
