network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes	row_rank_p	row_rank_mcc	top_go	top_kegg	top_reac
K1	humanbase	0.4	network_modules	3	TRUE	5.210755453071737e-5	36	84	6	0.07142857142857142	0.16666666666666666	GO:0006749	GO:BP	glutathione metabolic process	16175	2447		0	0.3333333333333333	36	16139	6	78	30	16061	16175	0.10610289638027932	1	NA	231;79001;4048;10014;11337;51564;373156;100188893;25796;10062;3315;10169;10519;2987;475;6487;6888;706;51246;1192;567;381;9296;6748;2512;435;51734;60;6746;9168;9446;967;1476;2950;30;4946;2778;51160;2879;645;51614;7086;79090;7316;8659;23654;10961;4832;10627;37;10327;4258;54458;1072;51280;54470;50865;23474;54985;51225;25798;3155;23344;5664;3029;9776;2509;51084;11145;11257;6881;2644;84304;5184;949;132299;54935;149951;200185;29085;2232;6415;284004;51545;79991;57333;216;29099;56998;59271;2793;305;9711;3077;56606;7117;5201;686;728361	1	1	GO:0006749	-	-
K1	humanbase	0.4	network_modules	4	TRUE	5.072638072794376e-7	11	4	3	0.75	0.2727272727272727	REAC:R-HSA-211999	REAC	CYP2E1 reactions	10916	293		0	0.043478260869565216	11	10905	3	1	8	10904	10916	0.4519699097320086	1	GO:0006629;GO:0006082;GO:0019748	1548;1549;1559;4635	1	1	-	-	REAC:R-HSA-211999
K1	humanbase	0.4	network_modules	4	TRUE	2.8551692034200428e-6	18	4	3	0.75	0.16666666666666666	GO:0019373	GO:BP	epoxygenase P450 pathway	16175	5734		0.045454545454545456	0.08695652173913043	18	16157	3	1	15	16156	16175	0.3532690761523664	2	GO:0006629;GO:0006082;GO:0019748	1548;1549;1559;4635	1	1	GO:0019373	-	-
K1	humanbase	0.4	network_modules	4	TRUE	1.0057708668945589e-4	67	4	3	0.75	0.04477611940298507	KEGG:05204	KEGG	Chemical carcinogenesis - DNA adducts	8484	456		0.18181818181818182	0.21739130434782608	67	8417	3	1	64	8416	8484	0.18208774767012512	5	GO:0006629;GO:0006082;GO:0019748	1548;1549;1559;4635	1	1	-	KEGG:05204	-
K1	humanbase	0.4	network_modules	5	TRUE	1.8153754688026619e-127	90	62	59	0.9516129032258065	0.6555555555555556	REAC:R-HSA-156902	REAC	Peptide chain elongation	10916	1723		0	0.015151515151515152	90	10826	59	3	31	10823	10916	0.788479479255511	1	GO:0006412;GO:0042254	6165;6167;100128140;6156;6235;100130211;6133;6175;6188;6189;7311;6141;6203;6128;6228;6217;6223;1915;23521;6122;6130;6143;6144;6147;6155;6161;6168;6170;6176;6187;6204;6209;6210;6218;6222;6224;6232;7178;9349;6158;6205;3921;6129;6134;6142;6157;6159;6164;6169;6171;6181;6191;6207;6208;6229;6230;6233;6234;9045;6173;6202;644315;29997;7314;128668;207032;389435;730029;113278;144581;153201;6206;220717;387101;647099;642741	1	1	-	-	REAC:R-HSA-156902
K1	humanbase	0.4	network_modules	5	TRUE	2.0427665394312556e-111	158	64	58	0.90625	0.3670886075949367	GO:0002181	GO:BP	cytoplasmic translation	16175	729		0.24615384615384617	0.25757575757575757	158	16017	58	6	100	16011	16175	0.5745070895898755	17	GO:0006412;GO:0042254	6165;6167;100128140;6156;6235;100130211;6133;6175;6188;6189;7311;6141;6203;6128;6228;6217;6223;1915;23521;6122;6130;6143;6144;6147;6155;6161;6168;6170;6176;6187;6204;6209;6210;6218;6222;6224;6232;7178;9349;6158;6205;3921;6129;6134;6142;6157;6159;6164;6169;6171;6181;6191;6207;6208;6229;6230;6233;6234;9045;6173;6202;644315;29997;7314;128668;207032;389435;730029;113278;144581;153201;6206;220717;387101;647099;642741	1	1	GO:0002181	-	-
K1	humanbase	0.4	network_modules	8	TRUE	1.3067391109288884e-4	225	5	4	0.8	0.017777777777777778	GO:0003002	GO:BP	regionalization	16175	1453		0	0.14285714285714285	225	15950	4	1	221	15949	16175	0.1180252024282473	1	GO:0032501	3198;3206;3202;3204;3205;3207	1	1	GO:0003002	-	-
K1	humanbase	0.4	network_modules	9	TRUE	2.858709334163593e-28	62	16	14	0.875	0.22580645161290322	REAC:R-HSA-73728	REAC	RNA Polymerase I Promoter Opening	10916	1883		0.008849557522123894	0.017543859649122806	62	10854	14	2	48	10852	10916	0.4431995585300692	2	GO:0065003	3017;8349;3006;3012;8337;8343;8344;8345;8346;8347;8365;3013;8331;8336;8357;8351	2	1	-	-	REAC:R-HSA-73728
K1	humanbase	0.4	network_modules	9	TRUE	2.1309175005806125e-26	132	15	15	1	0.11363636363636363	KEGG:05322	KEGG	Systemic lupus erythematosus	8484	484		0.10619469026548672	0.11403508771929824	132	8352	15	0	117	8352	8484	0.3347632999718137	13	GO:0065003	3017;8349;3006;3012;8337;8343;8344;8345;8346;8347;8365;3013;8331;8336;8357;8351	1	1	-	KEGG:05322	-
K1	humanbase	0.4	network_modules	10	TRUE	2.863850412583413e-4	128	3	3	1	0.0234375	REAC:R-HSA-6809371	REAC	Formation of the cornified envelope	10916	969		0	0.14285714285714285	128	10788	3	0	125	10788	10916	0.152213801969879	1	GO:0006996	150483;3866;4103;3854;3880	1	1	-	-	REAC:R-HSA-6809371
