network_method	network_db	network_cutoff	experiment_info	module	source	term_id	p_value	row_rank_p	mcc	row_rank_mcc	term_name	top_go	top_kegg	top_reac
K1	humanbase	0.6	network_modules	1	GO:BP	GO:0061061	4.500527874933857e-6	1	0.09139790671863339	1	muscle structure development	GO:0061061	-	-
K1	humanbase	0.6	network_modules	1	GO:BP	GO:0072359	2.0157666230094015e-5	2	0.07485338374216743	3	circulatory system development	GO:0061061	-	-
K1	humanbase	0.6	network_modules	1	GO:BP	GO:0006936	2.1838195451294914e-4	3	0.08724736502767695	2	muscle contraction	GO:0061061	-	-
K1	humanbase	0.6	network_modules	1	REAC	REAC:R-HSA-191650	4.196456612751151e-4	1	0.3920345589579044	1	Regulation of gap junction activity	-	-	REAC:R-HSA-191650
K1	humanbase	0.6	network_modules	2	REAC	REAC:R-HSA-450294	1.6645002276665516e-4	1	0.1011869239171947	1	MAP kinase activation	-	-	REAC:R-HSA-450294
K1	humanbase	0.6	network_modules	2	REAC	REAC:R-HSA-448424	3.410479615286863e-4	2	0.09472645963728575	2	Interleukin-17 signaling	-	-	REAC:R-HSA-450294
K1	humanbase	0.6	network_modules	2	GO:BP	GO:0051603	0.00168008397640013	1	0.052293340137625856	1	proteolysis involved in protein catabolic process	GO:0051603	-	-
K1	humanbase	0.6	network_modules	2	REAC	REAC:R-HSA-975871	0.0019009164636711103	3	0.08036047798465566	3	MyD88 cascade initiated on plasma membrane	-	-	REAC:R-HSA-450294
K1	humanbase	0.6	network_modules	2	REAC	REAC:R-HSA-168176	0.0019009164636711103	4	0.08036047798465566	4	Toll Like Receptor 5 (TLR5) Cascade	-	-	REAC:R-HSA-450294
K1	humanbase	0.6	network_modules	2	REAC	REAC:R-HSA-168142	0.0019009164636711103	5	0.08036047798465566	5	Toll Like Receptor 10 (TLR10) Cascade	-	-	REAC:R-HSA-450294
K1	humanbase	0.6	network_modules	2	REAC	REAC:R-HSA-975138	0.002713632823286161	6	0.0775652844465951	6	TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation	-	-	REAC:R-HSA-450294
K1	humanbase	0.6	network_modules	5	GO:BP	GO:0048193	1.3161818390468213e-4	1	0.06766604385536125	2	Golgi vesicle transport	GO:0048193	-	-
K1	humanbase	0.6	network_modules	5	GO:BP	GO:0010256	1.792525962035381e-4	2	0.06019634627504442	3	endomembrane system organization	GO:0048193	-	-
K1	humanbase	0.6	network_modules	5	GO:BP	GO:0007030	6.208911679757416e-4	3	0.07159914504115714	1	Golgi organization	GO:0048193	-	-
K1	humanbase	0.6	network_modules	7	REAC	REAC:R-HSA-2559586	1.6978038980067403e-26	1	0.40442655233655256	14	DNA Damage/Telomere Stress Induced Senescence	-	-	REAC:R-HSA-171306
K1	humanbase	0.6	network_modules	7	REAC	REAC:R-HSA-171306	1.1098823221759915e-25	2	0.46504655058212574	1	Packaging Of Telomere Ends	-	-	REAC:R-HSA-171306
K1	humanbase	0.6	network_modules	7	REAC	REAC:R-HSA-110331	2.3974308740609403e-25	3	0.4518711586733118	2	Cleavage of the damaged purine	-	-	REAC:R-HSA-171306
K1	humanbase	0.6	network_modules	7	REAC	REAC:R-HSA-73927	2.3974308740609403e-25	4	0.4518711586733118	3	Depurination	-	-	REAC:R-HSA-171306
K1	humanbase	0.6	network_modules	7	REAC	REAC:R-HSA-110330	2.3974308740609403e-25	5	0.4518711586733118	4	Recognition and association of DNA glycosylase with site containing an affected purine	-	-	REAC:R-HSA-171306
K1	humanbase	0.6	network_modules	7	REAC	REAC:R-HSA-73928	7.821279659578177e-25	6	0.43218407409944304	5	Depyrimidination	-	-	REAC:R-HSA-171306
K1	humanbase	0.6	network_modules	7	REAC	REAC:R-HSA-110329	7.821279659578177e-25	7	0.43218407409944304	6	Cleavage of the damaged pyrimidine 	-	-	REAC:R-HSA-171306
K1	humanbase	0.6	network_modules	7	REAC	REAC:R-HSA-110328	7.821279659578177e-25	8	0.43218407409944304	7	Recognition and association of DNA glycosylase with site containing an affected pyrimidine	-	-	REAC:R-HSA-171306
K1	humanbase	0.6	network_modules	7	REAC	REAC:R-HSA-73929	9.775768631369194e-25	9	0.42854436100181936	8	Base-Excision Repair, AP Site Formation	-	-	REAC:R-HSA-171306
K1	humanbase	0.6	network_modules	7	REAC	REAC:R-HSA-73728	1.5088029269470692e-24	10	0.42153034876186485	9	RNA Polymerase I Promoter Opening	-	-	REAC:R-HSA-171306
K1	humanbase	0.6	network_modules	7	REAC	REAC:R-HSA-5334118	2.2935365868329794e-24	11	0.41484702330078344	10	DNA methylation	-	-	REAC:R-HSA-171306
K1	humanbase	0.6	network_modules	7	REAC	REAC:R-HSA-5625886	3.437316109992288e-24	12	0.40846914854540006	11	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	-	-	REAC:R-HSA-171306
K1	humanbase	0.6	network_modules	7	REAC	REAC:R-HSA-9670095	3.437316109992288e-24	13	0.40846914854540006	12	Inhibition of DNA recombination at telomere	-	-	REAC:R-HSA-171306
K1	humanbase	0.6	network_modules	7	REAC	REAC:R-HSA-427359	4.1869198872784505e-24	14	0.4053875941572555	13	SIRT1 negatively regulates rRNA expression	-	-	REAC:R-HSA-171306
K1	humanbase	0.6	network_modules	7	REAC	REAC:R-HSA-68616	5.0836845973109295e-24	15	0.40237410546978575	15	Assembly of the ORC complex at the origin of replication	-	-	REAC:R-HSA-171306
K1	humanbase	0.6	network_modules	7	REAC	REAC:R-HSA-9821002	7.425898226636105e-24	16	0.3965415531628923	16	Chromatin modifications during the maternal to zygotic transition (MZT)	-	-	REAC:R-HSA-171306
K1	humanbase	0.6	network_modules	7	REAC	REAC:R-HSA-774815	1.072167593795552e-23	17	0.3909531420482239	17	Nucleosome assembly	-	-	REAC:R-HSA-171306
K1	humanbase	0.6	network_modules	7	REAC	REAC:R-HSA-606279	1.072167593795552e-23	18	0.3909531420482239	18	Deposition of new CENPA-containing nucleosomes at the centromere	-	-	REAC:R-HSA-171306
K1	humanbase	0.6	network_modules	7	REAC	REAC:R-HSA-9710421	1.072167593795552e-23	19	0.3909531420482239	19	Defective pyroptosis	-	-	REAC:R-HSA-171306
K1	humanbase	0.6	network_modules	7	REAC	REAC:R-HSA-2299718	1.072167593795552e-23	20	0.3909531420482239	20	Condensation of Prophase Chromosomes	-	-	REAC:R-HSA-171306
K1	humanbase	0.6	network_modules	7	REAC	REAC:R-HSA-212300	1.072167593795552e-23	21	0.3909531420482239	21	PRC2 methylates histones and DNA	-	-	REAC:R-HSA-171306
K1	humanbase	0.6	network_modules	7	REAC	REAC:R-HSA-427389	1.822659624276052e-23	22	0.38299239895695364	22	ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	-	-	REAC:R-HSA-171306
K1	humanbase	0.6	network_modules	7	REAC	REAC:R-HSA-1221632	2.164224093639955e-23	23	0.38044387416926634	23	Meiotic synapsis	-	-	REAC:R-HSA-171306
K1	humanbase	0.6	network_modules	7	REAC	REAC:R-HSA-912446	1.065797961803874e-22	24	0.35744899510997336	24	Meiotic recombination	-	-	REAC:R-HSA-171306
K1	humanbase	0.6	network_modules	7	REAC	REAC:R-HSA-73884	1.4312910458166618e-22	25	0.353325614476052	25	Base Excision Repair	-	-	REAC:R-HSA-171306
K1	humanbase	0.6	network_modules	7	REAC	REAC:R-HSA-9616222	1.4312910458166618e-22	26	0.353325614476052	26	Transcriptional regulation of granulopoiesis	-	-	REAC:R-HSA-171306
K1	humanbase	0.6	network_modules	7	REAC	REAC:R-HSA-5250924	1.6542084349767743e-22	27	0.3513160801129871	27	B-WICH complex positively regulates rRNA expression	-	-	REAC:R-HSA-171306
K1	humanbase	0.6	network_modules	7	REAC	REAC:R-HSA-201722	1.9085393992318987e-22	28	0.34934002514193835	28	Formation of the beta-catenin:TCF transactivating complex	-	-	REAC:R-HSA-171306
K1	humanbase	0.6	network_modules	7	REAC	REAC:R-HSA-73772	1.9085393992318987e-22	29	0.34934002514193835	29	RNA Polymerase I Promoter Escape	-	-	REAC:R-HSA-171306
K1	humanbase	0.6	network_modules	9	GO:BP	GO:0010273	9.90524115922049e-17	1	0.6544916978791956	1	detoxification of copper ion	GO:0010273	-	-
K1	humanbase	0.6	network_modules	9	GO:BP	GO:1990169	9.90524115922049e-17	2	0.6544916978791956	2	stress response to copper ion	GO:0010273	-	-
K1	humanbase	0.6	network_modules	9	GO:BP	GO:0071294	6.123239989336321e-16	3	0.5771359860191163	3	cellular response to zinc ion	GO:0010273	-	-
K1	humanbase	0.6	network_modules	9	GO:BP	GO:0071280	8.94935075364538e-16	4	0.5617255348705275	4	cellular response to copper ion	GO:0010273	-	-
K1	humanbase	0.6	network_modules	9	GO:BP	GO:0097501	8.94935075364538e-16	5	0.5617255348705275	5	stress response to metal ion	GO:0010273	-	-
K1	humanbase	0.6	network_modules	9	GO:BP	GO:0061687	1.789870150729089e-15	6	0.5342744877317185	6	detoxification of inorganic compound	GO:0010273	-	-
K1	humanbase	0.6	network_modules	9	GO:BP	GO:0046688	5.841552478514667e-15	7	0.4896100273160402	7	response to copper ion	GO:0010273	-	-
K1	humanbase	0.6	network_modules	9	GO:BP	GO:0071276	1.5668290560948766e-14	8	0.45453519833963496	8	cellular response to cadmium ion	GO:0010273	-	-
K1	humanbase	0.6	network_modules	12	KEGG	KEGG:04141	5.388814060109263e-21	1	0.23577105450243438	1	Protein processing in endoplasmic reticulum	-	KEGG:04141	-
K1	humanbase	0.6	network_modules	12	REAC	REAC:R-HSA-381119	2.880179052439449e-10	1	0.1602572627371357	2	Unfolded Protein Response (UPR)	-	-	REAC:R-HSA-381119
K1	humanbase	0.6	network_modules	12	GO:BP	GO:0006457	3.399784894630182e-10	1	0.1221059255529914	1	protein folding	GO:0006457	-	-
K1	humanbase	0.6	network_modules	12	REAC	REAC:R-HSA-446203	6.052804432552143e-10	2	0.11851321372813586	4	Asparagine N-linked glycosylation	-	-	REAC:R-HSA-381119
K1	humanbase	0.6	network_modules	12	GO:BP	GO:0051604	7.820665355864065e-10	2	0.09608143972358307	2	protein maturation	GO:0006457	-	-
K1	humanbase	0.6	network_modules	12	REAC	REAC:R-HSA-381070	2.384483376685337e-9	3	0.1773689676282191	1	IRE1alpha activates chaperones	-	-	REAC:R-HSA-381119
K1	humanbase	0.6	network_modules	12	REAC	REAC:R-HSA-381038	1.1004331033383601e-7	4	0.15810094173244946	3	XBP1(S) activates chaperone genes	-	-	REAC:R-HSA-381119
K1	humanbase	0.6	network_modules	13	GO:BP	GO:0032968	8.463343186645869e-10	1	0.20038318408386804	1	positive regulation of transcription elongation by RNA polymerase II	GO:0032968	-	-
K1	humanbase	0.6	network_modules	13	GO:BP	GO:0060261	2.3166794945856084e-9	2	0.18694586229475885	2	positive regulation of transcription initiation by RNA polymerase II	GO:0032968	-	-
K1	humanbase	0.6	network_modules	13	GO:BP	GO:0032786	3.012413508062495e-9	3	0.18356612165179045	3	positive regulation of DNA-templated transcription, elongation	GO:0032968	-	-
K1	humanbase	0.6	network_modules	13	GO:BP	GO:2000144	4.95149100212572e-9	4	0.1773088072318055	4	positive regulation of DNA-templated transcription initiation	GO:0032968	-	-
K1	humanbase	0.6	network_modules	13	GO:BP	GO:0051123	7.02991476451158e-9	5	0.17300313314112187	5	RNA polymerase II preinitiation complex assembly	GO:0032968	-	-
K1	humanbase	0.6	network_modules	17	REAC	REAC:R-HSA-191273	3.426793752855271e-28	1	0.5425592302555436	1	Cholesterol biosynthesis	-	-	REAC:R-HSA-191273
