network_method	network_db	network_cutoff	experiment_info	module	source	term_id	p_value	row_rank_p	mcc	row_rank_mcc	term_name	top_go	top_kegg	top_reac
K1	string	0.3	network_modules	3	KEGG	KEGG:00512	3.0791397932344896e-49	1	0.7446511639805872	1	Mucin type O-glycan biosynthesis	-	KEGG:00512	-
K1	string	0.3	network_modules	3	REAC	REAC:R-HSA-913709	6.736851323996844e-41	1	0.5383609283243858	1	O-linked glycosylation of mucins	-	-	REAC:R-HSA-913709
K1	string	0.3	network_modules	3	GO:BP	GO:0006493	2.8069072220022032e-36	1	0.4139181438132341	1	protein O-linked glycosylation	GO:0006493	-	-
K1	string	0.3	network_modules	4	GO:BP	GO:0006821	1.5245125319964765e-81	1	0.6200586428702523	1	chloride transport	GO:0006821	-	-
K1	string	0.3	network_modules	4	KEGG	KEGG:05033	1.760162318931726e-32	1	0.49714444738604363	1	Nicotine addiction	-	KEGG:05033	-
K1	string	0.3	network_modules	5	REAC	REAC:R-HSA-1660661	2.6554257298881933e-17	1	0.4464339186515271	1	Sphingolipid de novo biosynthesis	-	-	REAC:R-HSA-1660661
K1	string	0.3	network_modules	5	GO:BP	GO:0046513	2.0408341180951998e-14	1	0.2899298457954143	1	ceramide biosynthetic process	GO:0046513	-	-
K1	string	0.3	network_modules	6	KEGG	KEGG:00140	5.877655212581843e-79	1	0.6891926816019442	1	Steroid hormone biosynthesis	-	KEGG:00140	-
K1	string	0.3	network_modules	6	GO:BP	GO:0052695	1.0238960544450231e-40	4	0.5438893597248128	1	cellular glucuronidation	GO:0052695	-	-
K1	string	0.3	network_modules	6	REAC	REAC:R-HSA-156588	1.1678599842570326e-38	1	0.5255160528238995	1	Glucuronidation	-	-	REAC:R-HSA-156588
K1	string	0.3	network_modules	7	REAC	REAC:R-HSA-174824	2.6970023303794774e-30	1	0.3811577250747467	2	Plasma lipoprotein assembly, remodeling, and clearance	-	-	REAC:R-HSA-174824
K1	string	0.3	network_modules	7	GO:BP	GO:0034369	3.764846378583833e-25	2	0.3992217323828264	4	plasma lipoprotein particle remodeling	GO:0034369	-	-
K1	string	0.3	network_modules	7	KEGG	KEGG:04979	1.7890266349720648e-22	1	0.3771807099039824	1	Cholesterol metabolism	-	KEGG:04979	-
K1	string	0.3	network_modules	8	GO:BP	GO:0045332	2.0728562433758425e-29	1	0.534026192222227	1	phospholipid translocation	GO:0045332	-	-
K1	string	0.3	network_modules	9	REAC	REAC:R-HSA-6809371	4.725459672474872e-65	1	0.5004151683867819	1	Formation of the cornified envelope	-	-	REAC:R-HSA-6809371
K1	string	0.3	network_modules	9	GO:BP	GO:0008544	2.419004752928656e-19	1	0.19842061354303164	1	epidermis development	GO:0008544	-	-
K1	string	0.3	network_modules	10	KEGG	KEGG:00565	5.333395678503975e-68	1	0.647708936942879	1	Ether lipid metabolism	-	KEGG:00565	-
K1	string	0.3	network_modules	10	REAC	REAC:R-HSA-1482788	1.105177050225103e-52	1	0.6273695145761877	1	Acyl chain remodelling of PC	-	-	REAC:R-HSA-1482788
K1	string	0.3	network_modules	10	GO:BP	GO:0046475	1.1782377107149589e-24	5	0.3399348044574229	1	glycerophospholipid catabolic process	GO:0046475	-	-
K1	string	0.3	network_modules	11	GO:BP	GO:0030322	1.831731221941286e-46	1	0.9392783075743792	1	stabilization of membrane potential	GO:0030322	-	-
K1	string	0.3	network_modules	11	REAC	REAC:R-HSA-1296346	2.408716335538805e-35	2	0.8943041413777528	1	Tandem pore domain potassium channels	-	-	REAC:R-HSA-1296346
K1	string	0.3	network_modules	12	KEGG	KEGG:00563	5.0995027144052615e-17	1	0.5182927034319456	1	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	-	KEGG:00563	-
K1	string	0.3	network_modules	12	GO:BP	GO:0006506	9.158439636644376e-17	1	0.48498082839473144	1	GPI anchor biosynthetic process	GO:0006506	-	-
K1	string	0.3	network_modules	12	REAC	REAC:R-HSA-162710	1.126892943194246e-15	1	0.5937889555827379	1	Synthesis of glycosylphosphatidylinositol (GPI)	-	-	REAC:R-HSA-162710
K1	string	0.3	network_modules	13	GO:BP	GO:0060271	5.839909793735681e-20	1	0.1928901131263911	1	cilium assembly	GO:0060271	-	-
K1	string	0.3	network_modules	14	GO:BP	GO:0070588	7.280543599328052e-26	1	0.2204566828636107	5	calcium ion transmembrane transport	GO:0070588	-	-
K1	string	0.3	network_modules	14	REAC	REAC:R-HSA-112308	1.3627608696722342e-20	1	0.52156216581729	1	Presynaptic depolarization and calcium channel opening	-	-	REAC:R-HSA-112308
K1	string	0.3	network_modules	14	KEGG	KEGG:05412	4.678613600197827e-19	2	0.28606328067687303	1	Arrhythmogenic right ventricular cardiomyopathy	-	KEGG:05412	-
K1	string	0.3	network_modules	15	GO:BP	GO:0016338	1.6018874353879018e-45	1	0.8271418710322469	1	calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules	GO:0016338	-	-
K1	string	0.3	network_modules	15	REAC	REAC:R-HSA-420029	3.240350959772814e-44	1	0.752323576447412	1	Tight junction interactions	-	-	REAC:R-HSA-420029
K1	string	0.3	network_modules	16	REAC	REAC:R-HSA-6799198	1.3926492518063162e-120	1	0.8924486070145851	1	Complex I biogenesis	-	-	REAC:R-HSA-6799198
K1	string	0.3	network_modules	16	GO:BP	GO:0032981	3.4773007086644234e-101	1	0.745264485299197	2	mitochondrial respiratory chain complex I assembly	GO:0032981	-	-
K1	string	0.3	network_modules	17	KEGG	KEGG:00600	1.7064132425791585e-37	1	0.5598563239326415	1	Sphingolipid metabolism	-	KEGG:00600	-
K1	string	0.3	network_modules	17	REAC	REAC:R-HSA-428157	3.396568244237655e-33	1	0.42314409271690057	1	Sphingolipid metabolism	-	-	REAC:R-HSA-428157
K1	string	0.3	network_modules	17	GO:BP	GO:0006665	9.13647007325728e-32	1	0.3359842956052661	2	sphingolipid metabolic process	GO:0006665	-	-
K1	string	0.3	network_modules	18	REAC	REAC:R-HSA-1650814	1.116808312605619e-119	1	0.855085639771609	1	Collagen biosynthesis and modifying enzymes	-	-	REAC:R-HSA-1650814
K1	string	0.3	network_modules	18	KEGG	KEGG:04974	2.669719062662309e-72	1	0.5780817801161018	1	Protein digestion and absorption	-	KEGG:04974	-
K1	string	0.3	network_modules	18	GO:BP	GO:0030198	3.6290907631284925e-58	1	0.34980929270724404	2	extracellular matrix organization	GO:0030198	-	-
