network_method	network_db	network_cutoff	experiment_info	module	source	term_id	p_value	row_rank_p	mcc	row_rank_mcc	term_name	top_go	top_kegg	top_reac
K1	string	0.6	network_modules	1	REAC	REAC:R-HSA-6809371	3.695528132591679e-74	1	0.5426037053190145	1	Formation of the cornified envelope	-	-	REAC:R-HSA-6809371
K1	string	0.6	network_modules	1	REAC	REAC:R-HSA-6805567	1.8856413389740678e-64	2	0.41697519757960977	2	Keratinization	-	-	REAC:R-HSA-6809371
K1	string	0.6	network_modules	1	GO:BP	GO:0008544	2.419004752928656e-19	1	0.19842061354303164	1	epidermis development	GO:0008544	-	-
K1	string	0.6	network_modules	2	GO:BP	GO:0060271	1.7493219855249642e-19	1	0.19268369036070093	1	cilium assembly	GO:0060271	-	-
K1	string	0.6	network_modules	2	GO:BP	GO:0044782	4.435462120558569e-19	2	0.18587669516730634	2	cilium organization	GO:0060271	-	-
K1	string	0.6	network_modules	2	REAC	REAC:R-HSA-5620912	4.805901700112386e-19	1	0.32147356559652895	1	Anchoring of the basal body to the plasma membrane	-	-	REAC:R-HSA-5620912
K1	string	0.6	network_modules	3	GO:BP	GO:0016073	4.104458527586087e-46	1	0.5445178479379092	1	snRNA metabolic process	GO:0016073	-	-
K1	string	0.6	network_modules	3	REAC	REAC:R-HSA-6807505	6.54658338311107e-44	1	0.5226227532846845	1	RNA polymerase II transcribes snRNA genes	-	-	REAC:R-HSA-6807505
K1	string	0.6	network_modules	3	GO:BP	GO:0016180	1.544845948198152e-35	2	0.5372966294861076	2	snRNA processing	GO:0016073	-	-
K1	string	0.6	network_modules	3	GO:BP	GO:0034243	2.2909953746030028e-28	3	0.34696184483935244	3	regulation of transcription elongation by RNA polymerase II	GO:0016073	-	-
K1	string	0.6	network_modules	3	GO:BP	GO:0032784	4.4768625422302056e-27	4	0.31836898926166507	4	regulation of DNA-templated transcription elongation	GO:0016073	-	-
K1	string	0.6	network_modules	3	GO:BP	GO:0006368	1.5117957852302825e-26	5	0.3072089181955209	5	transcription elongation by RNA polymerase II	GO:0016073	-	-
K1	string	0.6	network_modules	4	GO:BP	GO:0010968	6.515331196633669e-22	1	0.6486648965886771	1	regulation of microtubule nucleation	GO:0010968	-	-
K1	string	0.6	network_modules	4	GO:BP	GO:0007020	2.2492970678137e-18	2	0.4165384335311417	2	microtubule nucleation	GO:0010968	-	-
K1	string	0.6	network_modules	4	GO:BP	GO:0031113	1.6523205681222755e-17	3	0.37081592798849305	3	regulation of microtubule polymerization	GO:0010968	-	-
K1	string	0.6	network_modules	4	REAC	REAC:R-HSA-380284	3.6505898741647067e-16	1	0.3420525329355805	1	Loss of proteins required for interphase microtubule organization from the centrosome	-	-	REAC:R-HSA-380284
K1	string	0.6	network_modules	4	REAC	REAC:R-HSA-380259	3.6505898741647067e-16	2	0.3420525329355805	2	Loss of Nlp from mitotic centrosomes	-	-	REAC:R-HSA-380284
K1	string	0.6	network_modules	4	REAC	REAC:R-HSA-8854518	5.254198188358003e-16	3	0.3347017882171319	3	AURKA Activation by TPX2	-	-	REAC:R-HSA-380284
K1	string	0.6	network_modules	4	GO:BP	GO:0031110	5.540808564955248e-16	4	0.30076442736038456	4	regulation of microtubule polymerization or depolymerization	GO:0010968	-	-
K1	string	0.6	network_modules	4	GO:BP	GO:0046785	5.540808564955248e-16	5	0.30076442736038456	5	microtubule polymerization	GO:0010968	-	-
K1	string	0.6	network_modules	4	REAC	REAC:R-HSA-380270	1.4315675021814147e-15	4	0.31518238211137267	4	Recruitment of mitotic centrosome proteins and complexes	-	-	REAC:R-HSA-380284
K1	string	0.6	network_modules	4	REAC	REAC:R-HSA-380287	1.4315675021814147e-15	5	0.31518238211137267	5	Centrosome maturation	-	-	REAC:R-HSA-380284
K1	string	0.6	network_modules	5	GO:BP	GO:0045332	3.8474099672880763e-32	1	0.5558492789673963	1	phospholipid translocation	GO:0045332	-	-
K1	string	0.6	network_modules	5	GO:BP	GO:0034204	7.827203933450472e-32	2	0.5430357632456597	2	lipid translocation	GO:0045332	-	-
K1	string	0.6	network_modules	5	GO:BP	GO:0097035	3.959121133985267e-31	3	0.5145047784971624	3	regulation of membrane lipid distribution	GO:0045332	-	-
K1	string	0.6	network_modules	5	GO:BP	GO:0015914	4.7512491067983125e-28	4	0.40227646207134904	4	phospholipid transport	GO:0045332	-	-
K1	string	0.6	network_modules	7	GO:BP	GO:0045050	4.081378644486403e-31	1	0.9090290432161258	1	protein insertion into ER membrane by stop-transfer membrane-anchor sequence	GO:0045050	-	-
K1	string	0.6	network_modules	7	GO:BP	GO:0071816	7.213442457671985e-28	2	0.7310597654530894	2	tail-anchored membrane protein insertion into ER membrane	GO:0045050	-	-
K1	string	0.6	network_modules	7	GO:BP	GO:0045048	1.6437669547244247e-24	3	0.5410913135971329	3	protein insertion into ER membrane	GO:0045050	-	-
