network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes
K1	string	0.9	network_modules	1	TRUE	2.3961810752152845e-35	19	14	13	0.9285714285714286	0.6842105263157895	REAC:R-HSA-77595	REAC	Processing of Intronless Pre-mRNAs	10916	1799		0	0.05263157894736842	19	10897	13	1	6	10896	10916	0.7967914547255702	1	GO:0006396;GO:0016070	ENSP00000216277;ENSP00000238112;ENSP00000484669;ENSP00000315791;ENSP00000245934;ENSP00000332444;ENSP00000336752;ENSP00000362063;ENSP00000298875;ENSP00000292476;ENSP00000345412;ENSP00000325377;ENSP00000266679;ENSP00000300291;ENSP00000384700;ENSP00000343900
K1	string	0.9	network_modules	1	TRUE	3.30419398151077e-32	28	14	13	0.9285714285714286	0.4642857142857143	REAC:R-HSA-75067	REAC	Processing of Capped Intronless Pre-mRNA	10916	1797		0.05555555555555555	0.10526315789473684	28	10888	13	1	15	10887	10916	0.6560476227647429	2	GO:0006396;GO:0016070	ENSP00000216277;ENSP00000238112;ENSP00000484669;ENSP00000315791;ENSP00000245934;ENSP00000332444;ENSP00000336752;ENSP00000362063;ENSP00000298875;ENSP00000292476;ENSP00000345412;ENSP00000325377;ENSP00000266679;ENSP00000300291;ENSP00000384700;ENSP00000343900
K1	string	0.9	network_modules	1	TRUE	1.225281369682256e-30	96	16	16	1	0.16666666666666666	KEGG:03015	KEGG	mRNA surveillance pathway	8484	210		0.1111111111111111	0.15789473684210525	96	8388	16	0	80	8388	8484	0.4063152858046413	3	GO:0006396;GO:0016070	ENSP00000216277;ENSP00000238112;ENSP00000484669;ENSP00000315791;ENSP00000245934;ENSP00000332444;ENSP00000336752;ENSP00000362063;ENSP00000298875;ENSP00000292476;ENSP00000345412;ENSP00000325377;ENSP00000266679;ENSP00000300291;ENSP00000384700;ENSP00000343900
K1	string	0.9	network_modules	1	TRUE	1.6638270492484478e-27	56	14	13	0.9285714285714286	0.23214285714285715	REAC:R-HSA-72187	REAC	mRNA 3'-end processing	10916	2701		0.16666666666666666	0.21052631578947367	56	10860	13	1	43	10859	10916	0.46320671297565763	4	GO:0006396;GO:0016070	ENSP00000216277;ENSP00000238112;ENSP00000484669;ENSP00000315791;ENSP00000245934;ENSP00000332444;ENSP00000336752;ENSP00000362063;ENSP00000298875;ENSP00000292476;ENSP00000345412;ENSP00000325377;ENSP00000266679;ENSP00000300291;ENSP00000384700;ENSP00000343900
K1	string	0.9	network_modules	1	TRUE	1.4445538508551096e-26	65	14	13	0.9285714285714286	0.2	REAC:R-HSA-73856	REAC	RNA Polymerase II Transcription Termination	10916	1895		0.2222222222222222	0.2631578947368421	65	10851	13	1	52	10850	10916	0.42973852183335576	5	GO:0006396;GO:0016070	ENSP00000216277;ENSP00000238112;ENSP00000484669;ENSP00000315791;ENSP00000245934;ENSP00000332444;ENSP00000336752;ENSP00000362063;ENSP00000298875;ENSP00000292476;ENSP00000345412;ENSP00000325377;ENSP00000266679;ENSP00000300291;ENSP00000384700;ENSP00000343900
K1	string	0.9	network_modules	2	TRUE	3.1047605775022756e-26	108	13	13	1	0.12037037037037036	GO:0061640	GO:BP	cytoskeleton-dependent cytokinesis	16175	15599		0	0.14285714285714285	108	16067	13	0	95	16067	16175	0.3459231635652633	1	GO:0008150	ENSP00000264893;ENSP00000391311;ENSP00000268231;ENSP00000341524;ENSP00000479861;ENSP00000381992;ENSP00000391249;ENSP00000402000;ENSP00000379704;ENSP00000324511;ENSP00000380824;ENSP00000367991;ENSP00000373627
K1	string	0.9	network_modules	2	TRUE	2.2139708151680593e-23	175	13	13	1	0.07428571428571429	GO:0000910	GO:BP	cytokinesis	16175	243		0.16666666666666666	0.2857142857142857	175	16000	13	0	162	16000	16175	0.27118464289388106	2	GO:0008150	ENSP00000264893;ENSP00000391311;ENSP00000268231;ENSP00000341524;ENSP00000479861;ENSP00000381992;ENSP00000391249;ENSP00000402000;ENSP00000379704;ENSP00000324511;ENSP00000380824;ENSP00000367991;ENSP00000373627
K1	string	0.9	network_modules	3	TRUE	5.333750833943263e-30	79	15	15	1	0.189873417721519	KEGG:03018	KEGG	RNA degradation	8484	211		0	0.016129032258064516	79	8405	15	0	64	8405	8484	0.4340950927246408	1	GO:0006396;GO:0050789;GO:0016070;GO:0009057	ENSP00000221233;ENSP00000366997;ENSP00000368984;ENSP00000398597;ENSP00000368017;ENSP00000265564;ENSP00000315476;ENSP00000400646;ENSP00000359939;ENSP00000361433;ENSP00000374354;ENSP00000366135;ENSP00000352678;ENSP00000323046;ENSP00000348107;ENSP00000321711;ENSP00000258169
K1	string	0.9	network_modules	3	TRUE	2.4355811899258594e-25	16	16	10	0.625	0.625	GO:0071025	GO:BP	RNA surveillance	16175	16425		0.01639344262295082	0.03225806451612903	16	16159	10	6	6	16153	16175	0.6246286898941766	2	GO:0006396;GO:0050789;GO:0016070;GO:0009057	ENSP00000221233;ENSP00000366997;ENSP00000368984;ENSP00000398597;ENSP00000368017;ENSP00000265564;ENSP00000315476;ENSP00000400646;ENSP00000359939;ENSP00000361433;ENSP00000374354;ENSP00000366135;ENSP00000352678;ENSP00000323046;ENSP00000348107;ENSP00000321711;ENSP00000258169
K1	string	0.9	network_modules	3	TRUE	1.1441537828323718e-24	16	15	10	0.6666666666666666	0.625	REAC:R-HSA-429958	REAC	mRNA decay by 3' to 5' exoribonuclease	10916	2709		0.03278688524590164	0.04838709677419355	16	10900	10	5	6	10895	10916	0.6449938787405695	3	GO:0006396;GO:0050789;GO:0016070;GO:0009057	ENSP00000221233;ENSP00000366997;ENSP00000368984;ENSP00000398597;ENSP00000368017;ENSP00000265564;ENSP00000315476;ENSP00000400646;ENSP00000359939;ENSP00000361433;ENSP00000374354;ENSP00000366135;ENSP00000352678;ENSP00000323046;ENSP00000348107;ENSP00000321711;ENSP00000258169
