network_method	network_db	network_cutoff	experiment_info	module	source	term_id	p_value	row_rank_p	mcc	row_rank_mcc	term_name	top_go	top_kegg	top_reac
M1	cpdb	0	network_modules	1	GO:BP	GO:0140053	3.2119488539510656e-80	1	0.43619354270306115	1	mitochondrial gene expression	GO:0140053	-	-
M1	cpdb	0	network_modules	1	REAC	REAC:R-HSA-5368287	6.618821239967739e-53	1	0.42042984927728083	1	Mitochondrial translation	-	-	REAC:R-HSA-5368287
M1	cpdb	0	network_modules	3	KEGG	KEGG:04080	1.2346739980500962e-6	1	0.09121126580223766	1	Neuroactive ligand-receptor interaction	-	KEGG:04080	-
M1	cpdb	0	network_modules	3	GO:BP	GO:0007200	1.898946901211149e-6	2	0.09849475414159317	1	phospholipase C-activating G protein-coupled receptor signaling pathway	GO:0007200	-	-
M1	cpdb	0	network_modules	4	KEGG	KEGG:04350	1.3837604571632833e-62	1	0.5104555350565565	1	TGF-beta signaling pathway	-	KEGG:04350	-
M1	cpdb	0	network_modules	4	GO:BP	GO:0030509	4.836247265655233e-56	3	0.37399298200260506	4	BMP signaling pathway	GO:0030509	-	-
M1	cpdb	0	network_modules	4	REAC	REAC:R-HSA-201451	6.480788909749282e-41	2	0.5115085521728939	1	Signaling by BMP	-	-	REAC:R-HSA-201451
M1	cpdb	0	network_modules	6	GO:BP	GO:0009060	1.2487631264255512e-37	1	0.2654630653907163	2	aerobic respiration	GO:0009060	-	-
M1	cpdb	0	network_modules	6	KEGG	KEGG:00190	3.585579268527865e-37	1	0.3249013830840603	1	Oxidative phosphorylation	-	KEGG:00190	-
M1	cpdb	0	network_modules	6	REAC	REAC:R-HSA-1428517	1.2204500153001158e-33	1	0.2643203461124622	1	Aerobic respiration and respiratory electron transport	-	-	REAC:R-HSA-1428517
M1	cpdb	0	network_modules	7	REAC	REAC:R-HSA-383280	3.0754718268566447e-34	1	0.4148456266887633	1	Nuclear Receptor transcription pathway	-	-	REAC:R-HSA-383280
M1	cpdb	0	network_modules	7	GO:BP	GO:0009755	1.6761213338214994e-19	1	0.16848040742334328	1	hormone-mediated signaling pathway	GO:0009755	-	-
M1	cpdb	0	network_modules	8	KEGG	KEGG:04610	3.425283144529124e-45	1	0.43802850183390896	1	Complement and coagulation cascades	-	KEGG:04610	-
M1	cpdb	0	network_modules	8	REAC	REAC:R-HSA-140877	1.5605910356782817e-36	1	0.4316476982418276	1	Formation of Fibrin Clot (Clotting Cascade)	-	-	REAC:R-HSA-140877
M1	cpdb	0	network_modules	8	GO:BP	GO:0042730	7.099530653206709e-25	7	0.34001934903602865	1	fibrinolysis	GO:0042730	-	-
M1	cpdb	0	network_modules	9	GO:BP	GO:0016567	4.23618959473239e-57	1	0.24841201983516367	2	protein ubiquitination	GO:0016567	-	-
M1	cpdb	0	network_modules	9	REAC	REAC:R-HSA-983168	4.768937352905173e-29	1	0.21890899797522992	1	Antigen processing: Ubiquitination & Proteasome degradation	-	-	REAC:R-HSA-983168
M1	cpdb	0	network_modules	10	REAC	REAC:R-HSA-68952	2.061222001285243e-6	1	0.23798172379846555	1	DNA replication initiation	-	-	REAC:R-HSA-68952
M1	cpdb	0	network_modules	10	GO:BP	GO:0000122	1.1366452700606906e-5	1	0.06299826666780771	1	negative regulation of transcription by RNA polymerase II	GO:0000122	-	-
M1	cpdb	0	network_modules	10	KEGG	KEGG:03030	9.989969591964635e-5	1	0.14271721456051828	1	DNA replication	-	KEGG:03030	-
M1	cpdb	0	network_modules	11	GO:BP	GO:0000045	3.3954950196014527e-41	4	0.32463636698820353	2	autophagosome assembly	GO:0000045	-	-
M1	cpdb	0	network_modules	11	KEGG	KEGG:04136	5.951886866859238e-36	2	0.47421831228010863	1	Autophagy - other	-	KEGG:04136	-
M1	cpdb	0	network_modules	11	REAC	REAC:R-HSA-1632852	7.852774234541235e-30	1	0.2849130891626066	1	Macroautophagy	-	-	REAC:R-HSA-1632852
M1	cpdb	0	network_modules	12	KEGG	KEGG:04142	8.5422243349644e-6	1	0.10454774627077862	1	Lysosome	-	KEGG:04142	-
M1	cpdb	0	network_modules	12	REAC	REAC:R-HSA-8939242	1.139789360218391e-5	1	0.1967110900853052	1	RUNX1 regulates transcription of genes involved in differentiation of keratinocytes	-	-	REAC:R-HSA-8939242
M1	cpdb	0	network_modules	12	GO:BP	GO:0018149	4.664529058873195e-5	2	0.12821233904799695	1	peptide cross-linking	GO:0018149	-	-
M1	cpdb	0	network_modules	13	REAC	REAC:R-HSA-156902	8.325479840930655e-108	1	0.695786645142577	1	Peptide chain elongation	-	-	REAC:R-HSA-156902
M1	cpdb	0	network_modules	14	REAC	REAC:R-HSA-5632681	1.3493514567472883e-13	1	0.3358380905028935	1	Ligand-receptor interactions	-	-	REAC:R-HSA-5632681
M1	cpdb	0	network_modules	14	KEGG	KEGG:04340	4.4979772529975137e-10	1	0.17866479181702685	1	Hedgehog signaling pathway	-	KEGG:04340	-
M1	cpdb	0	network_modules	14	GO:BP	GO:0030203	9.214008482850073e-10	2	0.13644740326754815	1	glycosaminoglycan metabolic process	GO:0030203	-	-
M1	cpdb	0	network_modules	15	REAC	REAC:R-HSA-168898	5.589987219043768e-41	1	0.3167574693608906	1	Toll-like Receptor Cascades	-	-	REAC:R-HSA-168898
M1	cpdb	0	network_modules	15	KEGG	KEGG:04620	8.69534969921367e-30	1	0.3102019418687622	1	Toll-like receptor signaling pathway	-	KEGG:04620	-
M1	cpdb	0	network_modules	15	GO:BP	GO:0002224	3.5242596044587325e-29	1	0.3041482359604567	1	toll-like receptor signaling pathway	GO:0002224	-	-
M1	cpdb	0	network_modules	16	GO:BP	GO:0140467	5.457587421391101e-23	1	0.28032204865839394	1	integrated stress response signaling	GO:0140467	-	-
M1	cpdb	0	network_modules	16	REAC	REAC:R-HSA-9648895	2.2458555201992998e-7	1	0.21982837569089375	1	Response of EIF2AK1 (HRI) to heme deficiency	-	-	REAC:R-HSA-9648895
M1	cpdb	0	network_modules	17	REAC	REAC:R-HSA-3214847	3.841844467834947e-27	1	0.280528677392952	1	HATs acetylate histones	-	-	REAC:R-HSA-3214847
M1	cpdb	0	network_modules	17	KEGG	KEGG:03082	2.1092770987882757e-23	1	0.2994955498632734	1	ATP-dependent chromatin remodeling	-	KEGG:03082	-
M1	cpdb	0	network_modules	17	GO:BP	GO:1905168	2.683472473881935e-20	1	0.2753417660675996	1	positive regulation of double-strand break repair via homologous recombination	GO:1905168	-	-
M1	cpdb	0	network_modules	19	GO:BP	GO:0007264	1.0585664803684383e-4	1	0.06631977519602135	1	small GTPase-mediated signal transduction	GO:0007264	-	-
M1	cpdb	0	network_modules	19	REAC	REAC:R-HSA-9013148	4.880073420808212e-4	1	0.08242417032299551	1	CDC42 GTPase cycle	-	-	REAC:R-HSA-9013148
M1	cpdb	0	network_modules	20	GO:BP	GO:0000375	3.221562689331506e-99	1	0.4360162821509273	1	RNA splicing, via transesterification reactions	GO:0000375	-	-
M1	cpdb	0	network_modules	20	REAC	REAC:R-HSA-72163	5.625468432772188e-98	1	0.5185905140975143	1	mRNA Splicing - Major Pathway	-	-	REAC:R-HSA-72163
M1	cpdb	0	network_modules	20	KEGG	KEGG:03040	3.5049736977688306e-82	1	0.5162647320218665	1	Spliceosome	-	KEGG:03040	-
M1	cpdb	0	network_modules	21	GO:BP	GO:0030036	7.372005106278798e-44	1	0.21142432935581007	1	actin cytoskeleton organization	GO:0030036	-	-
M1	cpdb	0	network_modules	21	KEGG	KEGG:04814	2.8785614837411667e-18	1	0.19564434813012216	1	Motor proteins	-	KEGG:04814	-
M1	cpdb	0	network_modules	21	REAC	REAC:R-HSA-5663213	9.388034344628297e-10	3	0.1881368432630115	1	RHO GTPases Activate WASPs and WAVEs	-	-	REAC:R-HSA-5663213
M1	cpdb	0	network_modules	22	GO:BP	GO:0007186	2.17391472395354e-59	1	0.2370826282557865	2	G protein-coupled receptor signaling pathway	GO:0007186	-	-
M1	cpdb	0	network_modules	22	REAC	REAC:R-HSA-418594	2.0620963024814144e-49	1	0.29956089830734295	1	G alpha (i) signalling events	-	-	REAC:R-HSA-418594
M1	cpdb	0	network_modules	22	KEGG	KEGG:04080	5.4291044987443706e-27	1	0.21374963772012262	1	Neuroactive ligand-receptor interaction	-	KEGG:04080	-
M1	cpdb	0	network_modules	23	REAC	REAC:R-HSA-8873719	1.585015671306227e-35	1	0.4123785485178276	1	RAB geranylgeranylation	-	-	REAC:R-HSA-8873719
M1	cpdb	0	network_modules	23	GO:BP	GO:0006887	1.9363841838947607e-31	1	0.21730495950593723	1	exocytosis	GO:0006887	-	-
M1	cpdb	0	network_modules	24	GO:BP	GO:1902893	1.733473850156503e-22	3	0.2511817198322649	1	regulation of miRNA transcription	GO:1902893	-	-
M1	cpdb	0	network_modules	24	REAC	REAC:R-HSA-3108232	2.51820783863099e-19	1	0.19018523018122813	3	SUMO E3 ligases SUMOylate target proteins	-	-	REAC:R-HSA-3108232
