network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes
M1	cpdb	0.1	network_modules	1	TRUE	4.1786739139871485e-9	11	61	6	0.09836065573770492	0.5454545454545454	REAC:R-HSA-2206281	REAC	Mucopolysaccharidoses	10916	1493		0	0.047619047619047616	11	10905	6	55	5	10850	10916	0.23001360064846763	1	GO:0009059;GO:0019538	ENSG00000187764;ENSG00000118257;ENSG00000101200;ENSG00000011422;ENSG00000153283;ENSG00000077943;ENSG00000133424;ENSG00000119630;ENSG00000164307;ENSG00000158859;ENSG00000164946;ENSG00000100299;ENSG00000117090;ENSG00000083857;ENSG00000110811;ENSG00000149582;ENSG00000168515;ENSG00000114200;ENSG00000138759;ENSG00000196968;ENSG00000102125;ENSG00000163898;ENSG00000100979;ENSG00000150893;ENSG00000139974;ENSG00000215704;ENSG00000010404;ENSG00000104901;ENSG00000110328;ENSG00000169919;ENSG00000187097;ENSG00000114554;ENSG00000076356;ENSG00000197586;ENSG00000137872;ENSG00000171302;ENSG00000079931;ENSG00000115828;ENSG00000110013;ENSG00000172410;ENSG00000145730;ENSG00000152894;ENSG00000164199;ENSG00000006118;ENSG00000158966;ENSG00000140943;ENSG00000243130;ENSG00000172551;ENSG00000075673;ENSG00000164308;ENSG00000153956;ENSG00000134013;ENSG00000141012;ENSG00000143502;ENSG00000124490;ENSG00000187676;ENSG00000174944;ENSG00000102109;ENSG00000120563;ENSG00000181523;ENSG00000179431;ENSG00000087116;ENSG00000156219;ENSG00000162747;ENSG00000106714;ENSG00000168743;ENSG00000113532;ENSG00000110080;ENSG00000152127;ENSG00000184995;ENSG00000108784;ENSG00000163378;ENSG00000138744;ENSG00000070614;ENSG00000113273;ENSG00000137976;ENSG00000109323;ENSG00000146530;ENSG00000007402;ENSG00000087301;ENSG00000243137;ENSG00000156535;ENSG00000167757;ENSG00000166507;ENSG00000144227;ENSG00000185090;ENSG00000164291;ENSG00000178752;ENSG00000169105;ENSG00000129009;ENSG00000206150;ENSG00000124467;ENSG00000197745;ENSG00000144649;ENSG00000122254;ENSG00000103355;ENSG00000104499;ENSG00000165076;ENSG00000136488
M1	cpdb	0.1	network_modules	1	TRUE	1.0486629858409365e-8	315	84	16	0.19047619047619047	0.050793650793650794	GO:0009100	GO:BP	glycoprotein metabolic process	16175	3272		0.05	0.09523809523809523	315	15860	16	68	299	15792	16175	0.08940997144637639	2	GO:0009059;GO:0019538	ENSG00000187764;ENSG00000118257;ENSG00000101200;ENSG00000011422;ENSG00000153283;ENSG00000077943;ENSG00000133424;ENSG00000119630;ENSG00000164307;ENSG00000158859;ENSG00000164946;ENSG00000100299;ENSG00000117090;ENSG00000083857;ENSG00000110811;ENSG00000149582;ENSG00000168515;ENSG00000114200;ENSG00000138759;ENSG00000196968;ENSG00000102125;ENSG00000163898;ENSG00000100979;ENSG00000150893;ENSG00000139974;ENSG00000215704;ENSG00000010404;ENSG00000104901;ENSG00000110328;ENSG00000169919;ENSG00000187097;ENSG00000114554;ENSG00000076356;ENSG00000197586;ENSG00000137872;ENSG00000171302;ENSG00000079931;ENSG00000115828;ENSG00000110013;ENSG00000172410;ENSG00000145730;ENSG00000152894;ENSG00000164199;ENSG00000006118;ENSG00000158966;ENSG00000140943;ENSG00000243130;ENSG00000172551;ENSG00000075673;ENSG00000164308;ENSG00000153956;ENSG00000134013;ENSG00000141012;ENSG00000143502;ENSG00000124490;ENSG00000187676;ENSG00000174944;ENSG00000102109;ENSG00000120563;ENSG00000181523;ENSG00000179431;ENSG00000087116;ENSG00000156219;ENSG00000162747;ENSG00000106714;ENSG00000168743;ENSG00000113532;ENSG00000110080;ENSG00000152127;ENSG00000184995;ENSG00000108784;ENSG00000163378;ENSG00000138744;ENSG00000070614;ENSG00000113273;ENSG00000137976;ENSG00000109323;ENSG00000146530;ENSG00000007402;ENSG00000087301;ENSG00000243137;ENSG00000156535;ENSG00000167757;ENSG00000166507;ENSG00000144227;ENSG00000185090;ENSG00000164291;ENSG00000178752;ENSG00000169105;ENSG00000129009;ENSG00000206150;ENSG00000124467;ENSG00000197745;ENSG00000144649;ENSG00000122254;ENSG00000103355;ENSG00000104499;ENSG00000165076;ENSG00000136488
M1	cpdb	0.1	network_modules	1	TRUE	2.862129463710016e-8	125	61	11	0.18032786885245902	0.088	REAC:R-HSA-1630316	REAC	Glycosaminoglycan metabolism	10916	1076		0.1	0.14285714285714285	125	10791	11	50	114	10741	10916	0.11898648569752454	3	GO:0009059;GO:0019538	ENSG00000187764;ENSG00000118257;ENSG00000101200;ENSG00000011422;ENSG00000153283;ENSG00000077943;ENSG00000133424;ENSG00000119630;ENSG00000164307;ENSG00000158859;ENSG00000164946;ENSG00000100299;ENSG00000117090;ENSG00000083857;ENSG00000110811;ENSG00000149582;ENSG00000168515;ENSG00000114200;ENSG00000138759;ENSG00000196968;ENSG00000102125;ENSG00000163898;ENSG00000100979;ENSG00000150893;ENSG00000139974;ENSG00000215704;ENSG00000010404;ENSG00000104901;ENSG00000110328;ENSG00000169919;ENSG00000187097;ENSG00000114554;ENSG00000076356;ENSG00000197586;ENSG00000137872;ENSG00000171302;ENSG00000079931;ENSG00000115828;ENSG00000110013;ENSG00000172410;ENSG00000145730;ENSG00000152894;ENSG00000164199;ENSG00000006118;ENSG00000158966;ENSG00000140943;ENSG00000243130;ENSG00000172551;ENSG00000075673;ENSG00000164308;ENSG00000153956;ENSG00000134013;ENSG00000141012;ENSG00000143502;ENSG00000124490;ENSG00000187676;ENSG00000174944;ENSG00000102109;ENSG00000120563;ENSG00000181523;ENSG00000179431;ENSG00000087116;ENSG00000156219;ENSG00000162747;ENSG00000106714;ENSG00000168743;ENSG00000113532;ENSG00000110080;ENSG00000152127;ENSG00000184995;ENSG00000108784;ENSG00000163378;ENSG00000138744;ENSG00000070614;ENSG00000113273;ENSG00000137976;ENSG00000109323;ENSG00000146530;ENSG00000007402;ENSG00000087301;ENSG00000243137;ENSG00000156535;ENSG00000167757;ENSG00000166507;ENSG00000144227;ENSG00000185090;ENSG00000164291;ENSG00000178752;ENSG00000169105;ENSG00000129009;ENSG00000206150;ENSG00000124467;ENSG00000197745;ENSG00000144649;ENSG00000122254;ENSG00000103355;ENSG00000104499;ENSG00000165076;ENSG00000136488
M1	cpdb	0.1	network_modules	1	TRUE	4.132073885665328e-8	19	47	6	0.1276595744680851	0.3157894736842105	KEGG:00531	KEGG	Glycosaminoglycan degradation	8484	75		0.15	0.19047619047619047	19	8465	6	41	13	8424	8484	0.19803060003626455	4	GO:0009059;GO:0019538	ENSG00000187764;ENSG00000118257;ENSG00000101200;ENSG00000011422;ENSG00000153283;ENSG00000077943;ENSG00000133424;ENSG00000119630;ENSG00000164307;ENSG00000158859;ENSG00000164946;ENSG00000100299;ENSG00000117090;ENSG00000083857;ENSG00000110811;ENSG00000149582;ENSG00000168515;ENSG00000114200;ENSG00000138759;ENSG00000196968;ENSG00000102125;ENSG00000163898;ENSG00000100979;ENSG00000150893;ENSG00000139974;ENSG00000215704;ENSG00000010404;ENSG00000104901;ENSG00000110328;ENSG00000169919;ENSG00000187097;ENSG00000114554;ENSG00000076356;ENSG00000197586;ENSG00000137872;ENSG00000171302;ENSG00000079931;ENSG00000115828;ENSG00000110013;ENSG00000172410;ENSG00000145730;ENSG00000152894;ENSG00000164199;ENSG00000006118;ENSG00000158966;ENSG00000140943;ENSG00000243130;ENSG00000172551;ENSG00000075673;ENSG00000164308;ENSG00000153956;ENSG00000134013;ENSG00000141012;ENSG00000143502;ENSG00000124490;ENSG00000187676;ENSG00000174944;ENSG00000102109;ENSG00000120563;ENSG00000181523;ENSG00000179431;ENSG00000087116;ENSG00000156219;ENSG00000162747;ENSG00000106714;ENSG00000168743;ENSG00000113532;ENSG00000110080;ENSG00000152127;ENSG00000184995;ENSG00000108784;ENSG00000163378;ENSG00000138744;ENSG00000070614;ENSG00000113273;ENSG00000137976;ENSG00000109323;ENSG00000146530;ENSG00000007402;ENSG00000087301;ENSG00000243137;ENSG00000156535;ENSG00000167757;ENSG00000166507;ENSG00000144227;ENSG00000185090;ENSG00000164291;ENSG00000178752;ENSG00000169105;ENSG00000129009;ENSG00000206150;ENSG00000124467;ENSG00000197745;ENSG00000144649;ENSG00000122254;ENSG00000103355;ENSG00000104499;ENSG00000165076;ENSG00000136488
M1	cpdb	0.1	network_modules	1	TRUE	1.8797702625979764e-6	265	84	13	0.15476190476190477	0.04905660377358491	GO:0009101	GO:BP	glycoprotein biosynthetic process	16175	3273		0.2	0.23809523809523808	265	15910	13	71	252	15839	16175	0.07875956554247059	5	GO:0009059;GO:0019538	ENSG00000187764;ENSG00000118257;ENSG00000101200;ENSG00000011422;ENSG00000153283;ENSG00000077943;ENSG00000133424;ENSG00000119630;ENSG00000164307;ENSG00000158859;ENSG00000164946;ENSG00000100299;ENSG00000117090;ENSG00000083857;ENSG00000110811;ENSG00000149582;ENSG00000168515;ENSG00000114200;ENSG00000138759;ENSG00000196968;ENSG00000102125;ENSG00000163898;ENSG00000100979;ENSG00000150893;ENSG00000139974;ENSG00000215704;ENSG00000010404;ENSG00000104901;ENSG00000110328;ENSG00000169919;ENSG00000187097;ENSG00000114554;ENSG00000076356;ENSG00000197586;ENSG00000137872;ENSG00000171302;ENSG00000079931;ENSG00000115828;ENSG00000110013;ENSG00000172410;ENSG00000145730;ENSG00000152894;ENSG00000164199;ENSG00000006118;ENSG00000158966;ENSG00000140943;ENSG00000243130;ENSG00000172551;ENSG00000075673;ENSG00000164308;ENSG00000153956;ENSG00000134013;ENSG00000141012;ENSG00000143502;ENSG00000124490;ENSG00000187676;ENSG00000174944;ENSG00000102109;ENSG00000120563;ENSG00000181523;ENSG00000179431;ENSG00000087116;ENSG00000156219;ENSG00000162747;ENSG00000106714;ENSG00000168743;ENSG00000113532;ENSG00000110080;ENSG00000152127;ENSG00000184995;ENSG00000108784;ENSG00000163378;ENSG00000138744;ENSG00000070614;ENSG00000113273;ENSG00000137976;ENSG00000109323;ENSG00000146530;ENSG00000007402;ENSG00000087301;ENSG00000243137;ENSG00000156535;ENSG00000167757;ENSG00000166507;ENSG00000144227;ENSG00000185090;ENSG00000164291;ENSG00000178752;ENSG00000169105;ENSG00000129009;ENSG00000206150;ENSG00000124467;ENSG00000197745;ENSG00000144649;ENSG00000122254;ENSG00000103355;ENSG00000104499;ENSG00000165076;ENSG00000136488
M1	cpdb	0.1	network_modules	1	TRUE	1.8904594007897545e-6	288	61	13	0.21311475409836064	0.04513888888888889	REAC:R-HSA-71387	REAC	Metabolism of carbohydrates	10916	1422		0.25	0.2857142857142857	288	10628	13	48	275	10580	10916	0.08733916084108197	6	GO:0009059;GO:0019538	ENSG00000187764;ENSG00000118257;ENSG00000101200;ENSG00000011422;ENSG00000153283;ENSG00000077943;ENSG00000133424;ENSG00000119630;ENSG00000164307;ENSG00000158859;ENSG00000164946;ENSG00000100299;ENSG00000117090;ENSG00000083857;ENSG00000110811;ENSG00000149582;ENSG00000168515;ENSG00000114200;ENSG00000138759;ENSG00000196968;ENSG00000102125;ENSG00000163898;ENSG00000100979;ENSG00000150893;ENSG00000139974;ENSG00000215704;ENSG00000010404;ENSG00000104901;ENSG00000110328;ENSG00000169919;ENSG00000187097;ENSG00000114554;ENSG00000076356;ENSG00000197586;ENSG00000137872;ENSG00000171302;ENSG00000079931;ENSG00000115828;ENSG00000110013;ENSG00000172410;ENSG00000145730;ENSG00000152894;ENSG00000164199;ENSG00000006118;ENSG00000158966;ENSG00000140943;ENSG00000243130;ENSG00000172551;ENSG00000075673;ENSG00000164308;ENSG00000153956;ENSG00000134013;ENSG00000141012;ENSG00000143502;ENSG00000124490;ENSG00000187676;ENSG00000174944;ENSG00000102109;ENSG00000120563;ENSG00000181523;ENSG00000179431;ENSG00000087116;ENSG00000156219;ENSG00000162747;ENSG00000106714;ENSG00000168743;ENSG00000113532;ENSG00000110080;ENSG00000152127;ENSG00000184995;ENSG00000108784;ENSG00000163378;ENSG00000138744;ENSG00000070614;ENSG00000113273;ENSG00000137976;ENSG00000109323;ENSG00000146530;ENSG00000007402;ENSG00000087301;ENSG00000243137;ENSG00000156535;ENSG00000167757;ENSG00000166507;ENSG00000144227;ENSG00000185090;ENSG00000164291;ENSG00000178752;ENSG00000169105;ENSG00000129009;ENSG00000206150;ENSG00000124467;ENSG00000197745;ENSG00000144649;ENSG00000122254;ENSG00000103355;ENSG00000104499;ENSG00000165076;ENSG00000136488
M1	cpdb	0.1	network_modules	2	TRUE	0.0012225096165096932	8	44	3	0.06818181818181818	0.375	REAC:R-HSA-75158	REAC	TRAIL  signaling	10916	2470		0	0.25	8	10908	3	41	5	10867	10916	0.15855968416022068	1	NA	ENSG00000162738;ENSG00000104689;ENSG00000173530;ENSG00000120889;ENSG00000186038;ENSG00000006831;ENSG00000159346;ENSG00000188706;ENSG00000027697;ENSG00000090020;ENSG00000144191;ENSG00000170289;ENSG00000144730;ENSG00000143819;ENSG00000056736;ENSG00000131507;ENSG00000127743;ENSG00000100422;ENSG00000000003;ENSG00000100612;ENSG00000166090;ENSG00000110514;ENSG00000135324;ENSG00000167775;ENSG00000104341;ENSG00000050628;ENSG00000250361;ENSG00000135587;ENSG00000170832;ENSG00000141873;ENSG00000157111;ENSG00000100532;ENSG00000167194;ENSG00000140391;ENSG00000187037;ENSG00000184226;ENSG00000037749;ENSG00000023041;ENSG00000167178;ENSG00000186815;ENSG00000131725;ENSG00000179820;ENSG00000112149;ENSG00000119688;ENSG00000158555;ENSG00000170745;ENSG00000205359;ENSG00000115084;ENSG00000055211;ENSG00000074370;ENSG00000148154;ENSG00000048140;ENSG00000139263;ENSG00000155659;ENSG00000119682;ENSG00000164535;ENSG00000162341;ENSG00000175348;ENSG00000170382;ENSG00000255408;ENSG00000162104;ENSG00000143612;ENSG00000001630;ENSG00000144136;ENSG00000032444;ENSG00000158470;ENSG00000136295;ENSG00000105767;ENSG00000163162;ENSG00000054967;ENSG00000166979;ENSG00000042445;ENSG00000198874;ENSG00000004809;ENSG00000130300;ENSG00000130032;ENSG00000068137;ENSG00000198018;ENSG00000007341;ENSG00000162769;ENSG00000112195;ENSG00000188175;ENSG00000150967;ENSG00000248383;ENSG00000272674;ENSG00000253953;ENSG00000253485;ENSG00000113212;ENSG00000173227;ENSG00000185664;ENSG00000162687;ENSG00000162951;ENSG00000137507;ENSG00000188582
M1	cpdb	0.1	network_modules	3	TRUE	1.8261811453403479e-23	315	79	27	0.34177215189873417	0.08571428571428572	GO:0009100	GO:BP	glycoprotein metabolic process	16175	3272		0	0.025	315	15860	27	52	288	15808	16175	0.16339890036347396	1	GO:0009059;GO:0036211	ENSG00000154529;ENSG00000118017;ENSG00000009830;ENSG00000198162;ENSG00000154511;ENSG00000101892;ENSG00000109586;ENSG00000184857;ENSG00000158485;ENSG00000188467;ENSG00000113303;ENSG00000131067;ENSG00000105699;ENSG00000112394;ENSG00000115526;ENSG00000185873;ENSG00000171208;ENSG00000257594;ENSG00000154889;ENSG00000174684;ENSG00000011677;ENSG00000107331;ENSG00000174004;ENSG00000135454;ENSG00000197594;ENSG00000182858;ENSG00000119946;ENSG00000070413;ENSG00000130714;ENSG00000144647;ENSG00000105696;ENSG00000109738;ENSG00000086062;ENSG00000136213;ENSG00000171298;ENSG00000178084;ENSG00000184277;ENSG00000168671;ENSG00000179913;ENSG00000197121;ENSG00000171004;ENSG00000146453;ENSG00000064225;ENSG00000165905;ENSG00000153214;ENSG00000196576;ENSG00000092421;ENSG00000178700;ENSG00000185920;ENSG00000128294;ENSG00000181027;ENSG00000124334;ENSG00000129925;ENSG00000157637;ENSG00000136156;ENSG00000100258;ENSG00000105854;ENSG00000068001;ENSG00000080644;ENSG00000113269;ENSG00000113621;ENSG00000069943;ENSG00000072182;ENSG00000174607;ENSG00000073060;ENSG00000136720;ENSG00000248487;ENSG00000027847;ENSG00000139324;ENSG00000135424;ENSG00000157315;ENSG00000148841;ENSG00000170088;ENSG00000126243;ENSG00000104331;ENSG00000135776;ENSG00000153029;ENSG00000158488;ENSG00000103978;ENSG00000072042;ENSG00000135622;ENSG00000174951;ENSG00000157168;ENSG00000182197;ENSG00000144959;ENSG00000184005;ENSG00000119514;ENSG00000170340
M1	cpdb	0.1	network_modules	3	TRUE	6.686249963812894e-23	514	79	31	0.3924050632911392	0.06031128404669261	GO:1901137	GO:BP	carbohydrate derivative biosynthetic process	16175	21245		0.02564102564102564	0.05	514	15661	31	48	483	15613	16175	0.14403450536916396	2	GO:0009059;GO:0036211	ENSG00000154529;ENSG00000118017;ENSG00000009830;ENSG00000198162;ENSG00000154511;ENSG00000101892;ENSG00000109586;ENSG00000184857;ENSG00000158485;ENSG00000188467;ENSG00000113303;ENSG00000131067;ENSG00000105699;ENSG00000112394;ENSG00000115526;ENSG00000185873;ENSG00000171208;ENSG00000257594;ENSG00000154889;ENSG00000174684;ENSG00000011677;ENSG00000107331;ENSG00000174004;ENSG00000135454;ENSG00000197594;ENSG00000182858;ENSG00000119946;ENSG00000070413;ENSG00000130714;ENSG00000144647;ENSG00000105696;ENSG00000109738;ENSG00000086062;ENSG00000136213;ENSG00000171298;ENSG00000178084;ENSG00000184277;ENSG00000168671;ENSG00000179913;ENSG00000197121;ENSG00000171004;ENSG00000146453;ENSG00000064225;ENSG00000165905;ENSG00000153214;ENSG00000196576;ENSG00000092421;ENSG00000178700;ENSG00000185920;ENSG00000128294;ENSG00000181027;ENSG00000124334;ENSG00000129925;ENSG00000157637;ENSG00000136156;ENSG00000100258;ENSG00000105854;ENSG00000068001;ENSG00000080644;ENSG00000113269;ENSG00000113621;ENSG00000069943;ENSG00000072182;ENSG00000174607;ENSG00000073060;ENSG00000136720;ENSG00000248487;ENSG00000027847;ENSG00000139324;ENSG00000135424;ENSG00000157315;ENSG00000148841;ENSG00000170088;ENSG00000126243;ENSG00000104331;ENSG00000135776;ENSG00000153029;ENSG00000158488;ENSG00000103978;ENSG00000072042;ENSG00000135622;ENSG00000174951;ENSG00000157168;ENSG00000182197;ENSG00000144959;ENSG00000184005;ENSG00000119514;ENSG00000170340
M1	cpdb	0.1	network_modules	3	TRUE	1.7342832612983727e-22	265	79	25	0.31645569620253167	0.09433962264150944	GO:0009101	GO:BP	glycoprotein biosynthetic process	16175	3273		0.05128205128205128	0.075	265	15910	25	54	240	15856	16175	0.16560248973559552	3	GO:0009059;GO:0036211	ENSG00000154529;ENSG00000118017;ENSG00000009830;ENSG00000198162;ENSG00000154511;ENSG00000101892;ENSG00000109586;ENSG00000184857;ENSG00000158485;ENSG00000188467;ENSG00000113303;ENSG00000131067;ENSG00000105699;ENSG00000112394;ENSG00000115526;ENSG00000185873;ENSG00000171208;ENSG00000257594;ENSG00000154889;ENSG00000174684;ENSG00000011677;ENSG00000107331;ENSG00000174004;ENSG00000135454;ENSG00000197594;ENSG00000182858;ENSG00000119946;ENSG00000070413;ENSG00000130714;ENSG00000144647;ENSG00000105696;ENSG00000109738;ENSG00000086062;ENSG00000136213;ENSG00000171298;ENSG00000178084;ENSG00000184277;ENSG00000168671;ENSG00000179913;ENSG00000197121;ENSG00000171004;ENSG00000146453;ENSG00000064225;ENSG00000165905;ENSG00000153214;ENSG00000196576;ENSG00000092421;ENSG00000178700;ENSG00000185920;ENSG00000128294;ENSG00000181027;ENSG00000124334;ENSG00000129925;ENSG00000157637;ENSG00000136156;ENSG00000100258;ENSG00000105854;ENSG00000068001;ENSG00000080644;ENSG00000113269;ENSG00000113621;ENSG00000069943;ENSG00000072182;ENSG00000174607;ENSG00000073060;ENSG00000136720;ENSG00000248487;ENSG00000027847;ENSG00000139324;ENSG00000135424;ENSG00000157315;ENSG00000148841;ENSG00000170088;ENSG00000126243;ENSG00000104331;ENSG00000135776;ENSG00000153029;ENSG00000158488;ENSG00000103978;ENSG00000072042;ENSG00000135622;ENSG00000174951;ENSG00000157168;ENSG00000182197;ENSG00000144959;ENSG00000184005;ENSG00000119514;ENSG00000170340
