network_method	network_db	network_cutoff	experiment_info	module	source	term_id	p_value	row_rank_p	mcc	row_rank_mcc	term_name	top_go	top_kegg	top_reac
M1	cpdb	0.5	network_modules	1	GO:BP	GO:0007169	2.1238363723885356e-69	1	0.2776945702320162	1	cell surface receptor protein tyrosine kinase signaling pathway	GO:0007169	-	-
M1	cpdb	0.5	network_modules	1	GO:BP	GO:0007167	1.8832259191749743e-58	2	0.22256714342420317	10	enzyme-linked receptor protein signaling pathway	GO:0007169	-	-
M1	cpdb	0.5	network_modules	1	REAC	REAC:R-HSA-512988	3.263077371933975e-52	1	0.4608053509181884	1	Interleukin-3, Interleukin-5 and GM-CSF signaling	-	-	REAC:R-HSA-512988
M1	cpdb	0.5	network_modules	1	REAC	REAC:R-HSA-1433557	5.80707954718666e-41	2	0.40764734690190385	2	Signaling by SCF-KIT	-	-	REAC:R-HSA-512988
M1	cpdb	0.5	network_modules	1	REAC	REAC:R-HSA-9006934	1.4323291398483697e-40	3	0.21833860315628112	31	Signaling by Receptor Tyrosine Kinases	-	-	REAC:R-HSA-512988
M1	cpdb	0.5	network_modules	1	GO:BP	GO:0018108	6.4201333882962315e-40	3	0.24197150567914402	5	peptidyl-tyrosine phosphorylation	GO:0007169	-	-
M1	cpdb	0.5	network_modules	1	GO:BP	GO:0018212	7.682211895981949e-40	4	0.24137354038824663	7	peptidyl-tyrosine modification	GO:0007169	-	-
M1	cpdb	0.5	network_modules	1	REAC	REAC:R-HSA-451927	5.257836222877949e-39	4	0.3831981727959697	4	Interleukin-2 family signaling	-	-	REAC:R-HSA-512988
M1	cpdb	0.5	network_modules	1	REAC	REAC:R-HSA-449147	3.8895747236987087e-35	5	0.20314094598395943	34	Signaling by Interleukins	-	-	REAC:R-HSA-512988
M1	cpdb	0.5	network_modules	1	REAC	REAC:R-HSA-9006335	3.84592886072072e-34	6	0.404375091275533	3	Signaling by Erythropoietin	-	-	REAC:R-HSA-512988
M1	cpdb	0.5	network_modules	1	GO:BP	GO:0002768	1.5566204162770878e-33	5	0.20071986710153586	15	immune response-regulating cell surface receptor signaling pathway	GO:0007169	-	-
M1	cpdb	0.5	network_modules	1	REAC	REAC:R-HSA-186763	2.8005431645853945e-32	7	0.37985504768400624	5	Downstream signal transduction	-	-	REAC:R-HSA-512988
M1	cpdb	0.5	network_modules	1	GO:BP	GO:0046649	4.29345451275795e-32	6	0.16671714752437827	23	lymphocyte activation	GO:0007169	-	-
M1	cpdb	0.5	network_modules	1	GO:BP	GO:0002429	1.1574257116823703e-31	7	0.19702593730277773	16	immune response-activating cell surface receptor signaling pathway	GO:0007169	-	-
M1	cpdb	0.5	network_modules	1	GO:BP	GO:0045321	6.069750309104654e-31	8	0.15579775423567419	27	leukocyte activation	GO:0007169	-	-
M1	cpdb	0.5	network_modules	1	REAC	REAC:R-HSA-9680350	2.2646594290490524e-30	8	0.35303493440445993	9	Signaling by CSF1 (M-CSF) in myeloid cells	-	-	REAC:R-HSA-512988
M1	cpdb	0.5	network_modules	1	REAC	REAC:R-HSA-912631	5.137972864266824e-30	9	0.37852930080302616	6	Regulation of signaling by CBL	-	-	REAC:R-HSA-512988
M1	cpdb	0.5	network_modules	1	KEGG	KEGG:04012	6.077699594495022e-30	1	0.28511416482346824	1	ErbB signaling pathway	-	KEGG:04012	-
