network_method	network_db	network_cutoff	experiment_info	module	source	term_id	p_value	row_rank_p	mcc	row_rank_mcc	term_name	top_go	top_kegg	top_reac
M1	humanbase	0.2	network_modules	1	KEGG	KEGG:03083	1.5731396187912696e-4	1	0.098798631360373	1	Polycomb repressive complex	-	KEGG:03083	-
M1	humanbase	0.2	network_modules	2	GO:BP	GO:0022613	2.2659332682130017e-21	1	0.14175085964571266	6	ribonucleoprotein complex biogenesis	GO:0022613	-	-
M1	humanbase	0.2	network_modules	2	REAC	REAC:R-HSA-194441	1.890645633583585e-9	4	0.1467645532502559	1	Metabolism of non-coding RNA	-	-	REAC:R-HSA-194441
M1	humanbase	0.2	network_modules	3	REAC	REAC:R-HSA-6798695	1.85590038245512e-24	1	0.1682331491710712	1	Neutrophil degranulation	-	-	REAC:R-HSA-6798695
M1	humanbase	0.2	network_modules	3	KEGG	KEGG:04142	4.4906828755055716e-15	1	0.18230968689873817	1	Lysosome	-	KEGG:04142	-
M1	humanbase	0.2	network_modules	3	GO:BP	GO:0007015	9.292122073447641e-8	1	0.07934550920454891	1	actin filament organization	GO:0007015	-	-
M1	humanbase	0.2	network_modules	5	GO:BP	GO:0030198	2.495240553757934e-25	1	0.18376611145543026	2	extracellular matrix organization	GO:0030198	-	-
M1	humanbase	0.2	network_modules	5	REAC	REAC:R-HSA-3000178	1.0022182142095135e-22	2	0.2575621640529013	1	ECM proteoglycans	-	-	REAC:R-HSA-3000178
M1	humanbase	0.2	network_modules	5	KEGG	KEGG:04974	2.4163662992127974e-13	2	0.18453552819970134	1	Protein digestion and absorption	-	KEGG:04974	-
M1	humanbase	0.2	network_modules	6	GO:BP	GO:0032483	0.0041956299979911	1	0.13750302003572348	1	regulation of Rab protein signal transduction	GO:0032483	-	-
M1	humanbase	0.2	network_modules	7	GO:BP	GO:0006413	6.599731112111957e-5	1	0.08443826928295696	1	translational initiation	GO:0006413	-	-
M1	humanbase	0.2	network_modules	8	KEGG	KEGG:05132	9.677429247873554e-4	1	0.06872398893874165	1	Salmonella infection	-	KEGG:05132	-
M1	humanbase	0.2	network_modules	8	GO:BP	GO:0044087	0.0027867907844091665	1	0.049891330385680464	1	regulation of cellular component biogenesis	GO:0044087	-	-
M1	humanbase	0.2	network_modules	9	GO:BP	GO:0022613	9.93050854821119e-11	1	0.09930338107127279	1	ribonucleoprotein complex biogenesis	GO:0022613	-	-
M1	humanbase	0.2	network_modules	10	GO:BP	GO:0044786	7.907042167233852e-19	5	0.24640677489662333	1	cell cycle DNA replication	GO:0044786	-	-
M1	humanbase	0.2	network_modules	10	REAC	REAC:R-HSA-69190	1.976978956695619e-17	3	0.2709893613069137	1	DNA strand elongation	-	-	REAC:R-HSA-69190
M1	humanbase	0.2	network_modules	10	KEGG	KEGG:03030	1.3175762548714557e-16	1	0.29433000090827843	1	DNA replication	-	KEGG:03030	-
M1	humanbase	0.2	network_modules	11	GO:BP	GO:0000398	1.6434477716718652e-26	1	0.18520847498230278	1	mRNA splicing, via spliceosome	GO:0000398	-	-
M1	humanbase	0.2	network_modules	11	REAC	REAC:R-HSA-72163	2.0460711161839375e-25	2	0.2176739254815548	1	mRNA Splicing - Major Pathway	-	-	REAC:R-HSA-72163
M1	humanbase	0.2	network_modules	11	KEGG	KEGG:03040	6.255692313096867e-15	1	0.17704827252465621	1	Spliceosome	-	KEGG:03040	-
M1	humanbase	0.2	network_modules	12	GO:BP	GO:0042254	5.575995636771311e-42	2	0.26298704277168894	1	ribosome biogenesis	GO:0042254	-	-
M1	humanbase	0.2	network_modules	12	REAC	REAC:R-HSA-72312	9.837376492820159e-27	1	0.2409572162288703	1	rRNA processing	-	-	REAC:R-HSA-72312
M1	humanbase	0.2	network_modules	13	GO:BP	GO:1903047	4.336313188753492e-35	1	0.18039879142859352	3	mitotic cell cycle process	GO:1903047	-	-
M1	humanbase	0.2	network_modules	13	KEGG	KEGG:04110	1.2120085757893383e-22	1	0.23451319714840846	1	Cell cycle	-	KEGG:04110	-
M1	humanbase	0.2	network_modules	13	REAC	REAC:R-HSA-68962	2.376506880567888e-15	5	0.24846065925798055	1	Activation of the pre-replicative complex	-	-	REAC:R-HSA-68962
M1	humanbase	0.2	network_modules	14	KEGG	KEGG:00280	1.805608294183679e-5	1	0.13797250378202472	1	Valine, leucine and isoleucine degradation	-	KEGG:00280	-
M1	humanbase	0.2	network_modules	15	GO:BP	GO:0006119	1.6515837863984065e-66	1	0.43383299446502327	1	oxidative phosphorylation	GO:0006119	-	-
M1	humanbase	0.2	network_modules	15	KEGG	KEGG:00190	3.421658477310131e-61	1	0.4653652557332267	1	Oxidative phosphorylation	-	KEGG:00190	-
M1	humanbase	0.2	network_modules	15	REAC	REAC:R-HSA-611105	1.4540377835800286e-49	2	0.4053648184853462	1	Respiratory electron transport	-	-	REAC:R-HSA-611105
