network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes	row_rank_p	row_rank_mcc	top_go	top_kegg	top_reac
M1	humanbase	0.2	network_modules	1	TRUE	1.5731396187912696e-4	84	39	6	0.15384615384615385	0.07142857142857142	KEGG:03083	KEGG	Polycomb repressive complex	8484	220		0	0.25	84	8400	6	33	78	8367	8484	0.098798631360373	1	NA	8675;10806;23476;4775;7748;84186;10363;51780;55193;378938;23131;23199;8019;9181;55252;171023;55209;6046;64784;84901;9716;379025;403341;23099;9208;23613;4297;284443;55729;283131;7536;130872;441242;54799;55037;338657;55268;641298;84897;27327;55599;65125;7767;55578;2734;8672;9527;3054;29896;29843;22909;10521;8874;10902;4676;22992;51174;57466;6433;8847;11232;54737;3621;79469;79848;22796;4799;11146;90799;57508;58487;4204;58508;27252;58486;79602;23466;50717;4437;140901;22794;51478;84914;5900;375449;54876;5428;29123;84961;7726;91768;4782;91548;8148;9923;29915;7589;147687;151878;89882	1	1	-	KEGG:03083	-
M1	humanbase	0.2	network_modules	2	TRUE	2.2659332682130017e-21	390	94	29	0.30851063829787234	0.07435897435897436	GO:0022613	GO:BP	ribonucleoprotein complex biogenesis	16175	6620		0	0.009708737864077669	390	15785	29	65	361	15720	16175	0.14175085964571266	1	GO:0000375;GO:0051179;GO:0016070;GO:0009117;GO:0042254;GO:0065003	4904;1104;3326;2091;23636;10436;9688;23212;204;7283;9533;79080;6427;6628;328;203068;3609;6627;7965;3329;79833;9128;6749;54107;23076;9221;5202;50628;29107;6631;10197;7372;5631;1736;7203;7027;5036;3608;705;5690;142;10598;79902;246243;4953;55226;57510;471;10328;9410;29960;8683;79084;6472;5437;23404;5902;6636;80324;4522;4691;4609;10946;9775;1503;10606;1019;23016;708;3735;51728;79077;3182;5901;6597;10574;4830;10963;8607;2618;5707;51491;5198;10419;10921;51593;55720;2976;51154;8480;5433;9416;10528;7374;51433;7371;9898	1	6	GO:0022613	-	-
M1	humanbase	0.2	network_modules	2	TRUE	1.890645633583585e-9	51	85	10	0.11764705882352941	0.19607843137254902	REAC:R-HSA-194441	REAC	Metabolism of non-coding RNA	10916	1431		0.14705882352941177	0.1650485436893204	51	10865	10	75	41	10790	10916	0.1467645532502559	16.5	GO:0000375;GO:0051179;GO:0016070;GO:0009117;GO:0042254;GO:0065003	4904;1104;3326;2091;23636;10436;9688;23212;204;7283;9533;79080;6427;6628;328;203068;3609;6627;7965;3329;79833;9128;6749;54107;23076;9221;5202;50628;29107;6631;10197;7372;5631;1736;7203;7027;5036;3608;705;5690;142;10598;79902;246243;4953;55226;57510;471;10328;9410;29960;8683;79084;6472;5437;23404;5902;6636;80324;4522;4691;4609;10946;9775;1503;10606;1019;23016;708;3735;51728;79077;3182;5901;6597;10574;4830;10963;8607;2618;5707;51491;5198;10419;10921;51593;55720;2976;51154;8480;5433;9416;10528;7374;51433;7371;9898	4	1	-	-	REAC:R-HSA-194441
M1	humanbase	0.2	network_modules	3	TRUE	1.85590038245512e-24	476	74	34	0.4594594594594595	0.07142857142857142	REAC:R-HSA-6798695	REAC	Neutrophil degranulation	10916	1597		0	0.038461538461538464	476	10440	34	40	442	10400	10916	0.1682331491710712	1	GO:0006996	2316;3597;5355;64778;2760;1495;3460;10109;6281;2014;8682;84617;3916;1075;1514;87;6282;53827;10970;5552;960;706;4758;58472;5476;10092;7077;8407;7045;2896;4267;9948;7171;1462;965;3988;29108;6386;23406;302;23603;8992;2512;5660;10095;3693;967;966;2799;3956;822;4000;2495;10487;2517;307;1508;4814;1192;9123;4478;5899;7106;6277;3074;4627;832;2335;2876;10457;7076;6275;2280;10577;64747;83442;11031;2720;2934;308;26509;7431;1476;301;1992;3958;10956;1200;754;10493;30851	1	1	-	-	REAC:R-HSA-6798695
M1	humanbase	0.2	network_modules	3	TRUE	4.4906828755055716e-15	131	54	16	0.2962962962962963	0.12213740458015267	KEGG:04142	KEGG	Lysosome	8484	279		0.04	0.07692307692307693	131	8353	16	38	115	8315	8484	0.18230968689873817	2	GO:0006996	2316;3597;5355;64778;2760;1495;3460;10109;6281;2014;8682;84617;3916;1075;1514;87;6282;53827;10970;5552;960;706;4758;58472;5476;10092;7077;8407;7045;2896;4267;9948;7171;1462;965;3988;29108;6386;23406;302;23603;8992;2512;5660;10095;3693;967;966;2799;3956;822;4000;2495;10487;2517;307;1508;4814;1192;9123;4478;5899;7106;6277;3074;4627;832;2335;2876;10457;7076;6275;2280;10577;64747;83442;11031;2720;2934;308;26509;7431;1476;301;1992;3958;10956;1200;754;10493;30851	1	1	-	KEGG:04142	-
M1	humanbase	0.2	network_modules	3	TRUE	9.292122073447641e-8	407	88	17	0.19318181818181818	0.04176904176904177	GO:0007015	GO:BP	actin filament organization	16175	2624		0.08	0.11538461538461539	407	15768	17	71	390	15697	16175	0.07934550920454891	3	GO:0006996	2316;3597;5355;64778;2760;1495;3460;10109;6281;2014;8682;84617;3916;1075;1514;87;6282;53827;10970;5552;960;706;4758;58472;5476;10092;7077;8407;7045;2896;4267;9948;7171;1462;965;3988;29108;6386;23406;302;23603;8992;2512;5660;10095;3693;967;966;2799;3956;822;4000;2495;10487;2517;307;1508;4814;1192;9123;4478;5899;7106;6277;3074;4627;832;2335;2876;10457;7076;6275;2280;10577;64747;83442;11031;2720;2934;308;26509;7431;1476;301;1992;3958;10956;1200;754;10493;30851	1	1	GO:0007015	-	-
M1	humanbase	0.2	network_modules	5	TRUE	2.495240553757934e-25	236	79	26	0.3291139240506329	0.11016949152542373	GO:0030198	GO:BP	extracellular matrix organization	16175	6707		0.013333333333333334	0.02631578947368421	236	15939	26	53	210	15886	16175	0.18376611145543026	2	GO:0032502;GO:0043062;GO:0045229;GO:0050789	1009;5358;2149;2619;10398;84870;3481;3624;55205;8425;165;171024;56034;2200;10631;1277;1278;1281;8406;4256;3679;3489;11098;4323;1292;1303;22795;3910;83716;1282;1289;1290;1634;2202;29995;3371;3912;4060;5118;59;6876;727936;7412;4811;285761;55959;4035;5176;1879;3486;10174;1291;3487;81888;4629;4638;7373;2260;7041;1513;3339;3488;1264;633;3908;54587;4016;1293;10536;80781;23452;4192;5154;72;130271;11117;728264;3479;119587;1805;5159;23090;2006;5549	1	2	GO:0030198	-	-
M1	humanbase	0.2	network_modules	5	TRUE	1.0022182142095135e-22	76	62	18	0.2903225806451613	0.23684210526315788	REAC:R-HSA-3000178	REAC	ECM proteoglycans	10916	812		0.05333333333333334	0.06578947368421052	76	10840	18	44	58	10796	10916	0.2575621640529013	5	GO:0032502;GO:0043062;GO:0045229;GO:0050789	1009;5358;2149;2619;10398;84870;3481;3624;55205;8425;165;171024;56034;2200;10631;1277;1278;1281;8406;4256;3679;3489;11098;4323;1292;1303;22795;3910;83716;1282;1289;1290;1634;2202;29995;3371;3912;4060;5118;59;6876;727936;7412;4811;285761;55959;4035;5176;1879;3486;10174;1291;3487;81888;4629;4638;7373;2260;7041;1513;3339;3488;1264;633;3908;54587;4016;1293;10536;80781;23452;4192;5154;72;130271;11117;728264;3479;119587;1805;5159;23090;2006;5549	2	1	-	-	REAC:R-HSA-3000178
M1	humanbase	0.2	network_modules	5	TRUE	2.4163662992127974e-13	103	45	13	0.28888888888888886	0.1262135922330097	KEGG:04974	KEGG	Protein digestion and absorption	8484	405		0.2	0.21052631578947367	103	8381	13	32	90	8349	8484	0.18453552819970134	16	GO:0032502;GO:0043062;GO:0045229;GO:0050789	1009;5358;2149;2619;10398;84870;3481;3624;55205;8425;165;171024;56034;2200;10631;1277;1278;1281;8406;4256;3679;3489;11098;4323;1292;1303;22795;3910;83716;1282;1289;1290;1634;2202;29995;3371;3912;4060;5118;59;6876;727936;7412;4811;285761;55959;4035;5176;1879;3486;10174;1291;3487;81888;4629;4638;7373;2260;7041;1513;3339;3488;1264;633;3908;54587;4016;1293;10536;80781;23452;4192;5154;72;130271;11117;728264;3479;119587;1805;5159;23090;2006;5549	2	1	-	KEGG:04974	-
M1	humanbase	0.2	network_modules	6	TRUE	0.0041956299979911	7	67	3	0.04477611940298507	0.42857142857142855	GO:0032483	GO:BP	regulation of Rab protein signal transduction	16175	7594		0	0.5	7	16168	3	64	4	16104	16175	0.13750302003572348	1	GO:0050789	26088;57658;1877;8603;92335;78994;79903;8567;1785;23061;9905;79735;90864;1107;64745;119016;10296;80336;26140;155066;9814;9968;23644;9284;9129;55692;8242;100101267;27434;90990;4926;79058;55666;9909;23247;10482;9139;54487;4122;55367;9546;26039;8227;23152;23030;8729;55111;23370;22838;7593;27352;11180;4363;5297;79829;5116;23580;271;728233;81559;5977;2145;79034;9919;9772;22870;8310;150472;9013;7916;51547;2580;5195;1186;339287;26999;84264;84861;29882;11188;56257;9924;6687;8720	1	1	GO:0032483	-	-
