network_method	network_db	network_cutoff	experiment_info	module	source	term_id	p_value	row_rank_p	mcc	row_rank_mcc	term_name	top_go	top_kegg	top_reac
M1	humanbase	0.6	network_modules	1	REAC	REAC:R-HSA-6798695	1.9905684098125e-7	1	0.08629401480838611	1	Neutrophil degranulation	-	-	REAC:R-HSA-6798695
M1	humanbase	0.6	network_modules	1	KEGG	KEGG:04142	1.626591860448312e-4	1	0.08423654688133053	1	Lysosome	-	KEGG:04142	-
M1	humanbase	0.6	network_modules	2	GO:BP	GO:0022613	5.582220531372379e-23	1	0.14889222989984172	5	ribonucleoprotein complex biogenesis	GO:1904816	-	-
M1	humanbase	0.6	network_modules	2	GO:BP	GO:0042254	6.032594867966037e-20	2	0.15013465806092438	4	ribosome biogenesis	GO:1904816	-	-
M1	humanbase	0.6	network_modules	2	GO:BP	GO:0016072	5.0403186274014305e-11	3	0.10901740028217065	6	rRNA metabolic process	GO:1904816	-	-
M1	humanbase	0.6	network_modules	2	REAC	REAC:R-HSA-8868773	7.854515652751238e-10	1	0.11634147450556916	1	rRNA processing in the nucleus and cytosol	-	-	REAC:R-HSA-8868773
M1	humanbase	0.6	network_modules	2	GO:BP	GO:0006364	1.01089808546943e-9	4	0.10541890357940219	7	rRNA processing	GO:1904816	-	-
M1	humanbase	0.6	network_modules	2	REAC	REAC:R-HSA-72312	1.6439311073049446e-9	2	0.1129165276119117	3	rRNA processing	-	-	REAC:R-HSA-8868773
M1	humanbase	0.6	network_modules	2	GO:BP	GO:0006412	6.560306265568996e-8	5	0.07507259809454778	10	translation	GO:1904816	-	-
M1	humanbase	0.6	network_modules	2	GO:BP	GO:1904816	7.225776156418132e-8	6	0.17191491970562478	1	positive regulation of protein localization to chromosome, telomeric region	GO:1904816	-	-
M1	humanbase	0.6	network_modules	2	GO:BP	GO:1904814	2.0883515262562663e-7	7	0.15974674641058825	3	regulation of protein localization to chromosome, telomeric region	GO:1904816	-	-
M1	humanbase	0.6	network_modules	2	KEGG	KEGG:03008	5.816876502802481e-7	1	0.11008021638770611	1	Ribosome biogenesis in eukaryotes	-	KEGG:03008	-
M1	humanbase	0.6	network_modules	2	REAC	REAC:R-HSA-6791226	1.1098105471474015e-6	3	0.09387274416457875	4	Major pathway of rRNA processing in the nucleolus and cytosol	-	-	REAC:R-HSA-8868773
M1	humanbase	0.6	network_modules	2	GO:BP	GO:0006403	1.2008553561168546e-6	8	0.08736449400052046	8	RNA localization	GO:1904816	-	-
M1	humanbase	0.6	network_modules	2	GO:BP	GO:0034504	1.539662731008129e-6	9	0.0789127811598848	9	protein localization to nucleus	GO:1904816	-	-
M1	humanbase	0.6	network_modules	2	REAC	REAC:R-HSA-6790901	1.97257679062915e-6	4	0.11572514327926482	2	rRNA modification in the nucleus and cytosol	-	-	REAC:R-HSA-8868773
M1	humanbase	0.6	network_modules	2	GO:BP	GO:1904851	1.9910934415351276e-6	10	0.16348590979936214	2	positive regulation of establishment of protein localization to telomere	GO:1904816	-	-
M1	humanbase	0.6	network_modules	3	REAC	REAC:R-HSA-909733	3.2174113137897876e-59	1	0.479770353923292	1	Interferon alpha/beta signaling	-	-	REAC:R-HSA-909733
M1	humanbase	0.6	network_modules	3	GO:BP	GO:0009615	2.030089204783869e-54	1	0.27378877970242027	3	response to virus	GO:0051607	-	-
M1	humanbase	0.6	network_modules	3	GO:BP	GO:0051607	6.622969119379784e-53	2	0.2978078376754243	1	defense response to virus	GO:0051607	-	-
M1	humanbase	0.6	network_modules	3	REAC	REAC:R-HSA-913531	8.742270081838867e-53	2	0.31696501083822753	2	Interferon Signaling	-	-	REAC:R-HSA-909733
M1	humanbase	0.6	network_modules	3	GO:BP	GO:0045087	2.9352717579634693e-41	3	0.1886246124715799	12	innate immune response	GO:0051607	-	-
M1	humanbase	0.6	network_modules	3	GO:BP	GO:0048525	2.5335909654862303e-32	4	0.2721143700013325	4	negative regulation of viral process	GO:0051607	-	-
M1	humanbase	0.6	network_modules	3	GO:BP	GO:0050792	6.56594858930497e-31	5	0.22744597478391584	6	regulation of viral process	GO:0051607	-	-
M1	humanbase	0.6	network_modules	3	GO:BP	GO:1903900	3.6348129490217186e-29	6	0.22710171538131707	7	regulation of viral life cycle	GO:0051607	-	-
M1	humanbase	0.6	network_modules	3	GO:BP	GO:0045071	1.300004375322862e-27	7	0.2791361372334924	2	negative regulation of viral genome replication	GO:0051607	-	-
M1	humanbase	0.6	network_modules	3	GO:BP	GO:1901652	5.818919644404092e-27	8	0.1506386417519905	21	response to peptide	GO:0051607	-	-
M1	humanbase	0.6	network_modules	3	GO:BP	GO:0034097	5.818919644404092e-27	9	0.1506386417519905	22	response to cytokine	GO:0051607	-	-
M1	humanbase	0.6	network_modules	3	GO:BP	GO:0002831	1.9202755386952057e-26	10	0.16017151275204003	20	regulation of response to biotic stimulus	GO:0051607	-	-
M1	humanbase	0.6	network_modules	3	GO:BP	GO:0045069	9.174268587704194e-26	11	0.2401242989933533	5	regulation of viral genome replication	GO:0051607	-	-
M1	humanbase	0.6	network_modules	3	GO:BP	GO:0016032	1.1458560644509354e-25	12	0.16660380549788686	17	viral process	GO:0051607	-	-
