network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes
M1	humanbase	0.9	network_modules	1	TRUE	2.331284249524486e-155	94	78	72	0.9230769230769231	0.7659574468085106	REAC:R-HSA-156842	REAC	Eukaryotic Translation Elongation	10916	870		0	0.016129032258064516	94	10822	72	6	22	10816	10916	0.8396262130157384	1	GO:0016070;GO:0006412;GO:0006396;GO:0042254	51386;1938;23521;3646;6136;6143;6160;6175;6187;6217;6228;6229;10412;4666;4736;4869;6124;6135;6139;6146;6152;6156;6161;6201;6230;689;8667;9349;11224;1933;1937;2197;25873;3921;5204;6122;6128;6129;6130;6132;6133;6137;6138;6141;6144;6147;6155;6158;6164;6171;6173;6176;6188;6189;6191;6193;6194;6203;6204;6205;6207;6209;6218;6222;6223;6224;6227;6232;6234;6235;7311;9045;1915;6170;7178;6125;6210;1975;29997;6157;6159;6168;6142
M1	humanbase	0.9	network_modules	1	TRUE	1.5761423150833068e-150	90	78	70	0.8974358974358975	0.7777777777777778	REAC:R-HSA-156902	REAC	Peptide chain elongation	10916	1723		0.01639344262295082	0.03225806451612903	90	10826	70	8	20	10818	10916	0.8342113711071434	2	GO:0016070;GO:0006412;GO:0006396;GO:0042254	51386;1938;23521;3646;6136;6143;6160;6175;6187;6217;6228;6229;10412;4666;4736;4869;6124;6135;6139;6146;6152;6156;6161;6201;6230;689;8667;9349;11224;1933;1937;2197;25873;3921;5204;6122;6128;6129;6130;6132;6133;6137;6138;6141;6144;6147;6155;6158;6164;6171;6173;6176;6188;6189;6191;6193;6194;6203;6204;6205;6207;6209;6218;6222;6223;6224;6227;6232;6234;6235;7311;9045;1915;6170;7178;6125;6210;1975;29997;6157;6159;6168;6142
M1	humanbase	0.9	network_modules	1	TRUE	3.1188200481073134e-147	102	78	71	0.9102564102564102	0.696078431372549	REAC:R-HSA-72689	REAC	Formation of a pool of free 40S subunits	10916	953		0.03278688524590164	0.04838709677419355	102	10814	71	7	31	10807	10916	0.7943749057910503	3	GO:0016070;GO:0006412;GO:0006396;GO:0042254	51386;1938;23521;3646;6136;6143;6160;6175;6187;6217;6228;6229;10412;4666;4736;4869;6124;6135;6139;6146;6152;6156;6161;6201;6230;689;8667;9349;11224;1933;1937;2197;25873;3921;5204;6122;6128;6129;6130;6132;6133;6137;6138;6141;6144;6147;6155;6158;6164;6171;6173;6176;6188;6189;6191;6193;6194;6203;6204;6205;6207;6209;6218;6222;6223;6224;6227;6232;6234;6235;7311;9045;1915;6170;7178;6125;6210;1975;29997;6157;6159;6168;6142
M1	humanbase	0.9	network_modules	1	TRUE	5.774581141072064e-146	112	78	72	0.9230769230769231	0.6428571428571429	REAC:R-HSA-156827	REAC	L13a-mediated translational silencing of Ceruloplasmin expression	10916	1293		0.04918032786885246	0.06451612903225806	112	10804	72	6	40	10798	10916	0.7684552088885652	4	GO:0016070;GO:0006412;GO:0006396;GO:0042254	51386;1938;23521;3646;6136;6143;6160;6175;6187;6217;6228;6229;10412;4666;4736;4869;6124;6135;6139;6146;6152;6156;6161;6201;6230;689;8667;9349;11224;1933;1937;2197;25873;3921;5204;6122;6128;6129;6130;6132;6133;6137;6138;6141;6144;6147;6155;6158;6164;6171;6173;6176;6188;6189;6191;6193;6194;6203;6204;6205;6207;6209;6218;6222;6223;6224;6227;6232;6234;6235;7311;9045;1915;6170;7178;6125;6210;1975;29997;6157;6159;6168;6142
M1	humanbase	0.9	network_modules	1	TRUE	1.590659198230221e-145	113	78	72	0.9230769230769231	0.6371681415929203	REAC:R-HSA-72706	REAC	GTP hydrolysis and joining of the 60S ribosomal subunit	10916	1027		0.06557377049180328	0.08064516129032258	113	10803	72	6	41	10797	10916	0.7650060343364504	5	GO:0016070;GO:0006412;GO:0006396;GO:0042254	51386;1938;23521;3646;6136;6143;6160;6175;6187;6217;6228;6229;10412;4666;4736;4869;6124;6135;6139;6146;6152;6156;6161;6201;6230;689;8667;9349;11224;1933;1937;2197;25873;3921;5204;6122;6128;6129;6130;6132;6133;6137;6138;6141;6144;6147;6155;6158;6164;6171;6173;6176;6188;6189;6191;6193;6194;6203;6204;6205;6207;6209;6218;6222;6223;6224;6227;6232;6234;6235;7311;9045;1915;6170;7178;6125;6210;1975;29997;6157;6159;6168;6142
M1	humanbase	0.9	network_modules	1	TRUE	2.1426411435080967e-143	90	78	68	0.8717948717948718	0.7555555555555555	REAC:R-HSA-192823	REAC	Viral mRNA Translation	10916	2650		0.08196721311475409	0.0967741935483871	90	10826	68	10	22	10816	10916	0.8101557606805008	6	GO:0016070;GO:0006412;GO:0006396;GO:0042254	51386;1938;23521;3646;6136;6143;6160;6175;6187;6217;6228;6229;10412;4666;4736;4869;6124;6135;6139;6146;6152;6156;6161;6201;6230;689;8667;9349;11224;1933;1937;2197;25873;3921;5204;6122;6128;6129;6130;6132;6133;6137;6138;6141;6144;6147;6155;6158;6164;6171;6173;6176;6188;6189;6191;6193;6194;6203;6204;6205;6207;6209;6218;6222;6223;6224;6227;6232;6234;6235;7311;9045;1915;6170;7178;6125;6210;1975;29997;6157;6159;6168;6142
M1	humanbase	0.9	network_modules	1	TRUE	1.2802296791369805e-142	120	78	72	0.9230769230769231	0.6	REAC:R-HSA-72737	REAC	Cap-dependent Translation Initiation	10916	304		0.09836065573770492	0.12903225806451613	120	10796	72	6	48	10790	10916	0.7420770093942409	7.5	GO:0016070;GO:0006412;GO:0006396;GO:0042254	51386;1938;23521;3646;6136;6143;6160;6175;6187;6217;6228;6229;10412;4666;4736;4869;6124;6135;6139;6146;6152;6156;6161;6201;6230;689;8667;9349;11224;1933;1937;2197;25873;3921;5204;6122;6128;6129;6130;6132;6133;6137;6138;6141;6144;6147;6155;6158;6164;6171;6173;6176;6188;6189;6191;6193;6194;6203;6204;6205;6207;6209;6218;6222;6223;6224;6227;6232;6234;6235;7311;9045;1915;6170;7178;6125;6210;1975;29997;6157;6159;6168;6142
M1	humanbase	0.9	network_modules	1	TRUE	1.2802296791369805e-142	120	78	72	0.9230769230769231	0.6	REAC:R-HSA-72613	REAC	Eukaryotic Translation Initiation	10916	871		0.09836065573770492	0.12903225806451613	120	10796	72	6	48	10790	10916	0.7420770093942409	7.5	GO:0016070;GO:0006412;GO:0006396;GO:0042254	51386;1938;23521;3646;6136;6143;6160;6175;6187;6217;6228;6229;10412;4666;4736;4869;6124;6135;6139;6146;6152;6156;6161;6201;6230;689;8667;9349;11224;1933;1937;2197;25873;3921;5204;6122;6128;6129;6130;6132;6133;6137;6138;6141;6144;6147;6155;6158;6164;6171;6173;6176;6188;6189;6191;6193;6194;6203;6204;6205;6207;6209;6218;6222;6223;6224;6227;6232;6234;6235;7311;9045;1915;6170;7178;6125;6210;1975;29997;6157;6159;6168;6142
M1	humanbase	0.9	network_modules	1	TRUE	4.354665139901907e-141	94	78	68	0.8717948717948718	0.723404255319149	REAC:R-HSA-72764	REAC	Eukaryotic Translation Termination	10916	872		0.13114754098360656	0.16129032258064516	94	10822	68	10	26	10812	10916	0.792541063693708	9.5	GO:0016070;GO:0006412;GO:0006396;GO:0042254	51386;1938;23521;3646;6136;6143;6160;6175;6187;6217;6228;6229;10412;4666;4736;4869;6124;6135;6139;6146;6152;6156;6161;6201;6230;689;8667;9349;11224;1933;1937;2197;25873;3921;5204;6122;6128;6129;6130;6132;6133;6137;6138;6141;6144;6147;6155;6158;6164;6171;6173;6176;6188;6189;6191;6193;6194;6203;6204;6205;6207;6209;6218;6222;6223;6224;6227;6232;6234;6235;7311;9045;1915;6170;7178;6125;6210;1975;29997;6157;6159;6168;6142
M1	humanbase	0.9	network_modules	1	TRUE	4.354665139901907e-141	94	78	68	0.8717948717948718	0.723404255319149	REAC:R-HSA-2408557	REAC	Selenocysteine synthesis	10916	2188		0.13114754098360656	0.16129032258064516	94	10822	68	10	26	10812	10916	0.792541063693708	9.5	GO:0016070;GO:0006412;GO:0006396;GO:0042254	51386;1938;23521;3646;6136;6143;6160;6175;6187;6217;6228;6229;10412;4666;4736;4869;6124;6135;6139;6146;6152;6156;6161;6201;6230;689;8667;9349;11224;1933;1937;2197;25873;3921;5204;6122;6128;6129;6130;6132;6133;6137;6138;6141;6144;6147;6155;6158;6164;6171;6173;6176;6188;6189;6191;6193;6194;6203;6204;6205;6207;6209;6218;6222;6223;6224;6227;6232;6234;6235;7311;9045;1915;6170;7178;6125;6210;1975;29997;6157;6159;6168;6142
