network_method	network_db	network_cutoff	experiment_info	module	source	term_id	p_value	row_rank_p	mcc	row_rank_mcc	term_name	top_go	top_kegg	top_reac
M1	string	0.4	network_modules	1	KEGG	KEGG:04350	5.0440901578290527e-82	1	0.5693530187340792	1	TGF-beta signaling pathway	-	KEGG:04350	-
M1	string	0.4	network_modules	1	GO:BP	GO:0030509	2.981928330692857e-72	3	0.4257976182523406	2	BMP signaling pathway	GO:0030509	-	-
M1	string	0.4	network_modules	1	REAC	REAC:R-HSA-201451	9.8241255730279e-55	2	0.5659116279938282	1	Signaling by BMP	-	-	REAC:R-HSA-201451
M1	string	0.4	network_modules	2	GO:BP	GO:0097006	1.7949866159854666e-42	1	0.3547821830510006	1	regulation of plasma lipoprotein particle levels	GO:0097006	-	-
M1	string	0.4	network_modules	2	REAC	REAC:R-HSA-174824	3.3836779544958904e-38	1	0.3493150360069894	1	Plasma lipoprotein assembly, remodeling, and clearance	-	-	REAC:R-HSA-174824
M1	string	0.4	network_modules	2	KEGG	KEGG:04979	1.734966725267222e-31	1	0.3924428983186764	1	Cholesterol metabolism	-	KEGG:04979	-
M1	string	0.4	network_modules	3	KEGG	KEGG:04630	4.402891939033376e-126	1	0.6458237871775895	1	JAK-STAT signaling pathway	-	KEGG:04630	-
M1	string	0.4	network_modules	3	GO:BP	GO:0007259	6.513763006336997e-79	3	0.4384432049695099	1	cell surface receptor signaling pathway via JAK-STAT	GO:0007259	-	-
M1	string	0.4	network_modules	3	REAC	REAC:R-HSA-8854691	3.8454444836030295e-36	2	0.42188274512774937	1	Interleukin-20 family signaling	-	-	REAC:R-HSA-8854691
M1	string	0.4	network_modules	4	GO:BP	GO:0016339	9.815870959516278e-43	4	0.384334923637629	1	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	GO:0016339	-	-
M1	string	0.4	network_modules	4	REAC	REAC:R-HSA-418990	3.312157617272301e-33	1	0.35614263766154813	1	Adherens junctions interactions	-	-	REAC:R-HSA-418990
M1	string	0.4	network_modules	5	REAC	REAC:R-HSA-674695	3.2251057109811987e-164	1	0.8760355663003836	1	RNA Polymerase II Pre-transcription Events	-	-	REAC:R-HSA-674695
M1	string	0.4	network_modules	5	KEGG	KEGG:03022	4.473393096505931e-73	1	0.6843764171682971	1	Basal transcription factors	-	KEGG:03022	-
M1	string	0.4	network_modules	5	GO:BP	GO:0006367	6.486978263623958e-39	1	0.26974888321928114	1	transcription initiation at RNA polymerase II promoter	GO:0006367	-	-
M1	string	0.4	network_modules	6	KEGG	KEGG:03460	5.993106464441175e-42	1	0.48944746090920493	1	Fanconi anemia pathway	-	KEGG:03460	-
M1	string	0.4	network_modules	6	REAC	REAC:R-HSA-6783310	6.486030804986757e-38	1	0.43105483158377284	1	Fanconi Anemia Pathway	-	-	REAC:R-HSA-6783310
M1	string	0.4	network_modules	6	GO:BP	GO:0036297	3.0851036694172188e-27	2	0.3120864509355136	1	interstrand cross-link repair	GO:0036297	-	-
M1	string	0.4	network_modules	7	REAC	REAC:R-HSA-1268020	2.0147867879962145e-83	1	0.6446176762456255	1	Mitochondrial protein import	-	-	REAC:R-HSA-1268020
M1	string	0.4	network_modules	7	GO:BP	GO:0007006	1.4167238219248073e-54	2	0.3837784614565741	3	mitochondrial membrane organization	GO:0007006	-	-
M1	string	0.4	network_modules	8	KEGG	KEGG:05322	5.224129755564722e-84	1	0.5525648947326045	1	Systemic lupus erythematosus	-	KEGG:05322	-
M1	string	0.4	network_modules	8	GO:BP	GO:0006334	1.4366215991771105e-81	2	0.5238077586872131	1	nucleosome assembly	GO:0006334	-	-
M1	string	0.4	network_modules	8	REAC	REAC:R-HSA-73728	2.4044789152100688e-73	5	0.5982542241140746	1	RNA Polymerase I Promoter Opening	-	-	REAC:R-HSA-73728
M1	string	0.4	network_modules	9	KEGG	KEGG:00561	1.6112216823033115e-76	1	0.6102184446806425	1	Glycerolipid metabolism	-	KEGG:00561	-
M1	string	0.4	network_modules	9	GO:BP	GO:0006638	3.1781003129240093e-53	2	0.3695035940854419	4	neutral lipid metabolic process	GO:0006638	-	-
M1	string	0.4	network_modules	9	REAC	REAC:R-HSA-1483206	1.1065707487668976e-35	1	0.28805820872241356	2	Glycerophospholipid biosynthesis	-	-	REAC:R-HSA-1483206
M1	string	0.4	network_modules	10	REAC	REAC:R-HSA-5419276	2.9350238732718715e-200	1	0.9706812364445933	1	Mitochondrial translation termination	-	-	REAC:R-HSA-5419276
M1	string	0.4	network_modules	11	REAC	REAC:R-HSA-3214815	1.708104871273717e-21	1	0.26383072962254484	1	HDACs deacetylate histones	-	-	REAC:R-HSA-3214815
M1	string	0.4	network_modules	11	GO:BP	GO:1902455	8.537334983898731e-11	4	0.19604039608335183	1	negative regulation of stem cell population maintenance	GO:1902455	-	-
M1	string	0.4	network_modules	11	KEGG	KEGG:03082	8.234603716932106e-10	1	0.16572267294329687	1	ATP-dependent chromatin remodeling	-	KEGG:03082	-
M1	string	0.4	network_modules	12	REAC	REAC:R-HSA-1989781	3.529934480267418e-82	1	0.5395484917613409	1	PPARA activates gene expression	-	-	REAC:R-HSA-1989781
M1	string	0.4	network_modules	12	GO:BP	GO:0060261	2.6649730644418554e-49	3	0.427983478577995	1	positive regulation of transcription initiation by RNA polymerase II	GO:0060261	-	-
M1	string	0.4	network_modules	12	KEGG	KEGG:04919	1.6052901086675755e-20	1	0.23756363176101927	1	Thyroid hormone signaling pathway	-	KEGG:04919	-
M1	string	0.4	network_modules	13	GO:BP	GO:0006457	8.353909140441656e-33	1	0.23596562049291553	1	protein folding	GO:0006457	-	-
M1	string	0.4	network_modules	13	REAC	REAC:R-HSA-9613829	3.934646822187682e-16	2	0.2994608719538783	1	Chaperone Mediated Autophagy	-	-	REAC:R-HSA-9613829
M1	string	0.4	network_modules	14	REAC	REAC:R-HSA-525793	8.884501126151388e-14	2	0.2701542511522928	1	Myogenesis	-	-	REAC:R-HSA-525793
M1	string	0.4	network_modules	14	KEGG	KEGG:04550	9.07912651926572e-9	1	0.14491435971157493	1	Signaling pathways regulating pluripotency of stem cells	-	KEGG:04550	-
M1	string	0.4	network_modules	14	GO:BP	GO:0048663	3.8899913440968416e-8	2	0.15839088660221093	1	neuron fate commitment	GO:0048663	-	-
M1	string	0.4	network_modules	15	GO:BP	GO:0036258	4.276957885317582e-69	2	0.6375281834591633	1	multivesicular body assembly	GO:0036258	-	-
M1	string	0.4	network_modules	15	REAC	REAC:R-HSA-917729	3.5345170383012586e-57	1	0.6592401549271005	1	Endosomal Sorting Complex Required For Transport (ESCRT)	-	-	REAC:R-HSA-917729
M1	string	0.4	network_modules	15	KEGG	KEGG:04144	5.039918373498279e-47	1	0.34104557012008546	1	Endocytosis	-	KEGG:04144	-
M1	string	0.4	network_modules	16	REAC	REAC:R-HSA-6799198	5.543086313431529e-125	1	0.8768293625988868	1	Complex I biogenesis	-	-	REAC:R-HSA-6799198
M1	string	0.4	network_modules	16	GO:BP	GO:0032981	1.9932746759875728e-100	1	0.697756870404806	2	mitochondrial respiratory chain complex I assembly	GO:0032981	-	-
M1	string	0.4	network_modules	17	GO:BP	GO:0035329	4.1485664493955024e-41	1	0.4095027224278398	1	hippo signaling	GO:0035329	-	-
M1	string	0.4	network_modules	17	KEGG	KEGG:04392	3.032045574420178e-38	1	0.563259393986173	1	Hippo signaling pathway - multiple species	-	KEGG:04392	-
M1	string	0.4	network_modules	17	REAC	REAC:R-HSA-2028269	2.343080586155329e-24	1	0.4641257831936511	1	Signaling by Hippo	-	-	REAC:R-HSA-2028269
M1	string	0.4	network_modules	18	KEGG	KEGG:04146	2.7550986426825624e-105	1	0.7329230060047759	1	Peroxisome	-	KEGG:04146	-
M1	string	0.4	network_modules	18	REAC	REAC:R-HSA-9033241	1.3184557791303464e-100	1	0.7570824999883602	1	Peroxisomal protein import	-	-	REAC:R-HSA-9033241
M1	string	0.4	network_modules	18	GO:BP	GO:0009062	4.88044151935944e-38	5	0.31481378074449984	6	fatty acid catabolic process	GO:0009062	-	-
M1	string	0.4	network_modules	19	GO:BP	GO:0006099	9.475421053238502e-45	1	0.5137124685609054	1	tricarboxylic acid cycle	GO:0006099	-	-
M1	string	0.4	network_modules	19	KEGG	KEGG:00020	3.065298150123952e-43	1	0.5605066405587132	1	Citrate cycle (TCA cycle)	-	KEGG:00020	-
M1	string	0.4	network_modules	19	REAC	REAC:R-HSA-71403	1.2152978488283527e-34	2	0.5061435190963567	1	Citric acid cycle (TCA cycle)	-	-	REAC:R-HSA-71403
M1	string	0.4	network_modules	20	REAC	REAC:R-HSA-9013106	8.936771199831065e-26	3	0.304847078994666	1	RHOC GTPase cycle	-	-	REAC:R-HSA-9013106
M1	string	0.4	network_modules	20	GO:BP	GO:0007266	1.839058309412277e-22	4	0.20815344146760745	1	Rho protein signal transduction	GO:0007266	-	-
M1	string	0.4	network_modules	21	GO:BP	GO:0016052	1.2252284945754894e-49	2	0.3631172289161383	1	carbohydrate catabolic process	GO:0016052	-	-
M1	string	0.4	network_modules	21	KEGG	KEGG:01200	9.780932622291343e-44	1	0.37935833901748595	1	Carbon metabolism	-	KEGG:01200	-
M1	string	0.4	network_modules	21	REAC	REAC:R-HSA-70171	1.6592650546061674e-35	3	0.37258703571542634	1	Glycolysis	-	-	REAC:R-HSA-70171
M1	string	0.4	network_modules	22	REAC	REAC:R-HSA-156902	5.923700815542428e-92	1	0.6640610424903567	1	Peptide chain elongation	-	-	REAC:R-HSA-156902
M1	string	0.4	network_modules	23	GO:BP	GO:0036503	3.2434413694155854e-33	1	0.3283314630795263	1	ERAD pathway	GO:0036503	-	-
M1	string	0.4	network_modules	23	REAC	REAC:R-HSA-901032	5.027914620297181e-22	1	0.3887192683931998	1	ER Quality Control Compartment (ERQC)	-	-	REAC:R-HSA-901032
M1	string	0.4	network_modules	23	KEGG	KEGG:04141	3.3391541241491735e-19	1	0.22217923001342418	1	Protein processing in endoplasmic reticulum	-	KEGG:04141	-
M1	string	0.4	network_modules	24	REAC	REAC:R-HSA-199992	1.0419181501864694e-45	3	0.4337678345884044	1	trans-Golgi Network Vesicle Budding	-	-	REAC:R-HSA-199992
M1	string	0.4	network_modules	24	KEGG	KEGG:04142	1.0763332211983632e-25	1	0.27376572423734585	1	Lysosome	-	KEGG:04142	-
M1	string	0.4	network_modules	24	GO:BP	GO:0072583	7.387035048905036e-25	4	0.2923301574944231	1	clathrin-dependent endocytosis	GO:0072583	-	-
M1	string	0.4	network_modules	25	REAC	REAC:R-HSA-68962	3.094399801962468e-44	1	0.591701880020403	1	Activation of the pre-replicative complex	-	-	REAC:R-HSA-68962
M1	string	0.4	network_modules	25	GO:BP	GO:0006270	8.209336237731947e-42	3	0.4700762670407355	1	DNA replication initiation	GO:0006270	-	-
M1	string	0.4	network_modules	25	KEGG	KEGG:04110	1.5579851752004736e-31	1	0.3216237472172173	1	Cell cycle	-	KEGG:04110	-
M1	string	0.4	network_modules	26	GO:BP	GO:0000045	2.0813012195147876e-47	4	0.36751789592132383	1	autophagosome assembly	GO:0000045	-	-
M1	string	0.4	network_modules	26	KEGG	KEGG:04136	3.6349767366694192e-31	2	0.4670741112700406	1	Autophagy - other	-	KEGG:04136	-
M1	string	0.4	network_modules	26	REAC	REAC:R-HSA-1632852	1.0620075853351807e-30	1	0.30416577364819086	1	Macroautophagy	-	-	REAC:R-HSA-1632852
