network_method	network_db	network_cutoff	experiment_info	module	source	term_id	p_value	row_rank_p	mcc	row_rank_mcc	term_name	top_go	top_kegg	top_reac
M1	string	0.4	network_modules	1	GO:BP	GO:0007178	3.2208209475055475e-97	1	0.4037225506613588	7	cell surface receptor protein serine/threonine kinase signaling pathway	GO:0030509	-	-
M1	string	0.4	network_modules	1	GO:BP	GO:0141091	2.3457503214506845e-92	2	0.3964636443580267	8	transforming growth factor beta receptor superfamily signaling pathway	GO:0030509	-	-
M1	string	0.4	network_modules	1	KEGG	KEGG:04350	5.0440901578290527e-82	1	0.5693530187340792	1	TGF-beta signaling pathway	-	KEGG:04350	-
M1	string	0.4	network_modules	1	GO:BP	GO:0030509	2.981928330692857e-72	3	0.4257976182523406	2	BMP signaling pathway	GO:0030509	-	-
M1	string	0.4	network_modules	1	GO:BP	GO:0071773	5.243650343602599e-71	4	0.4150266959007254	3	cellular response to BMP stimulus	GO:0030509	-	-
M1	string	0.4	network_modules	1	GO:BP	GO:0071772	5.243650343602599e-71	5	0.4150266959007254	4	response to BMP	GO:0030509	-	-
M1	string	0.4	network_modules	1	REAC	REAC:R-HSA-9006936	5.86769389648926e-70	1	0.4724138125187837	2	Signaling by TGFB family members	-	-	REAC:R-HSA-201451
M1	string	0.4	network_modules	1	GO:BP	GO:0090092	1.1454052352595583e-69	6	0.35098720456952903	10	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	GO:0030509	-	-
M1	string	0.4	network_modules	1	GO:BP	GO:0007167	8.502410459016e-67	7	0.24104861097088903	17	enzyme-linked receptor protein signaling pathway	GO:0030509	-	-
M1	string	0.4	network_modules	1	GO:BP	GO:0071363	2.9748082373896784e-66	8	0.2708615538935993	13	cellular response to growth factor stimulus	GO:0030509	-	-
M1	string	0.4	network_modules	1	GO:BP	GO:0070848	2.581202134970866e-65	9	0.26606750987317634	14	response to growth factor	GO:0030509	-	-
M1	string	0.4	network_modules	1	GO:BP	GO:0060395	1.5809043595180364e-55	10	0.4045589673439976	6	SMAD protein signal transduction	GO:0030509	-	-
M1	string	0.4	network_modules	1	REAC	REAC:R-HSA-201451	9.8241255730279e-55	2	0.5659116279938282	1	Signaling by BMP	-	-	REAC:R-HSA-201451
M1	string	0.4	network_modules	1	GO:BP	GO:0060391	8.456784475238898e-52	11	0.4592850894759337	1	positive regulation of SMAD protein signal transduction	GO:0030509	-	-
M1	string	0.4	network_modules	1	GO:BP	GO:0060390	1.718375885632962e-51	12	0.41374138619613465	5	regulation of SMAD protein signal transduction	GO:0030509	-	-
M1	string	0.4	network_modules	1	GO:BP	GO:0090100	1.497604657771055e-46	13	0.34654203815047546	11	positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	GO:0030509	-	-
M1	string	0.4	network_modules	1	GO:BP	GO:0032924	1.617150239071507e-38	14	0.3604770175774926	9	activin receptor signaling pathway	GO:0030509	-	-
