network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes
M1	string	0.5	network_modules	1	TRUE	4.102203290794222e-47	745	91	55	0.6043956043956044	0.0738255033557047	GO:0098609	GO:BP	cell-cell adhesion	16175	18805		0	0.010526315789473684	745	15430	55	36	690	15394	16175	0.20035637378828142	1	GO:0022607;GO:0007155;GO:0032502	ENSP00000381768;ENSP00000362186;ENSP00000344456;ENSP00000257430;ENSP00000027335;ENSP00000384638;ENSP00000484928;ENSP00000269141;ENSP00000262717;ENSP00000377508;ENSP00000371689;ENSP00000442954;ENSP00000462701;ENSP00000231021;ENSP00000380517;ENSP00000264012;ENSP00000304669;ENSP00000299441;ENSP00000382004;ENSP00000381058;ENSP00000349477;ENSP00000425093;ENSP00000437790;ENSP00000344115;ENSP00000219022;ENSP00000268613;ENSP00000326366;ENSP00000265071;ENSP00000369129;ENSP00000325954;ENSP00000262150;ENSP00000389714;ENSP00000289746;ENSP00000264463;ENSP00000307134;ENSP00000261769;ENSP00000339390;ENSP00000268603;ENSP00000333938;ENSP00000070846;ENSP00000280904;ENSP00000261590;ENSP00000352785;ENSP00000353608;ENSP00000257192;ENSP00000397157;ENSP00000257198;ENSP00000357789;ENSP00000257189;ENSP00000333568;ENSP00000215659;ENSP00000376458;ENSP00000267859;ENSP00000418663;ENSP00000262013;ENSP00000363667;ENSP00000219169;ENSP00000389277;ENSP00000476145;ENSP00000361467;ENSP00000426632;ENSP00000281092;ENSP00000355747;ENSP00000406229;ENSP00000380671;ENSP00000374409;ENSP00000263946;ENSP00000331678;ENSP00000398560;ENSP00000352676;ENSP00000257860;ENSP00000294785;ENSP00000463325;ENSP00000314153;ENSP00000367433;ENSP00000378400;ENSP00000362294;ENSP00000261879;ENSP00000468411;ENSP00000358105;ENSP00000262366;ENSP00000263207;ENSP00000300035;ENSP00000367177;ENSP00000362125;ENSP00000370340;ENSP00000334941;ENSP00000293973;ENSP00000403067;ENSP00000311290;ENSP00000359567;ENSP00000325634;ENSP00000330218;ENSP00000356574
M1	string	0.5	network_modules	1	TRUE	2.533613353914313e-44	179	91	36	0.3956043956043956	0.2011173184357542	GO:0045216	GO:BP	cell-cell junction organization	16175	11328		0.010638297872340425	0.021052631578947368	179	15996	36	55	143	15941	16175	0.2764871359914411	2	GO:0022607;GO:0007155;GO:0032502	ENSP00000381768;ENSP00000362186;ENSP00000344456;ENSP00000257430;ENSP00000027335;ENSP00000384638;ENSP00000484928;ENSP00000269141;ENSP00000262717;ENSP00000377508;ENSP00000371689;ENSP00000442954;ENSP00000462701;ENSP00000231021;ENSP00000380517;ENSP00000264012;ENSP00000304669;ENSP00000299441;ENSP00000382004;ENSP00000381058;ENSP00000349477;ENSP00000425093;ENSP00000437790;ENSP00000344115;ENSP00000219022;ENSP00000268613;ENSP00000326366;ENSP00000265071;ENSP00000369129;ENSP00000325954;ENSP00000262150;ENSP00000389714;ENSP00000289746;ENSP00000264463;ENSP00000307134;ENSP00000261769;ENSP00000339390;ENSP00000268603;ENSP00000333938;ENSP00000070846;ENSP00000280904;ENSP00000261590;ENSP00000352785;ENSP00000353608;ENSP00000257192;ENSP00000397157;ENSP00000257198;ENSP00000357789;ENSP00000257189;ENSP00000333568;ENSP00000215659;ENSP00000376458;ENSP00000267859;ENSP00000418663;ENSP00000262013;ENSP00000363667;ENSP00000219169;ENSP00000389277;ENSP00000476145;ENSP00000361467;ENSP00000426632;ENSP00000281092;ENSP00000355747;ENSP00000406229;ENSP00000380671;ENSP00000374409;ENSP00000263946;ENSP00000331678;ENSP00000398560;ENSP00000352676;ENSP00000257860;ENSP00000294785;ENSP00000463325;ENSP00000314153;ENSP00000367433;ENSP00000378400;ENSP00000362294;ENSP00000261879;ENSP00000468411;ENSP00000358105;ENSP00000262366;ENSP00000263207;ENSP00000300035;ENSP00000367177;ENSP00000362125;ENSP00000370340;ENSP00000334941;ENSP00000293973;ENSP00000403067;ENSP00000311290;ENSP00000359567;ENSP00000325634;ENSP00000330218;ENSP00000356574
M1	string	0.5	network_modules	1	TRUE	2.6577003585273224e-44	143	91	34	0.37362637362637363	0.23776223776223776	GO:0007043	GO:BP	cell-cell junction assembly	16175	2647		0.02127659574468085	0.031578947368421054	143	16032	34	57	109	15975	16175	0.2931188396369511	3	GO:0022607;GO:0007155;GO:0032502	ENSP00000381768;ENSP00000362186;ENSP00000344456;ENSP00000257430;ENSP00000027335;ENSP00000384638;ENSP00000484928;ENSP00000269141;ENSP00000262717;ENSP00000377508;ENSP00000371689;ENSP00000442954;ENSP00000462701;ENSP00000231021;ENSP00000380517;ENSP00000264012;ENSP00000304669;ENSP00000299441;ENSP00000382004;ENSP00000381058;ENSP00000349477;ENSP00000425093;ENSP00000437790;ENSP00000344115;ENSP00000219022;ENSP00000268613;ENSP00000326366;ENSP00000265071;ENSP00000369129;ENSP00000325954;ENSP00000262150;ENSP00000389714;ENSP00000289746;ENSP00000264463;ENSP00000307134;ENSP00000261769;ENSP00000339390;ENSP00000268603;ENSP00000333938;ENSP00000070846;ENSP00000280904;ENSP00000261590;ENSP00000352785;ENSP00000353608;ENSP00000257192;ENSP00000397157;ENSP00000257198;ENSP00000357789;ENSP00000257189;ENSP00000333568;ENSP00000215659;ENSP00000376458;ENSP00000267859;ENSP00000418663;ENSP00000262013;ENSP00000363667;ENSP00000219169;ENSP00000389277;ENSP00000476145;ENSP00000361467;ENSP00000426632;ENSP00000281092;ENSP00000355747;ENSP00000406229;ENSP00000380671;ENSP00000374409;ENSP00000263946;ENSP00000331678;ENSP00000398560;ENSP00000352676;ENSP00000257860;ENSP00000294785;ENSP00000463325;ENSP00000314153;ENSP00000367433;ENSP00000378400;ENSP00000362294;ENSP00000261879;ENSP00000468411;ENSP00000358105;ENSP00000262366;ENSP00000263207;ENSP00000300035;ENSP00000367177;ENSP00000362125;ENSP00000370340;ENSP00000334941;ENSP00000293973;ENSP00000403067;ENSP00000311290;ENSP00000359567;ENSP00000325634;ENSP00000330218;ENSP00000356574
M1	string	0.5	network_modules	1	TRUE	3.106200516185679e-43	44	91	25	0.27472527472527475	0.5681818181818182	GO:0016339	GO:BP	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	16175	5214		0.031914893617021274	0.042105263157894736	44	16131	25	66	19	16065	16175	0.392814852741924	4	GO:0022607;GO:0007155;GO:0032502	ENSP00000381768;ENSP00000362186;ENSP00000344456;ENSP00000257430;ENSP00000027335;ENSP00000384638;ENSP00000484928;ENSP00000269141;ENSP00000262717;ENSP00000377508;ENSP00000371689;ENSP00000442954;ENSP00000462701;ENSP00000231021;ENSP00000380517;ENSP00000264012;ENSP00000304669;ENSP00000299441;ENSP00000382004;ENSP00000381058;ENSP00000349477;ENSP00000425093;ENSP00000437790;ENSP00000344115;ENSP00000219022;ENSP00000268613;ENSP00000326366;ENSP00000265071;ENSP00000369129;ENSP00000325954;ENSP00000262150;ENSP00000389714;ENSP00000289746;ENSP00000264463;ENSP00000307134;ENSP00000261769;ENSP00000339390;ENSP00000268603;ENSP00000333938;ENSP00000070846;ENSP00000280904;ENSP00000261590;ENSP00000352785;ENSP00000353608;ENSP00000257192;ENSP00000397157;ENSP00000257198;ENSP00000357789;ENSP00000257189;ENSP00000333568;ENSP00000215659;ENSP00000376458;ENSP00000267859;ENSP00000418663;ENSP00000262013;ENSP00000363667;ENSP00000219169;ENSP00000389277;ENSP00000476145;ENSP00000361467;ENSP00000426632;ENSP00000281092;ENSP00000355747;ENSP00000406229;ENSP00000380671;ENSP00000374409;ENSP00000263946;ENSP00000331678;ENSP00000398560;ENSP00000352676;ENSP00000257860;ENSP00000294785;ENSP00000463325;ENSP00000314153;ENSP00000367433;ENSP00000378400;ENSP00000362294;ENSP00000261879;ENSP00000468411;ENSP00000358105;ENSP00000262366;ENSP00000263207;ENSP00000300035;ENSP00000367177;ENSP00000362125;ENSP00000370340;ENSP00000334941;ENSP00000293973;ENSP00000403067;ENSP00000311290;ENSP00000359567;ENSP00000325634;ENSP00000330218;ENSP00000356574
M1	string	0.5	network_modules	1	TRUE	1.518892708188145e-42	46	91	25	0.27472527472527475	0.5434782608695652	GO:0044331	GO:BP	cell-cell adhesion mediated by cadherin	16175	10957		0.0425531914893617	0.05263157894736842	46	16129	25	66	21	16063	16175	0.3840296724121838	5	GO:0022607;GO:0007155;GO:0032502	ENSP00000381768;ENSP00000362186;ENSP00000344456;ENSP00000257430;ENSP00000027335;ENSP00000384638;ENSP00000484928;ENSP00000269141;ENSP00000262717;ENSP00000377508;ENSP00000371689;ENSP00000442954;ENSP00000462701;ENSP00000231021;ENSP00000380517;ENSP00000264012;ENSP00000304669;ENSP00000299441;ENSP00000382004;ENSP00000381058;ENSP00000349477;ENSP00000425093;ENSP00000437790;ENSP00000344115;ENSP00000219022;ENSP00000268613;ENSP00000326366;ENSP00000265071;ENSP00000369129;ENSP00000325954;ENSP00000262150;ENSP00000389714;ENSP00000289746;ENSP00000264463;ENSP00000307134;ENSP00000261769;ENSP00000339390;ENSP00000268603;ENSP00000333938;ENSP00000070846;ENSP00000280904;ENSP00000261590;ENSP00000352785;ENSP00000353608;ENSP00000257192;ENSP00000397157;ENSP00000257198;ENSP00000357789;ENSP00000257189;ENSP00000333568;ENSP00000215659;ENSP00000376458;ENSP00000267859;ENSP00000418663;ENSP00000262013;ENSP00000363667;ENSP00000219169;ENSP00000389277;ENSP00000476145;ENSP00000361467;ENSP00000426632;ENSP00000281092;ENSP00000355747;ENSP00000406229;ENSP00000380671;ENSP00000374409;ENSP00000263946;ENSP00000331678;ENSP00000398560;ENSP00000352676;ENSP00000257860;ENSP00000294785;ENSP00000463325;ENSP00000314153;ENSP00000367433;ENSP00000378400;ENSP00000362294;ENSP00000261879;ENSP00000468411;ENSP00000358105;ENSP00000262366;ENSP00000263207;ENSP00000300035;ENSP00000367177;ENSP00000362125;ENSP00000370340;ENSP00000334941;ENSP00000293973;ENSP00000403067;ENSP00000311290;ENSP00000359567;ENSP00000325634;ENSP00000330218;ENSP00000356574
M1	string	0.5	network_modules	1	TRUE	5.124128000366699e-38	45	91	23	0.25274725274725274	0.5111111111111111	GO:0034332	GO:BP	adherens junction organization	16175	8574		0.05319148936170213	0.06315789473684211	45	16130	23	68	22	16062	16175	0.35696368108054727	6	GO:0022607;GO:0007155;GO:0032502	ENSP00000381768;ENSP00000362186;ENSP00000344456;ENSP00000257430;ENSP00000027335;ENSP00000384638;ENSP00000484928;ENSP00000269141;ENSP00000262717;ENSP00000377508;ENSP00000371689;ENSP00000442954;ENSP00000462701;ENSP00000231021;ENSP00000380517;ENSP00000264012;ENSP00000304669;ENSP00000299441;ENSP00000382004;ENSP00000381058;ENSP00000349477;ENSP00000425093;ENSP00000437790;ENSP00000344115;ENSP00000219022;ENSP00000268613;ENSP00000326366;ENSP00000265071;ENSP00000369129;ENSP00000325954;ENSP00000262150;ENSP00000389714;ENSP00000289746;ENSP00000264463;ENSP00000307134;ENSP00000261769;ENSP00000339390;ENSP00000268603;ENSP00000333938;ENSP00000070846;ENSP00000280904;ENSP00000261590;ENSP00000352785;ENSP00000353608;ENSP00000257192;ENSP00000397157;ENSP00000257198;ENSP00000357789;ENSP00000257189;ENSP00000333568;ENSP00000215659;ENSP00000376458;ENSP00000267859;ENSP00000418663;ENSP00000262013;ENSP00000363667;ENSP00000219169;ENSP00000389277;ENSP00000476145;ENSP00000361467;ENSP00000426632;ENSP00000281092;ENSP00000355747;ENSP00000406229;ENSP00000380671;ENSP00000374409;ENSP00000263946;ENSP00000331678;ENSP00000398560;ENSP00000352676;ENSP00000257860;ENSP00000294785;ENSP00000463325;ENSP00000314153;ENSP00000367433;ENSP00000378400;ENSP00000362294;ENSP00000261879;ENSP00000468411;ENSP00000358105;ENSP00000262366;ENSP00000263207;ENSP00000300035;ENSP00000367177;ENSP00000362125;ENSP00000370340;ENSP00000334941;ENSP00000293973;ENSP00000403067;ENSP00000311290;ENSP00000359567;ENSP00000325634;ENSP00000330218;ENSP00000356574
M1	string	0.5	network_modules	1	TRUE	1.5542007401830997e-33	55	66	22	0.3333333333333333	0.4	REAC:R-HSA-418990	REAC	Adherens junctions interactions	10916	121		0.06382978723404255	0.07368421052631578	55	10861	22	44	33	10817	10916	0.36163333312055435	7	GO:0022607;GO:0007155;GO:0032502	ENSP00000381768;ENSP00000362186;ENSP00000344456;ENSP00000257430;ENSP00000027335;ENSP00000384638;ENSP00000484928;ENSP00000269141;ENSP00000262717;ENSP00000377508;ENSP00000371689;ENSP00000442954;ENSP00000462701;ENSP00000231021;ENSP00000380517;ENSP00000264012;ENSP00000304669;ENSP00000299441;ENSP00000382004;ENSP00000381058;ENSP00000349477;ENSP00000425093;ENSP00000437790;ENSP00000344115;ENSP00000219022;ENSP00000268613;ENSP00000326366;ENSP00000265071;ENSP00000369129;ENSP00000325954;ENSP00000262150;ENSP00000389714;ENSP00000289746;ENSP00000264463;ENSP00000307134;ENSP00000261769;ENSP00000339390;ENSP00000268603;ENSP00000333938;ENSP00000070846;ENSP00000280904;ENSP00000261590;ENSP00000352785;ENSP00000353608;ENSP00000257192;ENSP00000397157;ENSP00000257198;ENSP00000357789;ENSP00000257189;ENSP00000333568;ENSP00000215659;ENSP00000376458;ENSP00000267859;ENSP00000418663;ENSP00000262013;ENSP00000363667;ENSP00000219169;ENSP00000389277;ENSP00000476145;ENSP00000361467;ENSP00000426632;ENSP00000281092;ENSP00000355747;ENSP00000406229;ENSP00000380671;ENSP00000374409;ENSP00000263946;ENSP00000331678;ENSP00000398560;ENSP00000352676;ENSP00000257860;ENSP00000294785;ENSP00000463325;ENSP00000314153;ENSP00000367433;ENSP00000378400;ENSP00000362294;ENSP00000261879;ENSP00000468411;ENSP00000358105;ENSP00000262366;ENSP00000263207;ENSP00000300035;ENSP00000367177;ENSP00000362125;ENSP00000370340;ENSP00000334941;ENSP00000293973;ENSP00000403067;ENSP00000311290;ENSP00000359567;ENSP00000325634;ENSP00000330218;ENSP00000356574
M1	string	0.5	network_modules	1	TRUE	6.299551367638694e-32	346	91	35	0.38461538461538464	0.10115606936416185	GO:0034329	GO:BP	cell junction assembly	16175	8571		0.07446808510638298	0.08421052631578947	346	15829	35	56	311	15773	16175	0.1888330981055286	8	GO:0022607;GO:0007155;GO:0032502	ENSP00000381768;ENSP00000362186;ENSP00000344456;ENSP00000257430;ENSP00000027335;ENSP00000384638;ENSP00000484928;ENSP00000269141;ENSP00000262717;ENSP00000377508;ENSP00000371689;ENSP00000442954;ENSP00000462701;ENSP00000231021;ENSP00000380517;ENSP00000264012;ENSP00000304669;ENSP00000299441;ENSP00000382004;ENSP00000381058;ENSP00000349477;ENSP00000425093;ENSP00000437790;ENSP00000344115;ENSP00000219022;ENSP00000268613;ENSP00000326366;ENSP00000265071;ENSP00000369129;ENSP00000325954;ENSP00000262150;ENSP00000389714;ENSP00000289746;ENSP00000264463;ENSP00000307134;ENSP00000261769;ENSP00000339390;ENSP00000268603;ENSP00000333938;ENSP00000070846;ENSP00000280904;ENSP00000261590;ENSP00000352785;ENSP00000353608;ENSP00000257192;ENSP00000397157;ENSP00000257198;ENSP00000357789;ENSP00000257189;ENSP00000333568;ENSP00000215659;ENSP00000376458;ENSP00000267859;ENSP00000418663;ENSP00000262013;ENSP00000363667;ENSP00000219169;ENSP00000389277;ENSP00000476145;ENSP00000361467;ENSP00000426632;ENSP00000281092;ENSP00000355747;ENSP00000406229;ENSP00000380671;ENSP00000374409;ENSP00000263946;ENSP00000331678;ENSP00000398560;ENSP00000352676;ENSP00000257860;ENSP00000294785;ENSP00000463325;ENSP00000314153;ENSP00000367433;ENSP00000378400;ENSP00000362294;ENSP00000261879;ENSP00000468411;ENSP00000358105;ENSP00000262366;ENSP00000263207;ENSP00000300035;ENSP00000367177;ENSP00000362125;ENSP00000370340;ENSP00000334941;ENSP00000293973;ENSP00000403067;ENSP00000311290;ENSP00000359567;ENSP00000325634;ENSP00000330218;ENSP00000356574
M1	string	0.5	network_modules	1	TRUE	7.720620968385911e-31	193	91	29	0.31868131868131866	0.15025906735751296	GO:0098742	GO:BP	cell-cell adhesion via plasma-membrane adhesion molecules	16175	18867		0.0851063829787234	0.09473684210526316	193	15982	29	62	164	15920	16175	0.21249922533055562	9	GO:0022607;GO:0007155;GO:0032502	ENSP00000381768;ENSP00000362186;ENSP00000344456;ENSP00000257430;ENSP00000027335;ENSP00000384638;ENSP00000484928;ENSP00000269141;ENSP00000262717;ENSP00000377508;ENSP00000371689;ENSP00000442954;ENSP00000462701;ENSP00000231021;ENSP00000380517;ENSP00000264012;ENSP00000304669;ENSP00000299441;ENSP00000382004;ENSP00000381058;ENSP00000349477;ENSP00000425093;ENSP00000437790;ENSP00000344115;ENSP00000219022;ENSP00000268613;ENSP00000326366;ENSP00000265071;ENSP00000369129;ENSP00000325954;ENSP00000262150;ENSP00000389714;ENSP00000289746;ENSP00000264463;ENSP00000307134;ENSP00000261769;ENSP00000339390;ENSP00000268603;ENSP00000333938;ENSP00000070846;ENSP00000280904;ENSP00000261590;ENSP00000352785;ENSP00000353608;ENSP00000257192;ENSP00000397157;ENSP00000257198;ENSP00000357789;ENSP00000257189;ENSP00000333568;ENSP00000215659;ENSP00000376458;ENSP00000267859;ENSP00000418663;ENSP00000262013;ENSP00000363667;ENSP00000219169;ENSP00000389277;ENSP00000476145;ENSP00000361467;ENSP00000426632;ENSP00000281092;ENSP00000355747;ENSP00000406229;ENSP00000380671;ENSP00000374409;ENSP00000263946;ENSP00000331678;ENSP00000398560;ENSP00000352676;ENSP00000257860;ENSP00000294785;ENSP00000463325;ENSP00000314153;ENSP00000367433;ENSP00000378400;ENSP00000362294;ENSP00000261879;ENSP00000468411;ENSP00000358105;ENSP00000262366;ENSP00000263207;ENSP00000300035;ENSP00000367177;ENSP00000362125;ENSP00000370340;ENSP00000334941;ENSP00000293973;ENSP00000403067;ENSP00000311290;ENSP00000359567;ENSP00000325634;ENSP00000330218;ENSP00000356574
M1	string	0.5	network_modules	1	TRUE	1.0518704607465511e-30	533	91	39	0.42857142857142855	0.07317073170731707	GO:0034330	GO:BP	cell junction organization	16175	8572		0.09574468085106383	0.10526315789473684	533	15642	39	52	494	15590	16175	0.16670004777933306	10	GO:0022607;GO:0007155;GO:0032502	ENSP00000381768;ENSP00000362186;ENSP00000344456;ENSP00000257430;ENSP00000027335;ENSP00000384638;ENSP00000484928;ENSP00000269141;ENSP00000262717;ENSP00000377508;ENSP00000371689;ENSP00000442954;ENSP00000462701;ENSP00000231021;ENSP00000380517;ENSP00000264012;ENSP00000304669;ENSP00000299441;ENSP00000382004;ENSP00000381058;ENSP00000349477;ENSP00000425093;ENSP00000437790;ENSP00000344115;ENSP00000219022;ENSP00000268613;ENSP00000326366;ENSP00000265071;ENSP00000369129;ENSP00000325954;ENSP00000262150;ENSP00000389714;ENSP00000289746;ENSP00000264463;ENSP00000307134;ENSP00000261769;ENSP00000339390;ENSP00000268603;ENSP00000333938;ENSP00000070846;ENSP00000280904;ENSP00000261590;ENSP00000352785;ENSP00000353608;ENSP00000257192;ENSP00000397157;ENSP00000257198;ENSP00000357789;ENSP00000257189;ENSP00000333568;ENSP00000215659;ENSP00000376458;ENSP00000267859;ENSP00000418663;ENSP00000262013;ENSP00000363667;ENSP00000219169;ENSP00000389277;ENSP00000476145;ENSP00000361467;ENSP00000426632;ENSP00000281092;ENSP00000355747;ENSP00000406229;ENSP00000380671;ENSP00000374409;ENSP00000263946;ENSP00000331678;ENSP00000398560;ENSP00000352676;ENSP00000257860;ENSP00000294785;ENSP00000463325;ENSP00000314153;ENSP00000367433;ENSP00000378400;ENSP00000362294;ENSP00000261879;ENSP00000468411;ENSP00000358105;ENSP00000262366;ENSP00000263207;ENSP00000300035;ENSP00000367177;ENSP00000362125;ENSP00000370340;ENSP00000334941;ENSP00000293973;ENSP00000403067;ENSP00000311290;ENSP00000359567;ENSP00000325634;ENSP00000330218;ENSP00000356574
