network_method	network_db	network_cutoff	experiment_info	module	source	term_id	p_value	row_rank_p	mcc	row_rank_mcc	term_name	top_go	top_kegg	top_reac
R1	cpdb	0.2	network_modules	1	KEGG	KEGG:04146	1.1900473242744753e-8	1	0.17760436432556356	2	Peroxisome	-	KEGG:00480	-
R1	cpdb	0.2	network_modules	1	KEGG	KEGG:00480	6.746798812457073e-8	2	0.18605188284991508	1	Glutathione metabolism	-	KEGG:00480	-
R1	cpdb	0.2	network_modules	1	REAC	REAC:R-HSA-9033241	2.547939839798328e-5	1	0.13811992490880562	1	Peroxisomal protein import	-	-	REAC:R-HSA-9033241
R1	cpdb	0.2	network_modules	2	GO:BP	GO:0030001	1.7815857800276777e-9	1	0.09526830579903722	9	metal ion transport	GO:0098662	-	-
R1	cpdb	0.2	network_modules	2	REAC	REAC:R-HSA-418890	4.1917611248819696e-9	1	0.30911949890955726	1	Role of second messengers in netrin-1 signaling	-	-	REAC:R-HSA-418890
R1	cpdb	0.2	network_modules	2	GO:BP	GO:0098662	5.008999428996389e-9	2	0.09642111604352678	6	inorganic cation transmembrane transport	GO:0098662	-	-
R1	cpdb	0.2	network_modules	2	GO:BP	GO:0098655	5.233471304643291e-9	3	0.09623227268490735	8	monoatomic cation transmembrane transport	GO:0098662	-	-
R1	cpdb	0.2	network_modules	2	GO:BP	GO:0006812	6.868767845094562e-9	4	0.08997213560760607	12	monoatomic cation transport	GO:0098662	-	-
R1	cpdb	0.2	network_modules	2	REAC	REAC:R-HSA-5578775	9.751916188244432e-9	2	0.18405820938362824	2	Ion homeostasis	-	-	REAC:R-HSA-418890
R1	cpdb	0.2	network_modules	2	GO:BP	GO:0098660	1.5828980104484253e-8	5	0.09154710624272201	10	inorganic ion transmembrane transport	GO:0098662	-	-
R1	cpdb	0.2	network_modules	2	GO:BP	GO:0034220	3.4902598825838114e-8	6	0.08829400502854949	14	monoatomic ion transmembrane transport	GO:0098662	-	-
R1	cpdb	0.2	network_modules	2	GO:BP	GO:0098771	5.642465651584934e-8	7	0.09776410427610521	5	inorganic ion homeostasis	GO:0098662	-	-
R1	cpdb	0.2	network_modules	2	REAC	REAC:R-HSA-983712	6.577265742179313e-8	3	0.1257332791796867	4	Ion channel transport	-	-	REAC:R-HSA-418890
R1	cpdb	0.2	network_modules	2	GO:BP	GO:0006816	1.4884830534289596e-7	8	0.10019606963074262	4	calcium ion transport	GO:0098662	-	-
R1	cpdb	0.2	network_modules	2	GO:BP	GO:0055080	2.4569675623806737e-7	9	0.0905195720555594	11	monoatomic cation homeostasis	GO:0098662	-	-
R1	cpdb	0.2	network_modules	2	GO:BP	GO:0050801	2.944339716880462e-7	10	0.08965493884360723	13	monoatomic ion homeostasis	GO:0098662	-	-
R1	cpdb	0.2	network_modules	2	GO:BP	GO:0070588	3.8778235292834727e-7	11	0.10351294458488483	3	calcium ion transmembrane transport	GO:0098662	-	-
R1	cpdb	0.2	network_modules	2	GO:BP	GO:0043270	4.0410102884654246e-7	12	0.11492071339591549	2	positive regulation of monoatomic ion transport	GO:0098662	-	-
R1	cpdb	0.2	network_modules	2	GO:BP	GO:0010959	1.242482788775511e-6	13	0.09634546973744636	7	regulation of metal ion transport	GO:0098662	-	-
R1	cpdb	0.2	network_modules	2	GO:BP	GO:0034311	1.4453276391573562e-6	14	0.18045517011094642	1	diol metabolic process	GO:0098662	-	-
R1	cpdb	0.2	network_modules	2	REAC	REAC:R-HSA-3295583	1.5882084427112773e-6	4	0.18329395889963765	3	TRP channels	-	-	REAC:R-HSA-418890
R1	cpdb	0.2	network_modules	2	GO:BP	GO:0030003	1.953463777613065e-6	15	0.08648431046102961	15	intracellular monoatomic cation homeostasis	GO:0098662	-	-
R1	cpdb	0.2	network_modules	2	GO:BP	GO:0006873	2.1400472890375187e-6	16	0.08602394614115197	16	intracellular monoatomic ion homeostasis	GO:0098662	-	-
R1	cpdb	0.2	network_modules	3	KEGG	KEGG:04662	6.541250213506535e-7	1	0.1535310035542624	1	B cell receptor signaling pathway	-	KEGG:04662	-
R1	cpdb	0.2	network_modules	3	KEGG	KEGG:04024	2.7022037123169686e-4	2	0.08849853989940172	2	cAMP signaling pathway	-	KEGG:04662	-
R1	cpdb	0.2	network_modules	4	REAC	REAC:R-HSA-1296065	1.9126063415123153e-14	1	0.3366804658883031	2	Inwardly rectifying K+ channels	-	-	REAC:R-HSA-1296065
R1	cpdb	0.2	network_modules	4	GO:BP	GO:1990573	2.2627134955532835e-13	1	0.2715135337390835	1	potassium ion import across plasma membrane	GO:1990573	-	-
R1	cpdb	0.2	network_modules	4	REAC	REAC:R-HSA-1296071	1.8479619082458015e-10	2	0.1944081661887177	3	Potassium Channels	-	-	REAC:R-HSA-1296065
R1	cpdb	0.2	network_modules	4	REAC	REAC:R-HSA-1296025	9.865353778796678e-10	3	0.49972499768751116	1	ATP sensitive Potassium channels	-	-	REAC:R-HSA-1296065
R1	cpdb	0.2	network_modules	4	GO:BP	GO:0098659	1.013190805560819e-9	2	0.16308037984215804	2	inorganic cation import across plasma membrane	GO:1990573	-	-
R1	cpdb	0.2	network_modules	4	GO:BP	GO:0099587	1.013190805560819e-9	3	0.16308037984215804	3	inorganic ion import across plasma membrane	GO:1990573	-	-
R1	cpdb	0.2	network_modules	4	GO:BP	GO:0098739	3.634927367031202e-8	4	0.12968011502979304	4	import across plasma membrane	GO:1990573	-	-
R1	cpdb	0.2	network_modules	4	GO:BP	GO:0071805	3.7985667887197684e-8	5	0.12930878813748434	5	potassium ion transmembrane transport	GO:1990573	-	-
R1	cpdb	0.2	network_modules	6	REAC	REAC:R-HSA-5696395	2.608686358223009e-25	1	0.4016007347744593	1	Formation of Incision Complex in GG-NER	-	-	REAC:R-HSA-5696395
R1	cpdb	0.2	network_modules	6	KEGG	KEGG:03420	1.1409701593757954e-24	1	0.3667298178136957	1	Nucleotide excision repair	-	KEGG:03420	-
R1	cpdb	0.2	network_modules	6	REAC	REAC:R-HSA-5696399	1.00543460160801e-20	2	0.2856989557241571	10	Global Genome Nucleotide Excision Repair (GG-NER)	-	-	REAC:R-HSA-5696395
R1	cpdb	0.2	network_modules	6	GO:BP	GO:0006289	8.516117032658702e-20	1	0.26051991642774636	1	nucleotide-excision repair	GO:0006289	-	-
R1	cpdb	0.2	network_modules	6	REAC	REAC:R-HSA-5696398	4.928250879024508e-19	3	0.24992616935580914	13	Nucleotide Excision Repair	-	-	REAC:R-HSA-5696395
R1	cpdb	0.2	network_modules	6	REAC	REAC:R-HSA-6782135	5.224277788283783e-18	4	0.28077896082011294	11	Dual incision in TC-NER	-	-	REAC:R-HSA-5696395
