network_method	network_db	network_cutoff	experiment_info	module	source	term_id	p_value	row_rank_p	mcc	row_rank_mcc	term_name	top_go	top_kegg	top_reac
R1	cpdb	0.3	network_modules	1	REAC	REAC:R-HSA-1663150	2.281012672698378e-4	1	0.20901121979957574	1	The activation of arylsulfatases	-	-	REAC:R-HSA-1663150
R1	cpdb	0.3	network_modules	2	REAC	REAC:R-HSA-418890	1.8370922908450797e-10	1	0.4075930670709326	1	Role of second messengers in netrin-1 signaling	-	-	REAC:R-HSA-418890
R1	cpdb	0.3	network_modules	2	GO:BP	GO:0051480	8.584649314604523e-9	1	0.21077435969121158	1	regulation of cytosolic calcium ion concentration	GO:0051480	-	-
R1	cpdb	0.3	network_modules	3	KEGG	KEGG:04640	1.0565832235027918e-10	1	0.20530097509764267	1	Hematopoietic cell lineage	-	KEGG:04640	-
R1	cpdb	0.3	network_modules	3	GO:BP	GO:0002823	6.338209985111126e-5	5	0.16042383531016266	1	negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	GO:0002823	-	-
R1	cpdb	0.3	network_modules	4	REAC	REAC:R-HSA-1296065	1.9126063415123153e-14	1	0.3366804658883031	2	Inwardly rectifying K+ channels	-	-	REAC:R-HSA-1296065
R1	cpdb	0.3	network_modules	4	GO:BP	GO:1990573	1.249956342039719e-13	1	0.2786515717018052	1	potassium ion import across plasma membrane	GO:1990573	-	-
R1	cpdb	0.3	network_modules	5	REAC	REAC:R-HSA-611105	4.8395968253960523e-82	1	0.5726381205554596	1	Respiratory electron transport	-	-	REAC:R-HSA-611105
R1	cpdb	0.3	network_modules	5	GO:BP	GO:0042773	2.7050910266444296e-75	2	0.5308565556641723	2	ATP synthesis coupled electron transport	GO:0042773	-	-
R1	cpdb	0.3	network_modules	5	KEGG	KEGG:00190	2.597308189432448e-67	1	0.49168937779469807	1	Oxidative phosphorylation	-	KEGG:00190	-
R1	cpdb	0.3	network_modules	6	KEGG	KEGG:03420	1.0506371250195862e-27	1	0.42737316734450176	1	Nucleotide excision repair	-	KEGG:03420	-
R1	cpdb	0.3	network_modules	6	REAC	REAC:R-HSA-5696395	1.3831024019808356e-20	1	0.35018182310058127	1	Formation of Incision Complex in GG-NER	-	-	REAC:R-HSA-5696395
R1	cpdb	0.3	network_modules	6	GO:BP	GO:0006289	1.969315823154323e-18	1	0.25781774061285684	1	nucleotide-excision repair	GO:0006289	-	-
R1	cpdb	0.3	network_modules	7	REAC	REAC:R-HSA-8874211	2.5283101891525648e-5	1	0.2880001370043884	1	CREB3 factors activate genes	-	-	REAC:R-HSA-8874211
R1	cpdb	0.3	network_modules	7	KEGG	KEGG:05030	2.764247651141282e-5	3	0.16268428869072854	1	Cocaine addiction	-	KEGG:05030	-
R1	cpdb	0.3	network_modules	8	GO:BP	GO:0034329	0.006078688511197798	1	0.07119976815718758	1	cell junction assembly	GO:0034329	-	-
R1	cpdb	0.3	network_modules	9	GO:BP	GO:0045197	1.999314233097006e-4	1	0.1417548873444791	1	establishment or maintenance of epithelial cell apical/basal polarity	GO:0045197	-	-
R1	cpdb	0.3	network_modules	10	KEGG	KEGG:05217	1.2851379406387924e-6	1	0.17211259190402287	1	Basal cell carcinoma	-	KEGG:05217	-
R1	cpdb	0.3	network_modules	10	GO:BP	GO:0060070	3.058566822647288e-6	1	0.10609586378116304	1	canonical Wnt signaling pathway	GO:0060070	-	-
R1	cpdb	0.3	network_modules	11	GO:BP	GO:0007269	1.4858776555521978e-7	1	0.13967403569580042	3	neurotransmitter secretion	GO:0007269	-	-
R1	cpdb	0.3	network_modules	11	REAC	REAC:R-HSA-445989	1.753146673325025e-4	1	0.14415190615230372	1	TAK1-dependent IKK and NF-kappa-B activation  	-	-	REAC:R-HSA-445989
R1	cpdb	0.3	network_modules	11	KEGG	KEGG:04920	3.437148962383271e-4	1	0.12022618950972194	1	Adipocytokine signaling pathway	-	KEGG:04920	-
R1	cpdb	0.3	network_modules	12	GO:BP	GO:0031145	4.589533393654721e-42	1	0.6673013020674771	1	anaphase-promoting complex-dependent catabolic process	GO:0031145	-	-
R1	cpdb	0.3	network_modules	12	REAC	REAC:R-HSA-176407	8.836406899301748e-37	1	0.6987901534382641	1	Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase	-	-	REAC:R-HSA-176407
R1	cpdb	0.3	network_modules	12	KEGG	KEGG:04114	2.0260804606038496e-26	1	0.3208168244759079	2	Oocyte meiosis	-	KEGG:04114	-
R1	cpdb	0.3	network_modules	13	REAC	REAC:R-HSA-9027276	6.71385317615002e-12	2	0.37708023577117344	1	Erythropoietin activates Phosphoinositide-3-kinase (PI3K)	-	-	REAC:R-HSA-9027276
R1	cpdb	0.3	network_modules	13	KEGG	KEGG:04666	1.078271470441167e-11	1	0.20710360860733204	1	Fc gamma R-mediated phagocytosis	-	KEGG:04666	-
R1	cpdb	0.3	network_modules	13	GO:BP	GO:0046854	9.399836903276134e-8	1	0.17522927833887444	1	phosphatidylinositol phosphate biosynthetic process	GO:0046854	-	-
R1	cpdb	0.3	network_modules	14	REAC	REAC:R-HSA-446353	1.765332671287399e-17	1	0.4860939682537701	1	Cell-extracellular matrix interactions	-	-	REAC:R-HSA-446353
R1	cpdb	0.3	network_modules	15	REAC	REAC:R-HSA-3000157	3.0777863491640326e-11	1	0.2707660973201183	1	Laminin interactions	-	-	REAC:R-HSA-3000157
R1	cpdb	0.3	network_modules	15	KEGG	KEGG:04512	4.827959903390332e-8	1	0.16198493247010048	1	ECM-receptor interaction	-	KEGG:04512	-
R1	cpdb	0.3	network_modules	15	GO:BP	GO:0038180	7.24228467250126e-7	1	0.26902908675305715	1	nerve growth factor signaling pathway	GO:0038180	-	-
R1	cpdb	0.3	network_modules	16	REAC	REAC:R-HSA-392170	2.201655127104833e-32	1	0.621596460594081	1	ADP signalling through P2Y purinoceptor 12	-	-	REAC:R-HSA-392170
R1	cpdb	0.3	network_modules	16	GO:BP	GO:0007186	2.2672548863363034e-25	1	0.1606409852499904	1	G protein-coupled receptor signaling pathway	GO:0007186	-	-
R1	cpdb	0.3	network_modules	17	REAC	REAC:R-HSA-2485179	1.3842077887029693e-7	1	0.5220415159431939	1	Activation of the phototransduction cascade	-	-	REAC:R-HSA-2485179
R1	cpdb	0.3	network_modules	17	KEGG	KEGG:04744	1.7779519876904212e-6	1	0.32114036953180575	1	Phototransduction	-	KEGG:04744	-
R1	cpdb	0.3	network_modules	18	KEGG	KEGG:04142	6.509900134023589e-4	1	0.10714273135020293	1	Lysosome	-	KEGG:04142	-
R1	cpdb	0.3	network_modules	19	GO:BP	GO:1905821	2.9492737201464167e-6	3	0.22569138236574088	1	positive regulation of chromosome condensation	GO:1905821	-	-
R1	cpdb	0.3	network_modules	19	REAC	REAC:R-HSA-3108232	7.940019445063363e-6	1	0.1023245863419055	1	SUMO E3 ligases SUMOylate target proteins	-	-	REAC:R-HSA-3108232
R1	cpdb	0.3	network_modules	20	KEGG	KEGG:03440	4.501256204334575e-25	1	0.4522305572728851	1	Homologous recombination	-	KEGG:03440	-
R1	cpdb	0.3	network_modules	20	GO:BP	GO:0044818	2.5932265902599107e-17	1	0.3027720862298275	1	mitotic G2/M transition checkpoint	GO:0044818	-	-
R1	cpdb	0.3	network_modules	20	REAC	REAC:R-HSA-9701190	4.476832016648133e-13	9	0.284855898785027	1	Defective homologous recombination repair (HRR) due to BRCA2 loss of function	-	-	REAC:R-HSA-9701190
R1	cpdb	0.3	network_modules	21	GO:BP	GO:0014706	3.775527863861459e-5	3	0.09154234528240339	1	striated muscle tissue development	GO:0014706	-	-
R1	cpdb	0.3	network_modules	22	KEGG	KEGG:03082	2.663774415176661e-11	1	0.21162529856457232	1	ATP-dependent chromatin remodeling	-	KEGG:03082	-
R1	cpdb	0.3	network_modules	22	GO:BP	GO:0006338	4.855691564177458e-6	1	0.08513577707693354	1	chromatin remodeling	GO:0006338	-	-
R1	cpdb	0.3	network_modules	22	REAC	REAC:R-HSA-212165	4.893888697981781e-4	1	0.09835848118508426	1	Epigenetic regulation of gene expression	-	-	REAC:R-HSA-212165
R1	cpdb	0.3	network_modules	23	KEGG	KEGG:04120	1.3606004811786767e-15	1	0.23680793450826906	1	Ubiquitin mediated proteolysis	-	KEGG:04120	-
R1	cpdb	0.3	network_modules	23	REAC	REAC:R-HSA-983168	2.6834491679272192e-11	1	0.1475989551253491	1	Antigen processing: Ubiquitination & Proteasome degradation	-	-	REAC:R-HSA-983168
