network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes	row_rank_p	row_rank_mcc	top_go	top_kegg	top_reac
R1	cpdb	0.8	network_modules	1	TRUE	4.9308304033604393e-5	12	11	3	0.2727272727272727	0.25	REAC:R-HSA-1663150	REAC	The activation of arylsulfatases	10916	2498		0	0.25	12	10904	3	8	9	10896	10916	0.2603382471740858	1	NA	ENSG00000129103;ENSG00000074695;ENSG00000076984;ENSG00000101255;ENSG00000135046;ENSG00000149925;ENSG00000169967;ENSG00000079150;ENSG00000167123;ENSG00000170310;ENSG00000023318;ENSG00000117862;ENSG00000180398;ENSG00000001630;ENSG00000141337;ENSG00000144455;ENSG00000184530	1	1	-	-	REAC:R-HSA-1663150
R1	cpdb	0.8	network_modules	2	TRUE	1.6515659227896224e-12	4	5	4	0.8	1	REAC:R-HSA-1296025	REAC	ATP sensitive Potassium channels	10916	39		0	0.043478260869565216	4	10912	4	1	0	10911	10916	0.8943862064103005	1	GO:0006811	ENSG00000069431;ENSG00000123700;ENSG00000006071;ENSG00000121361;ENSG00000187486	1	1	-	-	REAC:R-HSA-1296025
R1	cpdb	0.8	network_modules	2	TRUE	7.56474321004588e-11	43	5	5	1	0.11627906976744186	GO:1990573	GO:BP	potassium ion import across plasma membrane	16175	25222		0.09090909090909091	0.13043478260869565	43	16132	5	0	38	16132	16175	0.3405962571109228	3	GO:0006811	ENSG00000069431;ENSG00000123700;ENSG00000006071;ENSG00000121361;ENSG00000187486	1	1	GO:1990573	-	-
R1	cpdb	0.8	network_modules	4	TRUE	7.612856014591392e-50	43	24	22	0.9166666666666666	0.5116279069767442	KEGG:03022	KEGG	Basal transcription factors	8484	213		0	0.027777777777777776	43	8441	22	2	21	8439	8484	0.6837438438492972	1	GO:0009059;GO:0065003;GO:0050789;GO:0016070	ENSG00000153767;ENSG00000140307;ENSG00000102145;ENSG00000112592;ENSG00000137947;ENSG00000120656;ENSG00000165417;ENSG00000147133;ENSG00000130699;ENSG00000028839;ENSG00000100219;ENSG00000064313;ENSG00000064995;ENSG00000137413;ENSG00000107223;ENSG00000148835;ENSG00000102387;ENSG00000113387;ENSG00000178913;ENSG00000165632;ENSG00000166337;ENSG00000106290;ENSG00000197780;ENSG00000141384;ENSG00000187325;ENSG00000152284;ENSG00000242441	1	1	-	KEGG:03022	-
R1	cpdb	0.8	network_modules	4	TRUE	4.94898103435823e-42	46	22	19	0.8636363636363636	0.41304347826086957	REAC:R-HSA-73779	REAC	RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	10916	1894		0.02857142857142857	0.19444444444444445	46	10870	19	3	27	10867	10916	0.5962029845450044	4.5	GO:0009059;GO:0065003;GO:0050789;GO:0016070	ENSG00000153767;ENSG00000140307;ENSG00000102145;ENSG00000112592;ENSG00000137947;ENSG00000120656;ENSG00000165417;ENSG00000147133;ENSG00000130699;ENSG00000028839;ENSG00000100219;ENSG00000064313;ENSG00000064995;ENSG00000137413;ENSG00000107223;ENSG00000148835;ENSG00000102387;ENSG00000113387;ENSG00000178913;ENSG00000165632;ENSG00000166337;ENSG00000106290;ENSG00000197780;ENSG00000141384;ENSG00000187325;ENSG00000152284;ENSG00000242441	1	1	-	-	REAC:R-HSA-73779
R1	cpdb	0.8	network_modules	5	TRUE	0.0010062884797903415	4	9	2	0.2222222222222222	0.5	REAC:R-HSA-5368598	REAC	Negative regulation of TCF-dependent signaling by DVL-interacting proteins	10916	1577		0	0.25	4	10912	2	7	2	10905	10916	0.33298196636404515	1	NA	ENSG00000004975;ENSG00000110497;ENSG00000148175;ENSG00000124164;ENSG00000164919;ENSG00000161202;ENSG00000198363;ENSG00000141522;ENSG00000117394;ENSG00000184743	1	1	-	-	REAC:R-HSA-5368598
R1	cpdb	0.8	network_modules	6	TRUE	6.27396548468311e-16	26	15	8	0.5333333333333333	0.3076923076923077	REAC:R-HSA-3238698	REAC	WNT ligand biogenesis and trafficking	10916	2668		0.043478260869565216	0.05714285714285714	26	10890	8	7	18	10883	10916	0.404045460572438	4	GO:0032502;GO:0050789;GO:0032501	ENSG00000114251;ENSG00000154342;ENSG00000104332;ENSG00000154764;ENSG00000108679;ENSG00000085741;ENSG00000129636;ENSG00000156076;ENSG00000147257;ENSG00000125084;ENSG00000145423;ENSG00000162552;ENSG00000142156;ENSG00000132026;ENSG00000002745;ENSG00000188064;ENSG00000185269	1	1	-	-	REAC:R-HSA-3238698
R1	cpdb	0.8	network_modules	6	TRUE	9.763741599451232e-13	63	14	8	0.5714285714285714	0.12698412698412698	KEGG:05217	KEGG	Basal cell carcinoma	8484	468		0.07246376811594203	0.08571428571428572	63	8421	8	6	55	8415	8484	0.2670866287817342	6	GO:0032502;GO:0050789;GO:0032501	ENSG00000114251;ENSG00000154342;ENSG00000104332;ENSG00000154764;ENSG00000108679;ENSG00000085741;ENSG00000129636;ENSG00000156076;ENSG00000147257;ENSG00000125084;ENSG00000145423;ENSG00000162552;ENSG00000142156;ENSG00000132026;ENSG00000002745;ENSG00000188064;ENSG00000185269	2	1	-	KEGG:05217	-
R1	cpdb	0.8	network_modules	6	TRUE	6.649597363258633e-10	4	15	4	0.26666666666666666	1	GO:0061183	GO:BP	regulation of dermatome development	16175	15280		0.17391304347826086	0.2	4	16171	4	11	0	16160	16175	0.516222114974699	13.5	GO:0032502;GO:0050789;GO:0032501	ENSG00000114251;ENSG00000154342;ENSG00000104332;ENSG00000154764;ENSG00000108679;ENSG00000085741;ENSG00000129636;ENSG00000156076;ENSG00000147257;ENSG00000125084;ENSG00000145423;ENSG00000162552;ENSG00000142156;ENSG00000132026;ENSG00000002745;ENSG00000188064;ENSG00000185269	5	1	GO:0061183	-	-
R1	cpdb	0.8	network_modules	7	TRUE	2.0945723733394255e-6	487	14	8	0.5714285714285714	0.01642710472279261	GO:0098916	GO:BP	anterograde trans-synaptic signaling	16175	18949		0	0.0625	487	15688	8	6	479	15682	16175	0.09323528419252697	1.5	GO:0007154;GO:0046903;GO:0006836;GO:0050789	ENSG00000070808;ENSG00000142208;ENSG00000105221;ENSG00000079841;ENSG00000100721;ENSG00000164867;ENSG00000089169;ENSG00000124942;ENSG00000100292;ENSG00000164061;ENSG00000186472;ENSG00000198722;ENSG00000214827;ENSG00000187672	1	4	GO:0098916	-	-
R1	cpdb	0.8	network_modules	7	TRUE	8.121451636870206e-6	109	11	5	0.45454545454545453	0.045871559633027525	KEGG:04066	KEGG	HIF-1 signaling pathway	8484	257		0.12903225806451613	0.15625	109	8375	5	6	104	8369	8484	0.1413181426080705	5	GO:0007154;GO:0046903;GO:0006836;GO:0050789	ENSG00000070808;ENSG00000142208;ENSG00000105221;ENSG00000079841;ENSG00000100721;ENSG00000164867;ENSG00000089169;ENSG00000124942;ENSG00000100292;ENSG00000164061;ENSG00000186472;ENSG00000198722;ENSG00000214827;ENSG00000187672	1	1	-	KEGG:04066	-
R1	cpdb	0.8	network_modules	8	TRUE	2.208107423914385e-17	23	22	9	0.4090909090909091	0.391304347826087	REAC:R-HSA-9006335	REAC	Signaling by Erythropoietin	10916	2238		0	0.004366812227074236	23	10893	9	13	14	10880	10916	0.3988602454440335	1	GO:0006629;GO:0050789;GO:0006793	ENSG00000109458;ENSG00000121879;ENSG00000115904;ENSG00000051382;ENSG00000105851;ENSG00000105647;ENSG00000145675;ENSG00000117461;ENSG00000033327;ENSG00000134313;ENSG00000099942;ENSG00000150760;ENSG00000100485;ENSG00000134516;ENSG00000171608;ENSG00000134215;ENSG00000137752;ENSG00000074370;ENSG00000186716;ENSG00000164611;ENSG00000157315;ENSG00000141506;ENSG00000165282	1	2	-	-	REAC:R-HSA-9006335
R1	cpdb	0.8	network_modules	8	TRUE	6.076245438506058e-16	76	22	11	0.5	0.14473684210526316	KEGG:05220	KEGG	Chronic myeloid leukemia	8484	471		0.0043859649122807015	0.008733624454148471	76	8408	11	11	65	8397	8484	0.26573022048489675	2	GO:0006629;GO:0050789;GO:0006793	ENSG00000109458;ENSG00000121879;ENSG00000115904;ENSG00000051382;ENSG00000105851;ENSG00000105647;ENSG00000145675;ENSG00000117461;ENSG00000033327;ENSG00000134313;ENSG00000099942;ENSG00000150760;ENSG00000100485;ENSG00000134516;ENSG00000171608;ENSG00000134215;ENSG00000137752;ENSG00000074370;ENSG00000186716;ENSG00000164611;ENSG00000157315;ENSG00000141506;ENSG00000165282	1	1	-	KEGG:05220	-
R1	cpdb	0.8	network_modules	8	TRUE	6.22717263176551e-10	50	23	7	0.30434782608695654	0.14	GO:0046854	GO:BP	phosphatidylinositol phosphate biosynthetic process	16175	12405		0.15789473684210525	0.1615720524017467	50	16125	7	16	43	16109	16175	0.2047843729909213	37	GO:0006629;GO:0050789;GO:0006793	ENSG00000109458;ENSG00000121879;ENSG00000115904;ENSG00000051382;ENSG00000105851;ENSG00000105647;ENSG00000145675;ENSG00000117461;ENSG00000033327;ENSG00000134313;ENSG00000099942;ENSG00000150760;ENSG00000100485;ENSG00000134516;ENSG00000171608;ENSG00000134215;ENSG00000137752;ENSG00000074370;ENSG00000186716;ENSG00000164611;ENSG00000157315;ENSG00000141506;ENSG00000165282	1	1	GO:0046854	-	-
R1	cpdb	0.8	network_modules	9	TRUE	4.8291764088593544e-11	202	17	10	0.5882352941176471	0.04950495049504951	KEGG:04510	KEGG	Focal adhesion	8484	313		0	0.0196078431372549	202	8282	10	7	192	8275	8484	0.16589140187981194	1	GO:0007155;GO:0032502;GO:0006996;GO:0050789	ENSG00000089159;ENSG00000102606;ENSG00000149269;ENSG00000166333;ENSG00000138964;ENSG00000070831;ENSG00000007952;ENSG00000186111;ENSG00000131504;ENSG00000130779;ENSG00000116584;ENSG00000188747;ENSG00000187239;ENSG00000163110;ENSG00000169756;ENSG00000104833;ENSG00000151651;ENSG00000163539;ENSG00000130479;ENSG00000171914;ENSG00000198390;ENSG00000188677;ENSG00000197702;ENSG00000196408;ENSG00000203879	1	1	-	KEGG:04510	-
R1	cpdb	0.8	network_modules	9	TRUE	3.1858162417350176e-10	86	23	8	0.34782608695652173	0.09302325581395349	GO:0034446	GO:BP	substrate adhesion-dependent cell spreading	16175	8640		0.02	0.0392156862745098	86	16089	8	15	78	16074	16175	0.17772707564884613	2	GO:0007155;GO:0032502;GO:0006996;GO:0050789	ENSG00000089159;ENSG00000102606;ENSG00000149269;ENSG00000166333;ENSG00000138964;ENSG00000070831;ENSG00000007952;ENSG00000186111;ENSG00000131504;ENSG00000130779;ENSG00000116584;ENSG00000188747;ENSG00000187239;ENSG00000163110;ENSG00000169756;ENSG00000104833;ENSG00000151651;ENSG00000163539;ENSG00000130479;ENSG00000171914;ENSG00000198390;ENSG00000188677;ENSG00000197702;ENSG00000196408;ENSG00000203879	1	1	GO:0034446	-	-
