network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes
R1	cpdb	0.9	network_modules	1	TRUE	6.039206301591784e-4	12	3	2	0.6666666666666666	0.16666666666666666	REAC:R-HSA-1663150	REAC	The activation of arylsulfatases	10916	2498		0	0.3333333333333333	12	10904	2	1	10	10903	10916	0.3330125109557372	1	NA	ENSG00000129103;ENSG00000023318;ENSG00000117862;ENSG00000144455
R1	cpdb	0.9	network_modules	2	TRUE	3.355655245340525e-9	4	3	3	1	0.75	REAC:R-HSA-1296025	REAC	ATP sensitive Potassium channels	10916	39		0	0.08333333333333333	4	10912	3	0	1	10912	10916	0.865985724262584	1	GO:0006811	ENSG00000069431;ENSG00000121361;ENSG00000187486
R1	cpdb	0.9	network_modules	2	TRUE	5.490690895188411e-6	35	3	3	1	0.08571428571428572	REAC:R-HSA-1296065	REAC	Inwardly rectifying K+ channels	10916	1271		0.09090909090909091	0.16666666666666666	35	10881	3	0	32	10881	10916	0.29234046453719453	2	GO:0006811	ENSG00000069431;ENSG00000121361;ENSG00000187486
R1	cpdb	0.9	network_modules	2	TRUE	8.33354899907009e-6	43	3	3	1	0.06976744186046512	GO:1990573	GO:BP	potassium ion import across plasma membrane	16175	25222		0.18181818181818182	0.25	43	16132	3	0	40	16132	16175	0.26380841213641976	3	GO:0006811	ENSG00000069431;ENSG00000121361;ENSG00000187486
R1	cpdb	0.9	network_modules	3	TRUE	0.001258091079065584	3	13	2	0.15384615384615385	0.6666666666666666	REAC:R-HSA-77285	REAC	Beta oxidation of myristoyl-CoA to lauroyl-CoA	10916	213		0	0.25	3	10913	2	11	1	10902	10916	0.3199187039314686	1.5	NA	ENSG00000084754;ENSG00000165283;ENSG00000075415;ENSG00000140009;ENSG00000139531;ENSG00000138029;ENSG00000106541;ENSG00000119715;ENSG00000130518;ENSG00000163528;ENSG00000124523;ENSG00000126267;ENSG00000119723;ENSG00000175768;ENSG00000123815;ENSG00000150779;ENSG00000008311;ENSG00000133315
R1	cpdb	0.9	network_modules	3	TRUE	0.001258091079065584	3	13	2	0.15384615384615385	0.6666666666666666	REAC:R-HSA-77305	REAC	Beta oxidation of palmitoyl-CoA to myristoyl-CoA	10916	215		0	0.25	3	10913	2	11	1	10902	10916	0.3199187039314686	1.5	NA	ENSG00000084754;ENSG00000165283;ENSG00000075415;ENSG00000140009;ENSG00000139531;ENSG00000138029;ENSG00000106541;ENSG00000119715;ENSG00000130518;ENSG00000163528;ENSG00000124523;ENSG00000126267;ENSG00000119723;ENSG00000175768;ENSG00000123815;ENSG00000150779;ENSG00000008311;ENSG00000133315
R1	cpdb	0.9	network_modules	4	TRUE	2.5320198155694548e-48	43	22	21	0.9545454545454546	0.4883720930232558	KEGG:03022	KEGG	Basal transcription factors	8484	213		0	0.02702702702702703	43	8441	21	1	22	8440	8484	0.6817557384695301	1	GO:0050789;GO:0065003;GO:0009059;GO:0016070	ENSG00000153767;ENSG00000140307;ENSG00000112592;ENSG00000120656;ENSG00000165417;ENSG00000147133;ENSG00000130699;ENSG00000064313;ENSG00000028839;ENSG00000064995;ENSG00000137413;ENSG00000148835;ENSG00000102387;ENSG00000165632;ENSG00000166337;ENSG00000106290;ENSG00000178913;ENSG00000197780;ENSG00000163132;ENSG00000141384;ENSG00000187325;ENSG00000242441
R1	cpdb	0.9	network_modules	4	TRUE	2.2810842882289775e-41	46	19	18	0.9473684210526315	0.391304347826087	REAC:R-HSA-73779	REAC	RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	10916	1894		0.027777777777777776	0.1891891891891892	46	10870	18	1	28	10869	10916	0.6079613490304944	4.5	GO:0050789;GO:0065003;GO:0009059;GO:0016070	ENSG00000153767;ENSG00000140307;ENSG00000112592;ENSG00000120656;ENSG00000165417;ENSG00000147133;ENSG00000130699;ENSG00000064313;ENSG00000028839;ENSG00000064995;ENSG00000137413;ENSG00000148835;ENSG00000102387;ENSG00000165632;ENSG00000166337;ENSG00000106290;ENSG00000178913;ENSG00000197780;ENSG00000163132;ENSG00000141384;ENSG00000187325;ENSG00000242441
R1	cpdb	0.9	network_modules	4	TRUE	2.2810842882289775e-41	46	19	18	0.9473684210526315	0.391304347826087	REAC:R-HSA-167161	REAC	HIV Transcription Initiation	10916	1105		0.027777777777777776	0.1891891891891892	46	10870	18	1	28	10869	10916	0.6079613490304944	4.5	GO:0050789;GO:0065003;GO:0009059;GO:0016070	ENSG00000153767;ENSG00000140307;ENSG00000112592;ENSG00000120656;ENSG00000165417;ENSG00000147133;ENSG00000130699;ENSG00000064313;ENSG00000028839;ENSG00000064995;ENSG00000137413;ENSG00000148835;ENSG00000102387;ENSG00000165632;ENSG00000166337;ENSG00000106290;ENSG00000178913;ENSG00000197780;ENSG00000163132;ENSG00000141384;ENSG00000187325;ENSG00000242441
R1	cpdb	0.9	network_modules	4	TRUE	2.2810842882289775e-41	46	19	18	0.9473684210526315	0.391304347826087	REAC:R-HSA-167162	REAC	RNA Polymerase II HIV Promoter Escape	10916	1887		0.027777777777777776	0.1891891891891892	46	10870	18	1	28	10869	10916	0.6079613490304944	4.5	GO:0050789;GO:0065003;GO:0009059;GO:0016070	ENSG00000153767;ENSG00000140307;ENSG00000112592;ENSG00000120656;ENSG00000165417;ENSG00000147133;ENSG00000130699;ENSG00000064313;ENSG00000028839;ENSG00000064995;ENSG00000137413;ENSG00000148835;ENSG00000102387;ENSG00000165632;ENSG00000166337;ENSG00000106290;ENSG00000178913;ENSG00000197780;ENSG00000163132;ENSG00000141384;ENSG00000187325;ENSG00000242441
R1	cpdb	0.9	network_modules	4	TRUE	2.2810842882289775e-41	46	19	18	0.9473684210526315	0.391304347826087	REAC:R-HSA-73776	REAC	RNA Polymerase II Promoter Escape	10916	1889		0.027777777777777776	0.1891891891891892	46	10870	18	1	28	10869	10916	0.6079613490304944	4.5	GO:0050789;GO:0065003;GO:0009059;GO:0016070	ENSG00000153767;ENSG00000140307;ENSG00000112592;ENSG00000120656;ENSG00000165417;ENSG00000147133;ENSG00000130699;ENSG00000064313;ENSG00000028839;ENSG00000064995;ENSG00000137413;ENSG00000148835;ENSG00000102387;ENSG00000165632;ENSG00000166337;ENSG00000106290;ENSG00000178913;ENSG00000197780;ENSG00000163132;ENSG00000141384;ENSG00000187325;ENSG00000242441
R1	cpdb	0.9	network_modules	4	TRUE	2.2810842882289775e-41	46	19	18	0.9473684210526315	0.391304347826087	REAC:R-HSA-75953	REAC	RNA Polymerase II Transcription Initiation	10916	1892		0.027777777777777776	0.1891891891891892	46	10870	18	1	28	10869	10916	0.6079613490304944	4.5	GO:0050789;GO:0065003;GO:0009059;GO:0016070	ENSG00000153767;ENSG00000140307;ENSG00000112592;ENSG00000120656;ENSG00000165417;ENSG00000147133;ENSG00000130699;ENSG00000064313;ENSG00000028839;ENSG00000064995;ENSG00000137413;ENSG00000148835;ENSG00000102387;ENSG00000165632;ENSG00000166337;ENSG00000106290;ENSG00000178913;ENSG00000197780;ENSG00000163132;ENSG00000141384;ENSG00000187325;ENSG00000242441
R1	cpdb	0.9	network_modules	4	TRUE	2.2810842882289775e-41	46	19	18	0.9473684210526315	0.391304347826087	REAC:R-HSA-76042	REAC	RNA Polymerase II Transcription Initiation And Promoter Clearance	10916	1893		0.027777777777777776	0.1891891891891892	46	10870	18	1	28	10869	10916	0.6079613490304944	4.5	GO:0050789;GO:0065003;GO:0009059;GO:0016070	ENSG00000153767;ENSG00000140307;ENSG00000112592;ENSG00000120656;ENSG00000165417;ENSG00000147133;ENSG00000130699;ENSG00000064313;ENSG00000028839;ENSG00000064995;ENSG00000137413;ENSG00000148835;ENSG00000102387;ENSG00000165632;ENSG00000166337;ENSG00000106290;ENSG00000178913;ENSG00000197780;ENSG00000163132;ENSG00000141384;ENSG00000187325;ENSG00000242441
R1	cpdb	0.9	network_modules	4	TRUE	1.3915636915860748e-37	69	19	18	0.9473684210526315	0.2608695652173913	REAC:R-HSA-167172	REAC	Transcription of the HIV genome	10916	2540		0.19444444444444445	0.21621621621621623	69	10847	18	1	51	10846	10916	0.49581424138557706	8	GO:0050789;GO:0065003;GO:0009059;GO:0016070	ENSG00000153767;ENSG00000140307;ENSG00000112592;ENSG00000120656;ENSG00000165417;ENSG00000147133;ENSG00000130699;ENSG00000064313;ENSG00000028839;ENSG00000064995;ENSG00000137413;ENSG00000148835;ENSG00000102387;ENSG00000165632;ENSG00000166337;ENSG00000106290;ENSG00000178913;ENSG00000197780;ENSG00000163132;ENSG00000141384;ENSG00000187325;ENSG00000242441
R1	cpdb	0.9	network_modules	4	TRUE	2.865861199528951e-36	80	19	18	0.9473684210526315	0.225	REAC:R-HSA-674695	REAC	RNA Polymerase II Pre-transcription Events	10916	1888		0.2222222222222222	0.24324324324324326	80	10836	18	1	62	10835	10916	0.4602073696490035	9	GO:0050789;GO:0065003;GO:0009059;GO:0016070	ENSG00000153767;ENSG00000140307;ENSG00000112592;ENSG00000120656;ENSG00000165417;ENSG00000147133;ENSG00000130699;ENSG00000064313;ENSG00000028839;ENSG00000064995;ENSG00000137413;ENSG00000148835;ENSG00000102387;ENSG00000165632;ENSG00000166337;ENSG00000106290;ENSG00000178913;ENSG00000197780;ENSG00000163132;ENSG00000141384;ENSG00000187325;ENSG00000242441
R1	cpdb	0.9	network_modules	4	TRUE	4.890577188480873e-35	64	22	17	0.7727272727272727	0.265625	GO:0051123	GO:BP	RNA polymerase II preinitiation complex assembly	16175	13507		0.25	0.2702702702702703	64	16111	17	5	47	16106	16175	0.4519335001026403	10	GO:0050789;GO:0065003;GO:0009059;GO:0016070	ENSG00000153767;ENSG00000140307;ENSG00000112592;ENSG00000120656;ENSG00000165417;ENSG00000147133;ENSG00000130699;ENSG00000064313;ENSG00000028839;ENSG00000064995;ENSG00000137413;ENSG00000148835;ENSG00000102387;ENSG00000165632;ENSG00000166337;ENSG00000106290;ENSG00000178913;ENSG00000197780;ENSG00000163132;ENSG00000141384;ENSG00000187325;ENSG00000242441
R1	cpdb	0.9	network_modules	5	TRUE	2.6813780073863826e-4	92	10	4	0.4	0.043478260869565216	REAC:R-HSA-4086400	REAC	PCP/CE pathway	10916	1659		0	0.16666666666666666	92	10824	4	6	88	10818	10916	0.12970437013451355	1	NA	ENSG00000004975;ENSG00000136238;ENSG00000106615;ENSG00000170315;ENSG00000087191;ENSG00000111640;ENSG00000104388;ENSG00000007171;ENSG00000171314;ENSG00000143257;ENSG00000171368;ENSG00000266028
R1	cpdb	0.9	network_modules	5	TRUE	0.0015669625514333322	143	10	4	0.4	0.027972027972027972	REAC:R-HSA-3858494	REAC	Beta-catenin independent WNT signaling	10916	216		0.2	0.3333333333333333	143	10773	4	6	139	10767	10916	0.10303697980226507	2	NA	ENSG00000004975;ENSG00000136238;ENSG00000106615;ENSG00000170315;ENSG00000087191;ENSG00000111640;ENSG00000104388;ENSG00000007171;ENSG00000171314;ENSG00000143257;ENSG00000171368;ENSG00000266028
R1	cpdb	0.9	network_modules	6	TRUE	9.149005527097174e-11	26	14	6	0.42857142857142855	0.23076923076923078	REAC:R-HSA-3238698	REAC	WNT ligand biogenesis and trafficking	10916	2668		0	0.020833333333333332	26	10890	6	8	20	10882	10916	0.3133117581547487	1	GO:0050789;GO:0032502;GO:0032501	ENSG00000114251;ENSG00000154342;ENSG00000169429;ENSG00000137745;ENSG00000154764;ENSG00000139219;ENSG00000156076;ENSG00000125084;ENSG00000138131;ENSG00000162552;ENSG00000136457;ENSG00000142156;ENSG00000164111;ENSG00000188064;ENSG00000185269
R1	cpdb	0.9	network_modules	6	TRUE	1.7108678100944577e-9	174	13	8	0.6153846153846154	0.04597701149425287	KEGG:04310	KEGG	Wnt signaling pathway	8484	299		0.02127659574468085	0.041666666666666664	174	8310	8	5	166	8305	8484	0.1644204697680978	2	GO:0050789;GO:0032502;GO:0032501	ENSG00000114251;ENSG00000154342;ENSG00000169429;ENSG00000137745;ENSG00000154764;ENSG00000139219;ENSG00000156076;ENSG00000125084;ENSG00000138131;ENSG00000162552;ENSG00000136457;ENSG00000142156;ENSG00000164111;ENSG00000188064;ENSG00000185269
R1	cpdb	0.9	network_modules	6	TRUE	6.208780136180705e-9	330	13	9	0.6923076923076923	0.02727272727272727	KEGG:05165	KEGG	Human papillomavirus infection	8484	446		0.0425531914893617	0.0625	330	8154	9	4	321	8150	8484	0.13238813886767176	3	GO:0050789;GO:0032502;GO:0032501	ENSG00000114251;ENSG00000154342;ENSG00000169429;ENSG00000137745;ENSG00000154764;ENSG00000139219;ENSG00000156076;ENSG00000125084;ENSG00000138131;ENSG00000162552;ENSG00000136457;ENSG00000142156;ENSG00000164111;ENSG00000188064;ENSG00000185269
R1	cpdb	0.9	network_modules	6	TRUE	1.1783115168910078e-8	63	13	6	0.46153846153846156	0.09523809523809523	KEGG:05217	KEGG	Basal cell carcinoma	8484	468		0.06382978723404255	0.08333333333333333	63	8421	6	7	57	8414	8484	0.20721278732513607	4	GO:0050789;GO:0032502;GO:0032501	ENSG00000114251;ENSG00000154342;ENSG00000169429;ENSG00000137745;ENSG00000154764;ENSG00000139219;ENSG00000156076;ENSG00000125084;ENSG00000138131;ENSG00000162552;ENSG00000136457;ENSG00000142156;ENSG00000164111;ENSG00000188064;ENSG00000185269
R1	cpdb	0.9	network_modules	6	TRUE	6.634592450800182e-8	512	14	9	0.6428571428571429	0.017578125	GO:0009790	GO:BP	embryo development	16175	3677		0.0851063829787234	0.10416666666666667	512	15663	9	5	503	15658	16175	0.10275133375360516	5	GO:0050789;GO:0032502;GO:0032501	ENSG00000114251;ENSG00000154342;ENSG00000169429;ENSG00000137745;ENSG00000154764;ENSG00000139219;ENSG00000156076;ENSG00000125084;ENSG00000138131;ENSG00000162552;ENSG00000136457;ENSG00000142156;ENSG00000164111;ENSG00000188064;ENSG00000185269
R1	cpdb	0.9	network_modules	6	TRUE	1.360797142966806e-7	345	14	8	0.5714285714285714	0.02318840579710145	GO:0016055	GO:BP	Wnt signaling pathway	16175	5087		0.10638297872340426	0.125	345	15830	8	6	337	15824	16175	0.11206379523278161	6	GO:0050789;GO:0032502;GO:0032501	ENSG00000114251;ENSG00000154342;ENSG00000169429;ENSG00000137745;ENSG00000154764;ENSG00000139219;ENSG00000156076;ENSG00000125084;ENSG00000138131;ENSG00000162552;ENSG00000136457;ENSG00000142156;ENSG00000164111;ENSG00000188064;ENSG00000185269
R1	cpdb	0.9	network_modules	6	TRUE	2.139096050596829e-7	101	13	6	0.46153846153846156	0.0594059405940594	KEGG:04916	KEGG	Melanogenesis	8484	373		0.1276595744680851	0.14583333333333334	101	8383	6	7	95	8376	8484	0.16240650818117233	7	GO:0050789;GO:0032502;GO:0032501	ENSG00000114251;ENSG00000154342;ENSG00000169429;ENSG00000137745;ENSG00000154764;ENSG00000139219;ENSG00000156076;ENSG00000125084;ENSG00000138131;ENSG00000162552;ENSG00000136457;ENSG00000142156;ENSG00000164111;ENSG00000188064;ENSG00000185269
R1	cpdb	0.9	network_modules	6	TRUE	2.9036706893405444e-7	93	14	6	0.42857142857142855	0.06451612903225806	REAC:R-HSA-373080	REAC	Class B/2 (Secretin family receptors)	10916	366		0.14893617021276595	0.16666666666666666	93	10823	6	8	87	10815	10916	0.16378043781119067	8	GO:0050789;GO:0032502;GO:0032501	ENSG00000114251;ENSG00000154342;ENSG00000169429;ENSG00000137745;ENSG00000154764;ENSG00000139219;ENSG00000156076;ENSG00000125084;ENSG00000138131;ENSG00000162552;ENSG00000136457;ENSG00000142156;ENSG00000164111;ENSG00000188064;ENSG00000185269
R1	cpdb	0.9	network_modules	6	TRUE	6.617679295914984e-7	3	14	3	0.21428571428571427	1	GO:0061184	GO:BP	positive regulation of dermatome development	16175	15281		0.1702127659574468	0.1875	3	16172	3	11	0	16161	16175	0.46275259018047415	9	GO:0050789;GO:0032502;GO:0032501	ENSG00000114251;ENSG00000154342;ENSG00000169429;ENSG00000137745;ENSG00000154764;ENSG00000139219;ENSG00000156076;ENSG00000125084;ENSG00000138131;ENSG00000162552;ENSG00000136457;ENSG00000142156;ENSG00000164111;ENSG00000188064;ENSG00000185269
R1	cpdb	0.9	network_modules	6	TRUE	7.208269529951795e-7	15	14	4	0.2857142857142857	0.26666666666666666	REAC:R-HSA-3772470	REAC	Negative regulation of TCF-dependent signaling by WNT ligand antagonists	10916	1578		0.19148936170212766	0.20833333333333334	15	10901	4	10	11	10891	10916	0.2750640631766487	10	GO:0050789;GO:0032502;GO:0032501	ENSG00000114251;ENSG00000154342;ENSG00000169429;ENSG00000137745;ENSG00000154764;ENSG00000139219;ENSG00000156076;ENSG00000125084;ENSG00000138131;ENSG00000162552;ENSG00000136457;ENSG00000142156;ENSG00000164111;ENSG00000188064;ENSG00000185269
R1	cpdb	0.9	network_modules	6	TRUE	9.428803444536733e-7	257	14	7	0.5	0.027237354085603113	GO:0060070	GO:BP	canonical Wnt signaling pathway	16175	14332		0.2127659574468085	0.22916666666666666	257	15918	7	7	250	15911	16175	0.11394849270212869	11	GO:0050789;GO:0032502;GO:0032501	ENSG00000114251;ENSG00000154342;ENSG00000169429;ENSG00000137745;ENSG00000154764;ENSG00000139219;ENSG00000156076;ENSG00000125084;ENSG00000138131;ENSG00000162552;ENSG00000136457;ENSG00000142156;ENSG00000164111;ENSG00000188064;ENSG00000185269
R1	cpdb	0.9	network_modules	6	TRUE	1.7491359978430355e-6	143	13	6	0.46153846153846156	0.04195804195804196	KEGG:04550	KEGG	Signaling pathways regulating pluripotency of stem cells	8484	319		0.23404255319148937	0.25	143	8341	6	7	137	8334	8484	0.13532518906271773	12	GO:0050789;GO:0032502;GO:0032501	ENSG00000114251;ENSG00000154342;ENSG00000169429;ENSG00000137745;ENSG00000154764;ENSG00000139219;ENSG00000156076;ENSG00000125084;ENSG00000138131;ENSG00000162552;ENSG00000136457;ENSG00000142156;ENSG00000164111;ENSG00000188064;ENSG00000185269
R1	cpdb	0.9	network_modules	7	TRUE	1.849245875937783e-18	43	17	10	0.5882352941176471	0.23255813953488372	REAC:R-HSA-9609736	REAC	Assembly and cell surface presentation of NMDA receptors	10916	173		0	0.012195121951219513	43	10873	10	7	33	10866	10916	0.36839925534144613	1	GO:0050877;GO:0050789;GO:0007154;GO:0065008	ENSG00000070808;ENSG00000176884;ENSG00000161509;ENSG00000105464;ENSG00000116032;ENSG00000075711;ENSG00000078018;ENSG00000171723;ENSG00000134909;ENSG00000092964;ENSG00000150672;ENSG00000100739;ENSG00000198785;ENSG00000183454;ENSG00000157851;ENSG00000162545;ENSG00000169760;ENSG00000137221;ENSG00000089169;ENSG00000273079;ENSG00000179915
