network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes	row_rank_p	row_rank_mcc	top_go	top_kegg	top_reac
R1	humanbase	0.4	network_modules	20	TRUE	6.426399328551993e-5	28	6	3	0.5	0.10714285714285714	REAC:R-HSA-1614635	REAC	Sulfur amino acid metabolism	10916	2358		0	0.07142857142857142	28	10888	3	3	25	10885	10916	0.23062692458807935	1	GO:0006520;GO:0006082	28;297;451;603;705;1437;1491;1772;2460;2805;2806;3232;3873;4814;8287	1	1	-	-	REAC:R-HSA-1614635
R1	humanbase	0.4	network_modules	20	TRUE	2.0414148081246723e-4	6	5	2	0.4	0.3333333333333333	KEGG:00400	KEGG	Phenylalanine, tyrosine and tryptophan biosynthesis	8484	49		0.15384615384615385	0.21428571428571427	6	8478	2	3	4	8475	8484	0.36473923041240575	3	GO:0006520;GO:0006082	28;297;451;603;705;1437;1491;1772;2460;2805;2806;3232;3873;4814;8287	2	1	-	KEGG:00400	-
R1	humanbase	0.4	network_modules	32	TRUE	0.0018913173803027153	3	12	2	0.16666666666666666	0.6666666666666666	GO:0072734	GO:BP	cellular response to staurosporine	16175	17543		0	0.6666666666666666	3	16172	2	10	1	16162	16175	0.33311686255037765	1.5	GO:0050896	45;437;839;840;1581;1979;3368;3456;4621;4680;5053;5108;5535;6004;7473;9059	1	1	GO:0072734	-	-
R1	humanbase	0.4	network_modules	47	TRUE	0.006708976559869014	32	5	2	0.4	0.0625	KEGG:04215	KEGG	Apoptosis - multiple species	8484	292		0	0.3333333333333333	32	8452	2	3	30	8449	8484	0.1569654199306986	1	NA	73;111;294;330;331;791;993;1389;1505;1851;2528;2764;5761	1	1	-	KEGG:04215	-
R1	humanbase	0.4	network_modules	52	TRUE	3.2073343617139416e-4	76	14	4	0.2857142857142857	0.05263157894736842	KEGG:05212	KEGG	Pancreatic cancer	8484	463		0	0.125	76	8408	4	10	72	8398	8484	0.11941730273561982	1	NA	81;786;1019;1021;1565;1751;1847;2044;2386;3970;4077;4592;4616;4677;5337;6230;7156;7326;7674;8113;9095	1	1	-	KEGG:05212	-
R1	humanbase	0.4	network_modules	52	TRUE	9.88560555320085e-4	3	12	2	0.16666666666666666	0.6666666666666666	REAC:R-HSA-9632700	REAC	Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6	10916	879		0.14285714285714285	0.875	3	10913	2	10	1	10903	10916	0.3330125109557372	4.5	NA	81;786;1019;1021;1565;1751;1847;2044;2386;3970;4077;4592;4616;4677;5337;6230;7156;7326;7674;8113;9095	1	1	-	-	REAC:R-HSA-9632700
R1	humanbase	0.4	network_modules	54	TRUE	0.0046879858427047475	8	9	2	0.2222222222222222	0.25	REAC:R-HSA-2142670	REAC	Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)	10916	2408		0	0.3333333333333333	8	10908	2	7	6	10901	10916	0.23510800786592262	1	NA	85;998;1557;1558;2385;2712;3188;5417;5736;6059;6160;7390;7508;8275	1	1	-	-	REAC:R-HSA-2142670
R1	humanbase	0.4	network_modules	81	TRUE	5.14777008642182e-4	21	12	3	0.25	0.14285714285714285	GO:0071880	GO:BP	adenylate cyclase-activating adrenergic receptor signaling pathway	16175	16961		0	0.25	21	16154	3	9	18	16145	16175	0.1881927954648218	1	GO:0050789	152;154;157;160;493;692;731;1215;1397;1826;2012;4587;6999;7327;7336	1	1	GO:0071880	-	-
R1	humanbase	0.4	network_modules	87	TRUE	2.9136212742325527e-6	13	22	4	0.18181818181818182	0.3076923076923077	REAC:R-HSA-432047	REAC	Passive transport by Aquaporins	10916	1718		0	0.1111111111111111	13	10903	4	18	9	10885	10916	0.23535304215908304	1	GO:0042044	161;162;231;358;359;360;362;372;374;389;874;1040;1101;1127;1446;1448;1674;2311;2671;2721;2907;2919;2953;3434;4540;4678;4794;5271;5354;5624;5626	1	1	-	-	REAC:R-HSA-432047
R1	humanbase	0.4	network_modules	87	TRUE	3.467611658252866e-5	20	26	4	0.15384615384615385	0.2	GO:0006833	GO:BP	water transport	16175	2504		0.125	0.2222222222222222	20	16155	4	22	16	16133	16175	0.17424958101181034	2	GO:0042044	161;162;231;358;359;360;362;372;374;389;874;1040;1101;1127;1446;1448;1674;2311;2671;2721;2907;2919;2953;3434;4540;4678;4794;5271;5354;5624;5626	1	1	GO:0006833	-	-
R1	humanbase	0.4	network_modules	92	TRUE	8.50129356153497e-4	164	9	4	0.4444444444444444	0.024390243902439025	KEGG:04022	KEGG	cGMP-PKG signaling pathway	8484	251		0	0.5	164	8320	4	5	160	8315	8484	0.10061756898731876	1	NA	173;477;676;779;1201;1264;1266;3340;3643;3779;3866;4022;4230;4562;5798;6208;6632;7584;7640;8108	1	1	-	KEGG:04022	-
R1	humanbase	0.4	network_modules	102	TRUE	4.528503828632777e-5	30	45	5	0.1111111111111111	0.16666666666666666	REAC:R-HSA-77387	REAC	Insulin receptor recycling	10916	1210		0.07692307692307693	0.14285714285714285	30	10886	5	40	25	10846	10916	0.13317437554795977	2	GO:0065008	192;194;195;196;198;199;200;209;529;530;531;532;533;534;535;536;537;633;901;1555;1556;1623;1652;1709;1711;1712;1713;1714;1715;1716;1718;1719;1720;1721;1722;1724;1726;1729;1730;1735;1736;1737;1739;1891;2466;2475;2662;2839;2846;2895;2896;3332;3578;3582;3658;3660;3663;3978;4001;4047;4174;4214;4272;4432;4604;5088;5315;5366;5420;5448;5526;5722;5800;5950;6027;6093;6246;6536;6620;6626;6761;7210;7322;7679;7828;8323;8935;9136	2	1	-	-	REAC:R-HSA-77387
R1	humanbase	0.4	network_modules	102	TRUE	1.280108158609332e-4	330	39	10	0.2564102564102564	0.030303030303030304	KEGG:05165	KEGG	Human papillomavirus infection	8484	446		0.23076923076923078	0.2857142857142857	330	8154	10	29	320	8125	8484	0.07644992236531517	4	GO:0065008	192;194;195;196;198;199;200;209;529;530;531;532;533;534;535;536;537;633;901;1555;1556;1623;1652;1709;1711;1712;1713;1714;1715;1716;1718;1719;1720;1721;1722;1724;1726;1729;1730;1735;1736;1737;1739;1891;2466;2475;2662;2839;2846;2895;2896;3332;3578;3582;3658;3660;3663;3978;4001;4047;4174;4214;4272;4432;4604;5088;5315;5366;5420;5448;5526;5722;5800;5950;6027;6093;6246;6536;6620;6626;6761;7210;7322;7679;7828;8323;8935;9136	1	1	-	KEGG:05165	-
R1	humanbase	0.4	network_modules	113	TRUE	3.1191984165943173e-4	22	14	3	0.21428571428571427	0.13636363636363635	KEGG:00340	KEGG	Histidine metabolism	8484	40		0.25	0.4	22	8462	3	11	19	8451	8484	0.1692313403220881	2	NA	217;219;221;230;232;241;333;336;478;785;1545;2915;3914;6472;6769;7382;8239;8527;8651	2	1	-	KEGG:00340	-
R1	humanbase	0.4	network_modules	126	TRUE	2.071152436695344e-5	12	39	4	0.10256410256410256	0.3333333333333333	GO:0002430	GO:BP	complement receptor mediated signaling pathway	16175	953		0	0.16666666666666666	12	16163	4	35	8	16128	16175	0.18385252099029312	1	GO:0002376;GO:0050789	269;751;752;754;755;870;1191;1442;1690;1744;2329;2330;2332;2333;2334;2335;2336;2337;2338;2339;2340;2341;2342;2343;2344;2345;2346;2348;2350;2352;2353;2354;2355;2356;2357;2358;2359;2360;2361;2362;2363;2364;2365;2367;2368;2369;2375;2376;2377;2378;2381;2387;2388;2390;2391;2392;2393;2394;2395;2396;2397;2398;2399;2400;2401;2402;2403;2404;2405;2407;2408;2409;2410;2812;2854;2855;3432;3566;4116;4559;4996;5137;5743;5903;6097;7941;8279;8431;8748;9056;9057;9075	1	1	GO:0002430	-	-
