network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes
R1	humanbase	0.7	network_modules	10	TRUE	1.0230247219626698e-5	27	4	3	0.75	0.1111111111111111	GO:0002227	GO:BP	innate immune response in mucosa	16175	760		0	0.058823529411764705	27	16148	3	1	24	16147	16175	0.2883089932851915	1	GO:0050896;GO:0044419;GO:0002376	17;366;1667;1670;1672;3246
R1	humanbase	0.7	network_modules	10	TRUE	2.7163116455088205e-5	37	4	3	0.75	0.08108108108108109	GO:0002385	GO:BP	mucosal immune response	16175	912		0.0625	0.11764705882352941	37	16138	3	1	34	16137	16175	0.24615846845627437	2	GO:0050896;GO:0044419;GO:0002376	17;366;1667;1670;1672;3246
R1	humanbase	0.7	network_modules	10	TRUE	3.194603083562202e-5	39	4	3	0.75	0.07692307692307693	GO:0002251	GO:BP	organ or tissue specific immune response	16175	783		0.125	0.17647058823529413	39	16136	3	1	36	16135	16175	0.23973885586857743	3	GO:0050896;GO:0044419;GO:0002376	17;366;1667;1670;1672;3246
R1	humanbase	0.7	network_modules	10	TRUE	6.384674456592294e-5	51	4	3	0.75	0.058823529411764705	REAC:R-HSA-1461973	REAC	Defensins	10916	718		0.1875	0.23529411764705882	51	10865	3	1	48	10864	10916	0.20926124438262997	4	GO:0050896;GO:0044419;GO:0002376	17;366;1667;1670;1672;3246
R1	humanbase	0.7	network_modules	10	TRUE	1.4547036570723544e-4	64	4	3	0.75	0.046875	GO:0019731	GO:BP	antibacterial humoral response	16175	6022		0.25	0.29411764705882354	64	16111	3	1	61	16110	16175	0.18690401528778552	5	GO:0050896;GO:0044419;GO:0002376	17;366;1667;1670;1672;3246
R1	humanbase	0.7	network_modules	15	TRUE	0.0028839605524323135	126	5	3	0.6	0.023809523809523808	REAC:R-HSA-162909	REAC	Host Interactions of HIV factors	10916	1132		0	0.5	126	10790	3	2	123	10788	10916	0.11793296537006323	1	NA	27;161;162;3159;3514;3628;3907
R1	humanbase	0.7	network_modules	22	TRUE	0.006943018241620206	40	4	2	0.5	0.05	KEGG:00380	KEGG	Tryptophan metabolism	8484	48		0	0.3333333333333333	40	8444	2	2	38	8442	8484	0.15703049858927548	1	NA	39;223;562;564;565;571;2391;3119;3342;3860
R1	humanbase	0.7	network_modules	66	TRUE	1.7720428564568168e-7	13	12	4	0.3333333333333333	0.3076923076923077	REAC:R-HSA-432047	REAC	Passive transport by Aquaporins	10916	1718		0	0.08333333333333333	13	10903	4	8	9	10895	10916	0.3194779530919822	1	GO:0042044	133;355;356;357;359;360;361;362;437;1099;1100;1102;1104;1109;1110;1116;1125;1126;1917;1921;2380;2381;2383;2763;2857;3703;3933
R1	humanbase	0.7	network_modules	66	TRUE	2.163660848996647e-6	20	14	4	0.2857142857142857	0.2	GO:0006833	GO:BP	water transport	16175	2504		0.09090909090909091	0.16666666666666666	20	16155	4	10	16	16145	16175	0.2382616299679355	2	GO:0042044	133;355;356;357;359;360;361;362;437;1099;1100;1102;1104;1109;1110;1116;1125;1126;1917;1921;2380;2381;2383;2763;2857;3703;3933
R1	humanbase	0.7	network_modules	66	TRUE	3.948561617995067e-6	23	14	4	0.2857142857142857	0.17391304347826086	GO:0042044	GO:BP	fluid transport	16175	9936		0.18181818181818182	0.25	23	16152	4	10	19	16142	16175	0.22205587943404823	3	GO:0042044	133;355;356;357;359;360;361;362;437;1099;1100;1102;1104;1109;1110;1116;1125;1126;1917;1921;2380;2381;2383;2763;2857;3703;3933
