network_method	network_db	network_cutoff	experiment_info	module	source	term_id	p_value	row_rank_p	mcc	row_rank_mcc	term_name	top_go	top_kegg	top_reac
R1	string	0.2	network_modules	1	REAC	REAC:R-HSA-6811434	1.4409146924663013e-52	1	0.46137889697922135	1	COPI-dependent Golgi-to-ER retrograde traffic	-	-	REAC:R-HSA-6811434
R1	string	0.2	network_modules	1	GO:BP	GO:0048193	8.513841470299213e-49	1	0.29176350754094893	3	Golgi vesicle transport	GO:0006890	-	-
R1	string	0.2	network_modules	1	REAC	REAC:R-HSA-8856688	5.675575696555153e-48	2	0.3968613076008035	2	Golgi-to-ER retrograde transport	-	-	REAC:R-HSA-6811434
R1	string	0.2	network_modules	1	REAC	REAC:R-HSA-6811442	6.062052381363319e-44	3	0.3306510321747602	4	Intra-Golgi and retrograde Golgi-to-ER traffic	-	-	REAC:R-HSA-6811434
R1	string	0.2	network_modules	1	GO:BP	GO:0006890	3.2453684579323244e-40	2	0.42121622717665635	1	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	GO:0006890	-	-
R1	string	0.2	network_modules	1	REAC	REAC:R-HSA-6807878	4.181157318736231e-40	4	0.38012075369606096	3	COPI-mediated anterograde transport	-	-	REAC:R-HSA-6811434
R1	string	0.2	network_modules	1	REAC	REAC:R-HSA-199977	6.092065668002385e-37	5	0.3185610891839774	5	ER to Golgi Anterograde Transport	-	-	REAC:R-HSA-6811434
R1	string	0.2	network_modules	1	GO:BP	GO:0006888	1.0083927176511456e-36	3	0.305531525313386	2	endoplasmic reticulum to Golgi vesicle-mediated transport	GO:0006890	-	-
R1	string	0.2	network_modules	2	REAC	REAC:R-HSA-6811440	8.2435581218079e-10	1	0.21597191481561312	2	Retrograde transport at the Trans-Golgi-Network	-	-	REAC:R-HSA-6811440
R1	string	0.2	network_modules	2	REAC	REAC:R-HSA-9007101	9.63035969241165e-9	2	0.1557727531945162	4	Rab regulation of trafficking	-	-	REAC:R-HSA-6811440
R1	string	0.2	network_modules	2	REAC	REAC:R-HSA-9706019	4.0108395325497193e-7	3	0.2900964503272823	1	RHOBTB3 ATPase cycle	-	-	REAC:R-HSA-6811440
R1	string	0.2	network_modules	2	KEGG	KEGG:04142	6.087634039249694e-7	1	0.1479068329068303	1	Lysosome	-	KEGG:04142	-
R1	string	0.2	network_modules	2	REAC	REAC:R-HSA-8854214	5.166816219400867e-6	4	0.16218622618045406	3	TBC/RABGAPs	-	-	REAC:R-HSA-6811440
R1	string	0.2	network_modules	3	GO:BP	GO:0006457	1.3650820683847955e-13	1	0.1543922597135337	1	protein folding	GO:0006457	-	-
R1	string	0.2	network_modules	3	REAC	REAC:R-HSA-3371497	7.054347954434481e-11	1	0.2137000507146401	2	HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	-	-	REAC:R-HSA-3371568
R1	string	0.2	network_modules	3	GO:BP	GO:0051604	3.8195268084733694e-8	2	0.09044314669508292	6	protein maturation	GO:0006457	-	-
R1	string	0.2	network_modules	3	REAC	REAC:R-HSA-3371568	5.471188636163763e-6	2	0.216916255470491	1	Attenuation phase	-	-	REAC:R-HSA-3371568
R1	string	0.2	network_modules	3	GO:BP	GO:0061077	1.242067913163812e-5	3	0.11873968310256136	2	chaperone-mediated protein folding	GO:0006457	-	-
R1	string	0.2	network_modules	3	GO:BP	GO:0006278	1.941795109765894e-5	4	0.11427626086959754	3	RNA-templated DNA biosynthetic process	GO:0006457	-	-
R1	string	0.2	network_modules	3	GO:BP	GO:0007004	1.941795109765894e-5	5	0.11427626086959754	4	telomere maintenance via telomerase	GO:0006457	-	-
R1	string	0.2	network_modules	3	GO:BP	GO:0010833	5.39442461165578e-5	6	0.10456899254962054	5	telomere maintenance via telomere lengthening	GO:0006457	-	-
R1	string	0.2	network_modules	4	KEGG	KEGG:00140	1.505068349138656e-70	1	0.6067096360699838	1	Steroid hormone biosynthesis	-	KEGG:00140	-
R1	string	0.2	network_modules	4	KEGG	KEGG:00830	1.3259029359733594e-65	2	0.5637833478151384	2	Retinol metabolism	-	KEGG:00140	-
R1	string	0.2	network_modules	4	GO:BP	GO:0042445	2.6029597151112297e-62	1	0.37627418327554873	4	hormone metabolic process	GO:0052695	-	-
R1	string	0.2	network_modules	4	GO:BP	GO:0008202	2.201337933608476e-56	2	0.3222121937110519	9	steroid metabolic process	GO:0052695	-	-
R1	string	0.2	network_modules	4	GO:BP	GO:0010817	8.384595619598649e-49	3	0.2616400497162145	12	regulation of hormone levels	GO:0052695	-	-
R1	string	0.2	network_modules	4	KEGG	KEGG:00980	1.429460212658779e-40	3	0.39568206947669693	6	Metabolism of xenobiotics by cytochrome P450	-	KEGG:00140	-
R1	string	0.2	network_modules	4	KEGG	KEGG:05204	6.59631793540581e-40	4	0.4013342245617479	5	Chemical carcinogenesis - DNA adducts	-	KEGG:00140	-
R1	string	0.2	network_modules	4	REAC	REAC:R-HSA-211859	2.7551868342774074e-39	1	0.28272148533062236	3	Biological oxidations	-	-	REAC:R-HSA-156588
R1	string	0.2	network_modules	4	GO:BP	GO:0052695	1.274685186050234e-38	4	0.4862076260575631	1	cellular glucuronidation	GO:0052695	-	-
R1	string	0.2	network_modules	4	KEGG	KEGG:00053	1.641996950891394e-37	5	0.4693515843334689	3	Ascorbate and aldarate metabolism	-	KEGG:00140	-
R1	string	0.2	network_modules	4	GO:BP	GO:0006063	3.2071998466202714e-37	5	0.46440780512166197	2	uronic acid metabolic process	GO:0052695	-	-
