network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes
R1	string	0.3	network_modules	1	TRUE	4.751545264396298e-29	99	27	18	0.6666666666666666	0.18181818181818182	REAC:R-HSA-6811434	REAC	COPI-dependent Golgi-to-ER retrograde traffic	10916	277		0	0.038461538461538464	99	10817	18	9	81	10808	10916	0.3454144425246976	1	GO:0016192;GO:0051641	ENSP00000000233;ENSP00000234453;ENSP00000242285;ENSP00000244869;ENSP00000249923;ENSP00000253083;ENSP00000256682;ENSP00000258739;ENSP00000262812;ENSP00000263245;ENSP00000264028;ENSP00000270176;ENSP00000309415;ENSP00000314615;ENSP00000320081;ENSP00000325002;ENSP00000329419;ENSP00000329471;ENSP00000336747;ENSP00000336923;ENSP00000354398;ENSP00000357048;ENSP00000359000;ENSP00000369853;ENSP00000379709;ENSP00000379712;ENSP00000386918;ENSP00000397947;ENSP00000402346;ENSP00000434442;ENSP00000440005;ENSP00000449270;ENSP00000480707
R1	string	0.3	network_modules	1	TRUE	8.541974797453589e-29	102	27	18	0.6666666666666666	0.17647058823529413	REAC:R-HSA-6807878	REAC	COPI-mediated anterograde transport	10916	279		0.04	0.07692307692307693	102	10814	18	9	84	10805	10916	0.3402018695376766	2	GO:0016192;GO:0051641	ENSP00000000233;ENSP00000234453;ENSP00000242285;ENSP00000244869;ENSP00000249923;ENSP00000253083;ENSP00000256682;ENSP00000258739;ENSP00000262812;ENSP00000263245;ENSP00000264028;ENSP00000270176;ENSP00000309415;ENSP00000314615;ENSP00000320081;ENSP00000325002;ENSP00000329419;ENSP00000329471;ENSP00000336747;ENSP00000336923;ENSP00000354398;ENSP00000357048;ENSP00000359000;ENSP00000369853;ENSP00000379709;ENSP00000379712;ENSP00000386918;ENSP00000397947;ENSP00000402346;ENSP00000434442;ENSP00000440005;ENSP00000449270;ENSP00000480707
R1	string	0.3	network_modules	1	TRUE	1.4609674337880567e-26	133	27	18	0.6666666666666666	0.13533834586466165	REAC:R-HSA-8856688	REAC	Golgi-to-ER retrograde transport	10916	1084		0.08	0.11538461538461539	133	10783	18	9	115	10774	10916	0.2970666982815341	3	GO:0016192;GO:0051641	ENSP00000000233;ENSP00000234453;ENSP00000242285;ENSP00000244869;ENSP00000249923;ENSP00000253083;ENSP00000256682;ENSP00000258739;ENSP00000262812;ENSP00000263245;ENSP00000264028;ENSP00000270176;ENSP00000309415;ENSP00000314615;ENSP00000320081;ENSP00000325002;ENSP00000329419;ENSP00000329471;ENSP00000336747;ENSP00000336923;ENSP00000354398;ENSP00000357048;ENSP00000359000;ENSP00000369853;ENSP00000379709;ENSP00000379712;ENSP00000386918;ENSP00000397947;ENSP00000402346;ENSP00000434442;ENSP00000440005;ENSP00000449270;ENSP00000480707
R1	string	0.3	network_modules	1	TRUE	2.697747406728046e-25	155	27	18	0.6666666666666666	0.11612903225806452	REAC:R-HSA-199977	REAC	ER to Golgi Anterograde Transport	10916	823		0.12	0.15384615384615385	155	10761	18	9	137	10752	10916	0.2746110531449779	4	GO:0016192;GO:0051641	ENSP00000000233;ENSP00000234453;ENSP00000242285;ENSP00000244869;ENSP00000249923;ENSP00000253083;ENSP00000256682;ENSP00000258739;ENSP00000262812;ENSP00000263245;ENSP00000264028;ENSP00000270176;ENSP00000309415;ENSP00000314615;ENSP00000320081;ENSP00000325002;ENSP00000329419;ENSP00000329471;ENSP00000336747;ENSP00000336923;ENSP00000354398;ENSP00000357048;ENSP00000359000;ENSP00000369853;ENSP00000379709;ENSP00000379712;ENSP00000386918;ENSP00000397947;ENSP00000402346;ENSP00000434442;ENSP00000440005;ENSP00000449270;ENSP00000480707
R1	string	0.3	network_modules	1	TRUE	8.363439324053176e-24	186	27	18	0.6666666666666666	0.0967741935483871	REAC:R-HSA-948021	REAC	Transport to the Golgi and subsequent modification	10916	2604		0.16	0.19230769230769232	186	10730	18	9	168	10721	10916	0.24995363115655916	5	GO:0016192;GO:0051641	ENSP00000000233;ENSP00000234453;ENSP00000242285;ENSP00000244869;ENSP00000249923;ENSP00000253083;ENSP00000256682;ENSP00000258739;ENSP00000262812;ENSP00000263245;ENSP00000264028;ENSP00000270176;ENSP00000309415;ENSP00000314615;ENSP00000320081;ENSP00000325002;ENSP00000329419;ENSP00000329471;ENSP00000336747;ENSP00000336923;ENSP00000354398;ENSP00000357048;ENSP00000359000;ENSP00000369853;ENSP00000379709;ENSP00000379712;ENSP00000386918;ENSP00000397947;ENSP00000402346;ENSP00000434442;ENSP00000440005;ENSP00000449270;ENSP00000480707
R1	string	0.3	network_modules	1	TRUE	3.9091389145871427e-23	202	27	18	0.6666666666666666	0.0891089108910891	REAC:R-HSA-6811442	REAC	Intra-Golgi and retrograde Golgi-to-ER traffic	10916	1262		0.2	0.23076923076923078	202	10714	18	9	184	10705	10916	0.23948773831934186	6	GO:0016192;GO:0051641	ENSP00000000233;ENSP00000234453;ENSP00000242285;ENSP00000244869;ENSP00000249923;ENSP00000253083;ENSP00000256682;ENSP00000258739;ENSP00000262812;ENSP00000263245;ENSP00000264028;ENSP00000270176;ENSP00000309415;ENSP00000314615;ENSP00000320081;ENSP00000325002;ENSP00000329419;ENSP00000329471;ENSP00000336747;ENSP00000336923;ENSP00000354398;ENSP00000357048;ENSP00000359000;ENSP00000369853;ENSP00000379709;ENSP00000379712;ENSP00000386918;ENSP00000397947;ENSP00000402346;ENSP00000434442;ENSP00000440005;ENSP00000449270;ENSP00000480707
R1	string	0.3	network_modules	1	TRUE	8.087917180219775e-23	52	29	13	0.4482758620689655	0.25	GO:0006890	GO:BP	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	16175	2545		0.24	0.2692307692307692	52	16123	13	16	39	16107	16175	0.33320060291567494	7	GO:0016192;GO:0051641	ENSP00000000233;ENSP00000234453;ENSP00000242285;ENSP00000244869;ENSP00000249923;ENSP00000253083;ENSP00000256682;ENSP00000258739;ENSP00000262812;ENSP00000263245;ENSP00000264028;ENSP00000270176;ENSP00000309415;ENSP00000314615;ENSP00000320081;ENSP00000325002;ENSP00000329419;ENSP00000329471;ENSP00000336747;ENSP00000336923;ENSP00000354398;ENSP00000357048;ENSP00000359000;ENSP00000369853;ENSP00000379709;ENSP00000379712;ENSP00000386918;ENSP00000397947;ENSP00000402346;ENSP00000434442;ENSP00000440005;ENSP00000449270;ENSP00000480707
R1	string	0.3	network_modules	2	TRUE	5.283144552011239e-8	131	9	6	0.6666666666666666	0.04580152671755725	KEGG:04142	KEGG	Lysosome	8484	279		0	0.0625	131	8353	6	3	125	8350	8484	0.17211819979995666	1	GO:0016192;GO:0051641	ENSP00000000412;ENSP00000054666;ENSP00000221957;ENSP00000236671;ENSP00000260197;ENSP00000311962;ENSP00000318585;ENSP00000341344;ENSP00000349437;ENSP00000359540;ENSP00000362639;ENSP00000438040;ENSP00000438085;ENSP00000445408
R1	string	0.3	network_modules	2	TRUE	1.774485393349495e-7	100	14	6	0.42857142857142855	0.06	GO:0006892	GO:BP	post-Golgi vesicle-mediated transport	16175	2547		0.06666666666666667	0.125	100	16075	6	8	94	16067	16175	0.15860298275811952	2	GO:0016192;GO:0051641	ENSP00000000412;ENSP00000054666;ENSP00000221957;ENSP00000236671;ENSP00000260197;ENSP00000311962;ENSP00000318585;ENSP00000341344;ENSP00000349437;ENSP00000359540;ENSP00000362639;ENSP00000438040;ENSP00000438085;ENSP00000445408
R1	string	0.3	network_modules	2	TRUE	5.933557675286364e-7	49	13	5	0.38461538461538464	0.10204081632653061	REAC:R-HSA-6811440	REAC	Retrograde transport at the Trans-Golgi-Network	10916	2096		0.13333333333333333	0.1875	49	10867	5	8	44	10859	10916	0.19635299952189605	3	GO:0016192;GO:0051641	ENSP00000000412;ENSP00000054666;ENSP00000221957;ENSP00000236671;ENSP00000260197;ENSP00000311962;ENSP00000318585;ENSP00000341344;ENSP00000349437;ENSP00000359540;ENSP00000362639;ENSP00000438040;ENSP00000438085;ENSP00000445408
