network_method	network_db	network_cutoff	experiment_info	module	source	term_id	p_value	row_rank_p	mcc	row_rank_mcc	term_name	top_go	top_kegg	top_reac
R1	string	0.4	network_modules	1	GO:BP	GO:0042147	2.5521021973327365e-20	2	0.2661521566963756	1	retrograde transport, endosome to Golgi	GO:0042147	-	-
R1	string	0.4	network_modules	1	KEGG	KEGG:04144	3.856579801173316e-15	1	0.1896885840215691	1	Endocytosis	-	KEGG:04144	-
R1	string	0.4	network_modules	2	REAC	REAC:R-HSA-3371497	4.34806678616079e-6	1	0.1633464973874031	1	HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	-	-	REAC:R-HSA-3371497
R1	string	0.4	network_modules	2	GO:BP	GO:0006406	1.4291273659175408e-5	1	0.1400741737354686	2	mRNA export from nucleus	GO:0006406	-	-
R1	string	0.4	network_modules	3	GO:BP	GO:0001936	9.350432331184002e-18	1	0.21866400572443917	3	regulation of endothelial cell proliferation	GO:0001936	-	-
R1	string	0.4	network_modules	3	REAC	REAC:R-HSA-195399	4.725735566389884e-16	1	0.4847966346102942	1	VEGF binds to VEGFR leading to receptor dimerization	-	-	REAC:R-HSA-195399
R1	string	0.4	network_modules	3	KEGG	KEGG:04014	1.0380731722145013e-10	1	0.15058850429908696	1	Ras signaling pathway	-	KEGG:04014	-
R1	string	0.4	network_modules	4	GO:BP	GO:0051453	1.1449606203588319e-6	1	0.1408701269538936	3	regulation of intracellular pH	GO:0051453	-	-
R1	string	0.4	network_modules	4	REAC	REAC:R-HSA-8851680	2.281012672698378e-4	1	0.20901121979957574	1	Butyrophilin (BTN) family interactions	-	-	REAC:R-HSA-8851680
R1	string	0.4	network_modules	5	GO:BP	GO:1905907	2.9530538181761186e-12	1	0.37736801556571625	1	negative regulation of amyloid fibril formation	GO:1905907	-	-
R1	string	0.4	network_modules	5	REAC	REAC:R-HSA-389957	4.049906199869262e-10	1	0.28210295540230684	1	Prefoldin mediated transfer of substrate  to CCT/TriC	-	-	REAC:R-HSA-389957
R1	string	0.4	network_modules	6	GO:BP	GO:0007605	3.0206359871814067e-23	1	0.31231002275259273	2	sensory perception of sound	GO:0007605	-	-
R1	string	0.4	network_modules	6	REAC	REAC:R-HSA-9662361	8.580231273879612e-15	1	0.33008246148493503	1	Sensory processing of sound by outer hair cells of the cochlea	-	-	REAC:R-HSA-9662361
R1	string	0.4	network_modules	7	GO:BP	GO:0090522	3.514228144026022e-23	1	0.5770287549226537	1	vesicle tethering involved in exocytosis	GO:0090522	-	-
R1	string	0.4	network_modules	7	REAC	REAC:R-HSA-5620916	3.274834001785644e-16	1	0.42240924234056426	1	VxPx cargo-targeting to cilium	-	-	REAC:R-HSA-5620916
R1	string	0.4	network_modules	8	REAC	REAC:R-HSA-5663213	4.830743931567598e-26	1	0.46716522349824097	1	RHO GTPases Activate WASPs and WAVEs	-	-	REAC:R-HSA-5663213
R1	string	0.4	network_modules	8	KEGG	KEGG:05135	2.2349576563936163e-24	1	0.3034355797796128	1	Yersinia infection	-	KEGG:05135	-
R1	string	0.4	network_modules	8	GO:BP	GO:0034314	1.3051835887799093e-17	1	0.3136474970247592	1	Arp2/3 complex-mediated actin nucleation	GO:0034314	-	-
R1	string	0.4	network_modules	9	KEGG	KEGG:05412	2.3399644858344773e-33	1	0.42055075010292814	1	Arrhythmogenic right ventricular cardiomyopathy	-	KEGG:05412	-
R1	string	0.4	network_modules	9	REAC	REAC:R-HSA-112308	2.123662132115727e-18	1	0.5257396771104225	1	Presynaptic depolarization and calcium channel opening	-	-	REAC:R-HSA-112308
R1	string	0.4	network_modules	9	GO:BP	GO:0032412	3.393266612556071e-17	3	0.18945148313456794	4	regulation of monoatomic ion transmembrane transporter activity	GO:0032412	-	-
R1	string	0.4	network_modules	10	GO:BP	GO:0035567	9.560907302405808e-26	1	0.3912287102316967	2	non-canonical Wnt signaling pathway	GO:0035567	-	-
R1	string	0.4	network_modules	10	REAC	REAC:R-HSA-4086400	8.563118125341527e-21	2	0.3212022710689742	1	PCP/CE pathway	-	-	REAC:R-HSA-4086400
R1	string	0.4	network_modules	10	KEGG	KEGG:05217	1.2781235414038177e-19	2	0.35584384014261145	1	Basal cell carcinoma	-	KEGG:05217	-
R1	string	0.4	network_modules	11	GO:BP	GO:1904507	1.3951741129512179e-30	1	0.6456684119240502	1	positive regulation of telomere maintenance in response to DNA damage	GO:1904507	-	-
R1	string	0.4	network_modules	11	KEGG	KEGG:03082	3.353900385914372e-24	1	0.3332866698367564	1	ATP-dependent chromatin remodeling	-	KEGG:03082	-
R1	string	0.4	network_modules	11	REAC	REAC:R-HSA-5696394	2.236055037909722e-20	1	0.43247235516947014	1	DNA Damage Recognition in GG-NER	-	-	REAC:R-HSA-5696394
R1	string	0.4	network_modules	12	KEGG	KEGG:04662	2.3610709149613355e-13	1	0.2279939234805859	1	B cell receptor signaling pathway	-	KEGG:04662	-
R1	string	0.4	network_modules	12	GO:BP	GO:0050853	2.17372505908537e-11	5	0.209741715205299	1	B cell receptor signaling pathway	GO:0050853	-	-
R1	string	0.4	network_modules	12	REAC	REAC:R-HSA-983695	1.2843801921860457e-9	1	0.17885697860307048	1	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	-	-	REAC:R-HSA-983695
R1	string	0.4	network_modules	13	GO:BP	GO:0042659	2.8693685160625936e-23	1	0.4452865113555049	1	regulation of cell fate specification	GO:0042659	-	-
R1	string	0.4	network_modules	13	KEGG	KEGG:03082	4.585602728712812e-19	1	0.27355670808621435	1	ATP-dependent chromatin remodeling	-	KEGG:03082	-
R1	string	0.4	network_modules	13	REAC	REAC:R-HSA-73762	1.9734660333519366e-18	2	0.325502241540207	1	RNA Polymerase I Transcription Initiation	-	-	REAC:R-HSA-73762
R1	string	0.4	network_modules	14	GO:BP	GO:0099022	1.5699728978552359e-32	1	0.561599528051957	1	vesicle tethering	GO:0099022	-	-
R1	string	0.4	network_modules	14	REAC	REAC:R-HSA-8876198	5.036839706337163e-28	1	0.38613164780833126	1	RAB GEFs exchange GTP for GDP on RABs	-	-	REAC:R-HSA-8876198
R1	string	0.4	network_modules	15	REAC	REAC:R-HSA-216083	5.6952465907820914e-24	1	0.3247513683870875	1	Integrin cell surface interactions	-	-	REAC:R-HSA-216083
R1	string	0.4	network_modules	15	GO:BP	GO:0007229	5.8890639545786205e-19	1	0.2421361046543601	1	integrin-mediated signaling pathway	GO:0007229	-	-
R1	string	0.4	network_modules	15	KEGG	KEGG:04512	1.4447876356051622e-17	1	0.2742570676102884	1	ECM-receptor interaction	-	KEGG:04512	-
R1	string	0.4	network_modules	16	KEGG	KEGG:04710	1.4611187468321428e-23	1	0.5030359427459189	1	Circadian rhythm	-	KEGG:04710	-
R1	string	0.4	network_modules	16	REAC	REAC:R-HSA-400253	9.004178460966066e-20	1	0.31775998949124595	1	Circadian Clock	-	-	REAC:R-HSA-400253
R1	string	0.4	network_modules	16	GO:BP	GO:2000323	3.314398632017537e-11	7	0.4252833020674166	1	negative regulation of glucocorticoid receptor signaling pathway	GO:2000323	-	-
R1	string	0.4	network_modules	17	GO:BP	GO:0009408	2.296692522351759e-13	3	0.22592677614771206	1	response to heat	GO:0009408	-	-
R1	string	0.4	network_modules	18	KEGG	KEGG:05332	1.963641027778615e-35	1	0.5690160134465231	1	Graft-versus-host disease	-	KEGG:05332	-
R1	string	0.4	network_modules	18	GO:BP	GO:0002399	5.290727427618603e-31	1	0.6401459317866073	1	MHC class II protein complex assembly	GO:0002399	-	-
R1	string	0.4	network_modules	18	REAC	REAC:R-HSA-2132295	4.0313608886922784e-17	1	0.23092193111727127	1	MHC class II antigen presentation	-	-	REAC:R-HSA-2132295
R1	string	0.4	network_modules	19	REAC	REAC:R-HSA-8851805	6.060137351867815e-11	1	0.4413905566749614	1	MET activates RAS signaling	-	-	REAC:R-HSA-8851805
R1	string	0.4	network_modules	19	KEGG	KEGG:01521	9.182518555285729e-7	2	0.17550107318930774	1	EGFR tyrosine kinase inhibitor resistance	-	KEGG:01521	-
R1	string	0.4	network_modules	20	GO:BP	GO:0050852	3.350476595735057e-13	1	0.1763524667474038	1	T cell receptor signaling pathway	GO:0050852	-	-
R1	string	0.4	network_modules	20	KEGG	KEGG:05340	7.738179821190942e-11	1	0.2549753943795924	1	Primary immunodeficiency	-	KEGG:05340	-
R1	string	0.4	network_modules	20	REAC	REAC:R-HSA-202430	2.0245630236763853e-9	1	0.25193233743048393	1	Translocation of ZAP-70 to Immunological synapse	-	-	REAC:R-HSA-202430
R1	string	0.4	network_modules	21	REAC	REAC:R-HSA-390450	4.863000612910482e-23	1	0.6525327183307229	1	Folding of actin by CCT/TriC	-	-	REAC:R-HSA-390450
R1	string	0.4	network_modules	21	GO:BP	GO:1904851	4.449915387113011e-19	1	0.5159823574890413	1	positive regulation of establishment of protein localization to telomere	GO:1904851	-	-
R1	string	0.4	network_modules	22	GO:BP	GO:0006303	1.3329435577733677e-29	2	0.3825007353532768	1	double-strand break repair via nonhomologous end joining	GO:0006303	-	-
R1	string	0.4	network_modules	22	KEGG	KEGG:03450	2.3068194226189507e-23	1	0.590537239622457	1	Non-homologous end-joining	-	KEGG:03450	-
R1	string	0.4	network_modules	22	REAC	REAC:R-HSA-5693571	7.151766615014318e-13	2	0.235664722515786	1	Nonhomologous End-Joining (NHEJ)	-	-	REAC:R-HSA-5693571
R1	string	0.4	network_modules	23	GO:BP	GO:0046160	1.0921196658452368e-5	3	0.8164713379547893	1	heme a metabolic process	GO:0046160	-	-
R1	string	0.4	network_modules	24	REAC	REAC:R-HSA-500792	8.72206406771019e-6	1	0.10275844318031206	1	GPCR ligand binding	-	-	REAC:R-HSA-500792
R1	string	0.4	network_modules	24	KEGG	KEGG:04972	3.2550981699863285e-5	1	0.14749651130293354	1	Pancreatic secretion	-	KEGG:04972	-
R1	string	0.4	network_modules	25	GO:BP	GO:0015804	2.6471727005668714e-19	1	0.4038437284793111	1	neutral amino acid transport	GO:0015804	-	-
R1	string	0.4	network_modules	25	REAC	REAC:R-HSA-210991	1.0542513019664101e-17	2	0.4816933839979568	1	Basigin interactions	-	-	REAC:R-HSA-210991
R1	string	0.4	network_modules	26	GO:BP	GO:1902476	1.408840962046506e-22	1	0.32690144123930026	2	chloride transmembrane transport	GO:1902476	-	-
R1	string	0.4	network_modules	26	REAC	REAC:R-HSA-977443	3.828020366135003e-17	1	0.2875057372943425	1	GABA receptor activation	-	-	REAC:R-HSA-977443
R1	string	0.4	network_modules	26	KEGG	KEGG:05033	3.2666268194951055e-16	2	0.3137022580876055	1	Nicotine addiction	-	KEGG:05033	-
R1	string	0.4	network_modules	27	GO:BP	GO:0006506	1.03638858056712e-19	1	0.4550885930600549	1	GPI anchor biosynthetic process	GO:0006506	-	-
R1	string	0.4	network_modules	27	KEGG	KEGG:00563	4.846272494733908e-14	1	0.3950999464834769	1	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	-	KEGG:00563	-
R1	string	0.4	network_modules	28	REAC	REAC:R-HSA-9017802	4.9137640043802166e-14	1	0.5140160718826983	1	Noncanonical activation of NOTCH3	-	-	REAC:R-HSA-9017802
R1	string	0.4	network_modules	28	GO:BP	GO:0007220	1.720259360243073e-13	1	0.44191076651995354	1	Notch receptor processing	GO:0007220	-	-
R1	string	0.4	network_modules	29	GO:BP	GO:0016236	1.264314993056919e-22	1	0.2031751675344213	3	macroautophagy	GO:0016236	-	-
R1	string	0.4	network_modules	29	REAC	REAC:R-HSA-1632852	1.333767703634765e-13	1	0.21319323067830911	1	Macroautophagy	-	-	REAC:R-HSA-1632852
R1	string	0.4	network_modules	29	KEGG	KEGG:04137	4.410153173961225e-13	2	0.23414815010153284	1	Mitophagy - animal	-	KEGG:04137	-
R1	string	0.4	network_modules	30	REAC	REAC:R-HSA-193697	3.490490707194819e-15	1	0.4511315232186029	1	p75NTR regulates axonogenesis	-	-	REAC:R-HSA-193697
R1	string	0.4	network_modules	30	KEGG	KEGG:04722	9.96887505462188e-15	1	0.22858216559229685	1	Neurotrophin signaling pathway	-	KEGG:04722	-
R1	string	0.4	network_modules	30	GO:BP	GO:1990090	5.35632226359792e-7	1	0.19670041328301835	2	cellular response to nerve growth factor stimulus	GO:1990090	-	-
R1	string	0.4	network_modules	31	REAC	REAC:R-HSA-1236978	2.723746091146277e-95	1	0.7937318300033164	1	Cross-presentation of soluble exogenous antigens (endosomes)	-	-	REAC:R-HSA-1236978
R1	string	0.4	network_modules	31	KEGG	KEGG:03050	1.5152403777424283e-91	1	0.8140407358488607	1	Proteasome	-	KEGG:03050	-
R1	string	0.4	network_modules	32	GO:BP	GO:0007173	1.9556155541293167e-12	1	0.22385161075656967	3	epidermal growth factor receptor signaling pathway	GO:0007173	-	-
R1	string	0.4	network_modules	32	REAC	REAC:R-HSA-5638303	3.068332471521798e-12	2	0.5586582253870912	1	Inhibition of Signaling by Overexpressed EGFR	-	-	REAC:R-HSA-5638303
R1	string	0.4	network_modules	33	KEGG	KEGG:04657	2.4245669963446015e-16	1	0.2672487731530036	1	IL-17 signaling pathway	-	KEGG:04657	-
R1	string	0.4	network_modules	33	REAC	REAC:R-HSA-448424	2.7364637738047492e-11	1	0.22141001828364057	1	Interleukin-17 signaling	-	-	REAC:R-HSA-448424
R1	string	0.4	network_modules	33	GO:BP	GO:0038173	4.6228615679817145e-8	1	0.35595147508138325	1	interleukin-17A-mediated signaling pathway	GO:0038173	-	-
R1	string	0.4	network_modules	34	REAC	REAC:R-HSA-5368286	3.9873749716433786e-204	2	0.9712138207642045	1	Mitochondrial translation initiation	-	-	REAC:R-HSA-5368286
R1	string	0.4	network_modules	35	KEGG	KEGG:04130	3.115988159666709e-32	1	0.6177993037790078	1	SNARE interactions in vesicular transport	-	KEGG:04130	-
R1	string	0.4	network_modules	35	GO:BP	GO:0006906	1.9851366436943203e-31	2	0.3463086540696267	5	vesicle fusion	GO:0006906	-	-
R1	string	0.4	network_modules	36	REAC	REAC:R-HSA-375276	0.0010208448550303208	1	0.122938778034972	1	Peptide ligand-binding receptors	-	-	REAC:R-HSA-375276
R1	string	0.4	network_modules	37	REAC	REAC:R-HSA-5685938	3.104723947329469e-31	3	0.47865705613816567	1	HDR through Single Strand Annealing (SSA)	-	-	REAC:R-HSA-5685938
R1	string	0.4	network_modules	37	GO:BP	GO:0006260	2.4428176755609203e-23	1	0.20745754101212735	6	DNA replication	GO:0006260	-	-
R1	string	0.4	network_modules	38	REAC	REAC:R-HSA-445095	5.834645185080642e-13	2	0.2855506667232282	2	Interaction between L1 and Ankyrins	-	-	REAC:R-HSA-445095
R1	string	0.4	network_modules	38	GO:BP	GO:0001508	7.76236100006484e-13	2	0.18620867408881944	4	action potential	GO:0001508	-	-
R1	string	0.4	network_modules	40	REAC	REAC:R-HSA-434316	8.533004302540402e-21	2	0.6321075509718259	1	Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion	-	-	REAC:R-HSA-434316
R1	string	0.4	network_modules	40	KEGG	KEGG:04924	5.4786224028819344e-11	1	0.21781006813049325	1	Renin secretion	-	KEGG:04924	-
R1	string	0.4	network_modules	40	GO:BP	GO:0014826	3.0870981423997082e-9	3	0.43620631540383864	1	vein smooth muscle contraction	GO:0014826	-	-
R1	string	0.4	network_modules	41	REAC	REAC:R-HSA-383280	5.170557132538198e-41	1	0.5234189290356324	1	Nuclear Receptor transcription pathway	-	-	REAC:R-HSA-383280
R1	string	0.4	network_modules	41	GO:BP	GO:0141193	2.551091069232169e-21	2	0.21172907293370577	4	nuclear receptor-mediated signaling pathway	GO:0141193	-	-
R1	string	0.4	network_modules	41	KEGG	KEGG:03320	1.662753698701482e-8	1	0.15852511116647183	1	PPAR signaling pathway	-	KEGG:03320	-
R1	string	0.4	network_modules	42	REAC	REAC:R-HSA-8937144	8.441618566825986e-6	1	0.33916923495392937	1	Aryl hydrocarbon receptor signalling	-	-	REAC:R-HSA-8937144
R1	string	0.4	network_modules	43	REAC	REAC:R-HSA-1170546	5.289944355365527e-7	1	0.28479702282674213	1	Prolactin receptor signaling	-	-	REAC:R-HSA-1170546
