network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes	row_rank_p	row_rank_mcc	top_go	top_kegg	top_reac
R1	string	0.6	network_modules	1	TRUE	1.9845611899901282e-14	102	17	10	0.5882352941176471	0.09803921568627451	REAC:R-HSA-6807878	REAC	COPI-mediated anterograde transport	10916	279		0	0.05263157894736842	102	10814	10	7	92	10807	10916	0.2376284031726235	1	GO:0016192;GO:0051641	ENSP00000000412;ENSP00000221957;ENSP00000234453;ENSP00000258739;ENSP00000313869;ENSP00000314615;ENSP00000329471;ENSP00000349437;ENSP00000354398;ENSP00000355777;ENSP00000359000;ENSP00000377275;ENSP00000386918;ENSP00000387286;ENSP00000394751;ENSP00000408236;ENSP00000416097;ENSP00000438085;ENSP00000440005;ENSP00000444850	1	1	-	-	REAC:R-HSA-6807878
R1	string	0.6	network_modules	2	TRUE	2.6856582884512974e-10	182	19	9	0.47368421052631576	0.04945054945054945	GO:0006457	GO:BP	protein folding	16175	2203		0.08333333333333333	0.15384615384615385	182	15993	9	10	173	15983	16175	0.15034938151084076	2	GO:0006457	ENSP00000001008;ENSP00000012443;ENSP00000222005;ENSP00000231509;ENSP00000242057;ENSP00000242261;ENSP00000246957;ENSP00000262965;ENSP00000279146;ENSP00000295757;ENSP00000334061;ENSP00000351646;ENSP00000360493;ENSP00000360609;ENSP00000364805;ENSP00000367208;ENSP00000378199;ENSP00000401112;ENSP00000444810;ENSP00000482075	1	1	GO:0006457	-	-
R1	string	0.6	network_modules	2	TRUE	3.1245358792313065e-8	6	19	4	0.21052631578947367	0.6666666666666666	REAC:R-HSA-8937144	REAC	Aryl hydrocarbon receptor signalling	10916	168		0.25	0.3076923076923077	6	10910	4	15	2	10895	10916	0.37408464568341515	4	GO:0006457	ENSP00000001008;ENSP00000012443;ENSP00000222005;ENSP00000231509;ENSP00000242057;ENSP00000242261;ENSP00000246957;ENSP00000262965;ENSP00000279146;ENSP00000295757;ENSP00000334061;ENSP00000351646;ENSP00000360493;ENSP00000360609;ENSP00000364805;ENSP00000367208;ENSP00000378199;ENSP00000401112;ENSP00000444810;ENSP00000482075	3	1	-	-	REAC:R-HSA-8937144
R1	string	0.6	network_modules	3	TRUE	1.2024447244638162e-18	8	13	7	0.5384615384615384	0.875	REAC:R-HSA-194313	REAC	VEGF ligand-receptor interactions	10916	2633		0.011363636363636364	0.033707865168539325	8	10908	7	6	1	10902	10916	0.6861322467264495	2.5	GO:0040011;GO:0008283;GO:0050896;GO:0002376;GO:0050789	ENSP00000002829;ENSP00000261937;ENSP00000263923;ENSP00000264554;ENSP00000268182;ENSP00000282397;ENSP00000297904;ENSP00000311127;ENSP00000353582;ENSP00000358696;ENSP00000366936;ENSP00000376123;ENSP00000387246;ENSP00000451040;ENSP00000478570;ENSP00000480043	2	1	-	-	REAC:R-HSA-194313
R1	string	0.6	network_modules	3	TRUE	1.7686096530250587e-11	51	15	7	0.4666666666666667	0.13725490196078433	GO:0048010	GO:BP	vascular endothelial growth factor receptor signaling pathway	16175	12466		0.03409090909090909	0.0449438202247191	51	16124	7	8	44	16116	16175	0.2518896300951208	4	GO:0040011;GO:0008283;GO:0050896;GO:0002376;GO:0050789	ENSP00000002829;ENSP00000261937;ENSP00000263923;ENSP00000264554;ENSP00000268182;ENSP00000282397;ENSP00000297904;ENSP00000311127;ENSP00000353582;ENSP00000358696;ENSP00000366936;ENSP00000376123;ENSP00000387246;ENSP00000451040;ENSP00000478570;ENSP00000480043	1	7	GO:0048010	-	-
R1	string	0.6	network_modules	3	TRUE	5.68975785873882e-9	202	13	8	0.6153846153846154	0.039603960396039604	KEGG:04510	KEGG	Focal adhesion	8484	313		0.14772727272727273	0.15730337078651685	202	8282	8	5	194	8277	8484	0.15200979626875954	14	GO:0040011;GO:0008283;GO:0050896;GO:0002376;GO:0050789	ENSP00000002829;ENSP00000261937;ENSP00000263923;ENSP00000264554;ENSP00000268182;ENSP00000282397;ENSP00000297904;ENSP00000311127;ENSP00000353582;ENSP00000358696;ENSP00000366936;ENSP00000376123;ENSP00000387246;ENSP00000451040;ENSP00000478570;ENSP00000480043	1	1	-	KEGG:04510	-
R1	string	0.6	network_modules	4	TRUE	1.8277462806172436e-33	202	25	22	0.88	0.10891089108910891	REAC:R-HSA-72163	REAC	mRNA Splicing - Major Pathway	10916	2707		0	0.06666666666666667	202	10714	22	3	180	10711	10916	0.3062675148588487	1	GO:0000375;GO:0016070	ENSP00000003084;ENSP00000156471;ENSP00000199814;ENSP00000218224;ENSP00000227524;ENSP00000236273;ENSP00000261167;ENSP00000261531;ENSP00000262415;ENSP00000263694;ENSP00000282251;ENSP00000301740;ENSP00000351137;ENSP00000354518;ENSP00000355050;ENSP00000358554;ENSP00000360532;ENSP00000361918;ENSP00000362803;ENSP00000364235;ENSP00000378920;ENSP00000386023;ENSP00000392094;ENSP00000424417;ENSP00000475615	1	1	-	-	REAC:R-HSA-72163
R1	string	0.6	network_modules	4	TRUE	7.660005935186441e-29	287	24	20	0.8333333333333334	0.06968641114982578	GO:0000398	GO:BP	mRNA splicing, via spliceosome	16175	121		0.21428571428571427	0.3333333333333333	287	15888	20	4	267	15884	16175	0.23814774731333663	4.5	GO:0000375;GO:0016070	ENSP00000003084;ENSP00000156471;ENSP00000199814;ENSP00000218224;ENSP00000227524;ENSP00000236273;ENSP00000261167;ENSP00000261531;ENSP00000262415;ENSP00000263694;ENSP00000282251;ENSP00000301740;ENSP00000351137;ENSP00000354518;ENSP00000355050;ENSP00000358554;ENSP00000360532;ENSP00000361918;ENSP00000362803;ENSP00000364235;ENSP00000378920;ENSP00000386023;ENSP00000392094;ENSP00000424417;ENSP00000475615	1	1	GO:0000398	-	-
R1	string	0.6	network_modules	5	TRUE	5.566454388172849e-14	298	10	10	1	0.03355704697986577	REAC:R-HSA-5688426	REAC	Deubiquitination	10916	736		0	0.07142857142857142	298	10618	10	0	288	10618	10916	0.18075090556273066	1	GO:0036211	ENSP00000003302;ENSP00000203664;ENSP00000229268;ENSP00000260187;ENSP00000264834;ENSP00000352676;ENSP00000354669;ENSP00000356981;ENSP00000357565;ENSP00000360994;ENSP00000369996;ENSP00000429084;ENSP00000441543;ENSP00000462729	1	1	-	-	REAC:R-HSA-5688426
R1	string	0.6	network_modules	5	TRUE	2.717575274443321e-10	90	13	7	0.5384615384615384	0.07777777777777778	GO:0016579	GO:BP	protein deubiquitination	16175	5255		0.07692307692307693	0.14285714285714285	90	16085	7	6	83	16079	16175	0.2031796581213433	2	GO:0036211	ENSP00000003302;ENSP00000203664;ENSP00000229268;ENSP00000260187;ENSP00000264834;ENSP00000352676;ENSP00000354669;ENSP00000356981;ENSP00000357565;ENSP00000360994;ENSP00000369996;ENSP00000429084;ENSP00000441543;ENSP00000462729	1	1	GO:0016579	-	-
