network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes	row_rank_p	row_rank_mcc	top_go	top_kegg	top_reac
K1	string	0.3	network_modules	3	TRUE	3.0791397932344896e-49	36	20	20	1	0.5555555555555556	KEGG:00512	KEGG	Mucin type O-glycan biosynthesis	8484	65		0	0.0625	36	8448	20	0	16	8448	8484	0.7446511639805872	1	GO:0036211	ENSP00000156626;ENSP00000329654;ENSP00000376570;ENSP00000376465;ENSP00000436604;ENSP00000423313;ENSP00000479207;ENSP00000252318;ENSP00000259056;ENSP00000336729;ENSP00000265000;ENSP00000227756;ENSP00000380488;ENSP00000344260;ENSP00000364150;ENSP00000297107;ENSP00000416787;ENSP00000484640;ENSP00000415454;ENSP00000304364;ENSP00000389176	1	1	-	KEGG:00512	-
K1	string	0.3	network_modules	3	TRUE	6.736851323996844e-41	62	20	19	0.95	0.3064516129032258	REAC:R-HSA-913709	REAC	O-linked glycosylation of mucins	10916	1632		0.06666666666666667	0.125	62	10854	19	1	43	10853	10916	0.5383609283243858	2	GO:0036211	ENSP00000156626;ENSP00000329654;ENSP00000376570;ENSP00000376465;ENSP00000436604;ENSP00000423313;ENSP00000479207;ENSP00000252318;ENSP00000259056;ENSP00000336729;ENSP00000265000;ENSP00000227756;ENSP00000380488;ENSP00000344260;ENSP00000364150;ENSP00000297107;ENSP00000416787;ENSP00000484640;ENSP00000415454;ENSP00000304364;ENSP00000389176	1	1	-	-	REAC:R-HSA-913709
K1	string	0.3	network_modules	3	TRUE	2.8069072220022032e-36	94	20	18	0.9	0.19148936170212766	GO:0006493	GO:BP	protein O-linked glycosylation	16175	2225		0.13333333333333333	0.1875	94	16081	18	2	76	16079	16175	0.4139181438132341	3	GO:0036211	ENSP00000156626;ENSP00000329654;ENSP00000376570;ENSP00000376465;ENSP00000436604;ENSP00000423313;ENSP00000479207;ENSP00000252318;ENSP00000259056;ENSP00000336729;ENSP00000265000;ENSP00000227756;ENSP00000380488;ENSP00000344260;ENSP00000364150;ENSP00000297107;ENSP00000416787;ENSP00000484640;ENSP00000415454;ENSP00000304364;ENSP00000389176	1	1	GO:0006493	-	-
K1	string	0.3	network_modules	4	TRUE	1.5245125319964765e-81	85	44	38	0.8636363636363636	0.4470588235294118	GO:0006821	GO:BP	chloride transport	16175	2498		0	0.02857142857142857	85	16090	38	6	47	16084	16175	0.6200586428702523	1	GO:0006811	ENSP00000265593;ENSP00000419378;ENSP00000386029;ENSP00000479113;ENSP00000347454;ENSP00000264428;ENSP00000358460;ENSP00000339867;ENSP00000412673;ENSP00000335592;ENSP00000411593;ENSP00000258796;ENSP00000438863;ENSP00000286808;ENSP00000349456;ENSP00000399709;ENSP00000409544;ENSP00000364935;ENSP00000410732;ENSP00000448310;ENSP00000421828;ENSP00000359353;ENSP00000359337;ENSP00000409126;ENSP00000295452;ENSP00000430100;ENSP00000264318;ENSP00000308725;ENSP00000469332;ENSP00000365714;ENSP00000295454;ENSP00000481321;ENSP00000274547;ENSP00000218075;ENSP00000290332;ENSP00000367848;ENSP00000332771;ENSP00000269346;ENSP00000332413;ENSP00000185206;ENSP00000348453;ENSP00000363500;ENSP00000393097;ENSP00000274093;ENSP00000378920;ENSP00000364831;ENSP00000361281;ENSP00000353129;ENSP00000347721;ENSP00000361700	1	1	GO:0006821	-	-
K1	string	0.3	network_modules	4	TRUE	1.760162318931726e-32	40	29	17	0.5862068965517241	0.425	KEGG:05033	KEGG	Nicotine addiction	8484	421		0.17647058823529413	0.2	40	8444	17	12	23	8432	8484	0.49714444738604363	7	GO:0006811	ENSP00000265593;ENSP00000419378;ENSP00000386029;ENSP00000479113;ENSP00000347454;ENSP00000264428;ENSP00000358460;ENSP00000339867;ENSP00000412673;ENSP00000335592;ENSP00000411593;ENSP00000258796;ENSP00000438863;ENSP00000286808;ENSP00000349456;ENSP00000399709;ENSP00000409544;ENSP00000364935;ENSP00000410732;ENSP00000448310;ENSP00000421828;ENSP00000359353;ENSP00000359337;ENSP00000409126;ENSP00000295452;ENSP00000430100;ENSP00000264318;ENSP00000308725;ENSP00000469332;ENSP00000365714;ENSP00000295454;ENSP00000481321;ENSP00000274547;ENSP00000218075;ENSP00000290332;ENSP00000367848;ENSP00000332771;ENSP00000269346;ENSP00000332413;ENSP00000185206;ENSP00000348453;ENSP00000363500;ENSP00000393097;ENSP00000274093;ENSP00000378920;ENSP00000364831;ENSP00000361281;ENSP00000353129;ENSP00000347721;ENSP00000361700	1	1	-	KEGG:05033	-
K1	string	0.3	network_modules	5	TRUE	2.6554257298881933e-17	32	10	8	0.8	0.25	REAC:R-HSA-1660661	REAC	Sphingolipid de novo biosynthesis	10916	2348		0	0.027777777777777776	32	10884	8	2	24	10882	10916	0.4464339186515271	1	GO:0043603;GO:0006629;GO:0006066	ENSP00000216484;ENSP00000359634;ENSP00000298130;ENSP00000326869;ENSP00000243045;ENSP00000381968;ENSP00000350378;ENSP00000349689;ENSP00000352097;ENSP00000377724;ENSP00000262554;ENSP00000379390	1	1	-	-	REAC:R-HSA-1660661
K1	string	0.3	network_modules	5	TRUE	2.0408341180951998e-14	63	12	8	0.6666666666666666	0.12698412698412698	GO:0046513	GO:BP	ceramide biosynthetic process	16175	12212		0.02857142857142857	0.05555555555555555	63	16112	8	4	55	16108	16175	0.2899298457954143	2	GO:0043603;GO:0006629;GO:0006066	ENSP00000216484;ENSP00000359634;ENSP00000298130;ENSP00000326869;ENSP00000243045;ENSP00000381968;ENSP00000350378;ENSP00000349689;ENSP00000352097;ENSP00000377724;ENSP00000262554;ENSP00000379390	1	1	GO:0046513	-	-
K1	string	0.3	network_modules	6	TRUE	5.877655212581843e-79	62	54	40	0.7407407407407407	0.6451612903225806	KEGG:00140	KEGG	Steroid hormone biosynthesis	8484	17		0	0.008695652173913044	62	8422	40	14	22	8408	8484	0.6891926816019442	1	GO:0042445;GO:0006082;GO:0006805;GO:0006629;GO:0050896	ENSP00000001146;ENSP00000265403;ENSP00000362549;ENSP00000334276;ENSP00000387683;ENSP00000418532;ENSP00000305221;ENSP00000304845;ENSP00000303174;ENSP00000343838;ENSP00000362513;ENSP00000362508;ENSP00000304811;ENSP00000475028;ENSP00000346768;ENSP00000362525;ENSP00000341045;ENSP00000251566;ENSP00000320401;ENSP00000354511;ENSP00000199936;ENSP00000226444;ENSP00000305742;ENSP00000332256;ENSP00000249750;ENSP00000297785;ENSP00000370129;ENSP00000216075;ENSP00000224356;ENSP00000302728;ENSP00000285949;ENSP00000379683;ENSP00000353720;ENSP00000242375;ENSP00000451406;ENSP00000319501;ENSP00000370254;ENSP00000369927;ENSP00000355995;ENSP00000264228;ENSP00000369814;ENSP00000290349;ENSP00000364412;ENSP00000477587;ENSP00000353820;ENSP00000358421;ENSP00000480443;ENSP00000290354;ENSP00000263368;ENSP00000317842;ENSP00000363794;ENSP00000466799;ENSP00000445122;ENSP00000480571;ENSP00000363832;ENSP00000274192	1	1	-	KEGG:00140	-
K1	string	0.3	network_modules	6	TRUE	1.0238960544450231e-40	21	52	18	0.34615384615384615	0.8571428571428571	GO:0052695	GO:BP	cellular glucuronidation	16175	14152		0.03508771929824561	0.043478260869565216	21	16154	18	34	3	16120	16175	0.5438893597248128	5	GO:0042445;GO:0006082;GO:0006805;GO:0006629;GO:0050896	ENSP00000001146;ENSP00000265403;ENSP00000362549;ENSP00000334276;ENSP00000387683;ENSP00000418532;ENSP00000305221;ENSP00000304845;ENSP00000303174;ENSP00000343838;ENSP00000362513;ENSP00000362508;ENSP00000304811;ENSP00000475028;ENSP00000346768;ENSP00000362525;ENSP00000341045;ENSP00000251566;ENSP00000320401;ENSP00000354511;ENSP00000199936;ENSP00000226444;ENSP00000305742;ENSP00000332256;ENSP00000249750;ENSP00000297785;ENSP00000370129;ENSP00000216075;ENSP00000224356;ENSP00000302728;ENSP00000285949;ENSP00000379683;ENSP00000353720;ENSP00000242375;ENSP00000451406;ENSP00000319501;ENSP00000370254;ENSP00000369927;ENSP00000355995;ENSP00000264228;ENSP00000369814;ENSP00000290349;ENSP00000364412;ENSP00000477587;ENSP00000353820;ENSP00000358421;ENSP00000480443;ENSP00000290354;ENSP00000263368;ENSP00000317842;ENSP00000363794;ENSP00000466799;ENSP00000445122;ENSP00000480571;ENSP00000363832;ENSP00000274192	4	1	GO:0052695	-	-
K1	string	0.3	network_modules	6	TRUE	1.1678599842570326e-38	25	52	19	0.36538461538461536	0.76	REAC:R-HSA-156588	REAC	Glucuronidation	10916	1054		0.07894736842105263	0.08695652173913043	25	10891	19	33	6	10858	10916	0.5255160528238995	10	GO:0042445;GO:0006082;GO:0006805;GO:0006629;GO:0050896	ENSP00000001146;ENSP00000265403;ENSP00000362549;ENSP00000334276;ENSP00000387683;ENSP00000418532;ENSP00000305221;ENSP00000304845;ENSP00000303174;ENSP00000343838;ENSP00000362513;ENSP00000362508;ENSP00000304811;ENSP00000475028;ENSP00000346768;ENSP00000362525;ENSP00000341045;ENSP00000251566;ENSP00000320401;ENSP00000354511;ENSP00000199936;ENSP00000226444;ENSP00000305742;ENSP00000332256;ENSP00000249750;ENSP00000297785;ENSP00000370129;ENSP00000216075;ENSP00000224356;ENSP00000302728;ENSP00000285949;ENSP00000379683;ENSP00000353720;ENSP00000242375;ENSP00000451406;ENSP00000319501;ENSP00000370254;ENSP00000369927;ENSP00000355995;ENSP00000264228;ENSP00000369814;ENSP00000290349;ENSP00000364412;ENSP00000477587;ENSP00000353820;ENSP00000358421;ENSP00000480443;ENSP00000290354;ENSP00000263368;ENSP00000317842;ENSP00000363794;ENSP00000466799;ENSP00000445122;ENSP00000480571;ENSP00000363832;ENSP00000274192	1	1	-	-	REAC:R-HSA-156588
