network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes	row_rank_p	row_rank_mcc	top_go	top_kegg	top_reac
K1	cpdb	0.6	network_modules	1	TRUE	1.2368945234325157e-4	97	3	3	1	0.030927835051546393	REAC:R-HSA-2187338	REAC	Visual phototransduction	10916	2654		0	0.14285714285714285	97	10819	3	0	94	10819	10916	0.17510407095771763	1	GO:0050877	ENSG00000070729;ENSG00000198515;ENSG00000198691	1	1	-	-	REAC:R-HSA-2187338
K1	cpdb	0.6	network_modules	1	TRUE	2.5299793112321594e-4	132	3	3	1	0.022727272727272728	GO:0007601	GO:BP	visual perception	16175	3060		0.16666666666666666	0.2857142857142857	132	16043	3	0	129	16043	16175	0.15015319828745174	2	GO:0050877	ENSG00000070729;ENSG00000198515;ENSG00000198691	1	1	GO:0007601	-	-
K1	cpdb	0.6	network_modules	2	TRUE	1.7110038470841952e-51	98	28	27	0.9642857142857143	0.2755102040816326	KEGG:04061	KEGG	Viral protein interaction with cytokine and cytokine receptor	8484	254		0	0.007633587786259542	98	8386	27	1	71	8385	8484	0.5130723851264599	1	GO:0050789;GO:0002376;GO:0050896;GO:0040011	ENSG00000169245;ENSG00000124875;ENSG00000115009;ENSG00000107562;ENSG00000172156;ENSG00000163737;ENSG00000108700;ENSG00000137077;ENSG00000145824;ENSG00000151882;ENSG00000131142;ENSG00000108691;ENSG00000156234;ENSG00000169248;ENSG00000181374;ENSG00000189377;ENSG00000163734;ENSG00000006606;ENSG00000081041;ENSG00000109272;ENSG00000143185;ENSG00000143184;ENSG00000102970;ENSG00000106178;ENSG00000172724;ENSG00000183625;ENSG00000213927;ENSG00000108702	1	1	-	KEGG:04061	-
K1	cpdb	0.6	network_modules	2	TRUE	4.3936689093546814e-49	57	23	22	0.9565217391304348	0.38596491228070173	REAC:R-HSA-380108	REAC	Chemokine receptors bind chemokines	10916	346		0.007692307692307693	0.015267175572519083	57	10859	22	1	35	10858	10916	0.606511258031503	2	GO:0050789;GO:0002376;GO:0050896;GO:0040011	ENSG00000169245;ENSG00000124875;ENSG00000115009;ENSG00000107562;ENSG00000172156;ENSG00000163737;ENSG00000108700;ENSG00000137077;ENSG00000145824;ENSG00000151882;ENSG00000131142;ENSG00000108691;ENSG00000156234;ENSG00000169248;ENSG00000181374;ENSG00000189377;ENSG00000163734;ENSG00000006606;ENSG00000081041;ENSG00000109272;ENSG00000143185;ENSG00000143184;ENSG00000102970;ENSG00000106178;ENSG00000172724;ENSG00000183625;ENSG00000213927;ENSG00000108702	1	1	-	-	REAC:R-HSA-380108
K1	cpdb	0.6	network_modules	2	TRUE	5.5367456038221094e-49	68	28	23	0.8214285714285714	0.3382352941176471	GO:0070098	GO:BP	chemokine-mediated signaling pathway	16175	15910		0.015384615384615385	0.022900763358778626	68	16107	23	5	45	16102	16175	0.5259651908759975	3	GO:0050789;GO:0002376;GO:0050896;GO:0040011	ENSG00000169245;ENSG00000124875;ENSG00000115009;ENSG00000107562;ENSG00000172156;ENSG00000163737;ENSG00000108700;ENSG00000137077;ENSG00000145824;ENSG00000151882;ENSG00000131142;ENSG00000108691;ENSG00000156234;ENSG00000169248;ENSG00000181374;ENSG00000189377;ENSG00000163734;ENSG00000006606;ENSG00000081041;ENSG00000109272;ENSG00000143185;ENSG00000143184;ENSG00000102970;ENSG00000106178;ENSG00000172724;ENSG00000183625;ENSG00000213927;ENSG00000108702	1	1	GO:0070098	-	-
K1	cpdb	0.6	network_modules	3	TRUE	1.907050094130242e-14	9	5	5	1	0.5555555555555556	REAC:R-HSA-629597	REAC	Highly calcium permeable nicotinic acetylcholine receptors	10916	1124		0	0.047619047619047616	9	10907	5	0	4	10907	10916	0.7452193552865911	1	GO:0050789;GO:0050896;GO:0007154	ENSG00000160716;ENSG00000117971;ENSG00000120903;ENSG00000147432;ENSG00000169684	1	1	-	-	REAC:R-HSA-629597
K1	cpdb	0.6	network_modules	3	TRUE	2.64436498179753e-12	23	5	5	1	0.21739130434782608	GO:0007271	GO:BP	synaptic transmission, cholinergic	16175	2799		0.25	0.2857142857142857	23	16152	5	0	18	16152	16175	0.46599282217327354	6	GO:0050789;GO:0050896;GO:0007154	ENSG00000160716;ENSG00000117971;ENSG00000120903;ENSG00000147432;ENSG00000169684	1	1	GO:0007271	-	-
K1	cpdb	0.6	network_modules	5	TRUE	1.5277834190077437e-18	44	8	8	1	0.18181818181818182	GO:0016339	GO:BP	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	16175	5214		0	0.07142857142857142	44	16131	8	0	36	16131	16175	0.42592642168440087	1	GO:0016043;GO:0007155	ENSG00000129910;ENSG00000113100;ENSG00000081138;ENSG00000113361;ENSG00000040731;ENSG00000145526;ENSG00000071991;ENSG00000154162	1	1	GO:0016339	-	-
K1	cpdb	0.6	network_modules	5	TRUE	6.013026941164724e-17	55	8	8	1	0.14545454545454545	REAC:R-HSA-418990	REAC	Adherens junctions interactions	10916	121		0.23076923076923078	0.2857142857142857	55	10861	8	0	47	10861	10916	0.38056249961727023	4	GO:0016043;GO:0007155	ENSG00000129910;ENSG00000113100;ENSG00000081138;ENSG00000113361;ENSG00000040731;ENSG00000145526;ENSG00000071991;ENSG00000154162	1	1	-	-	REAC:R-HSA-418990
K1	cpdb	0.6	network_modules	6	TRUE	5.919212267277987e-11	10	4	4	1	0.4	REAC:R-HSA-419812	REAC	Calcitonin-like ligand receptors	10916	300		0.05263157894736842	0.1	10	10906	4	0	6	10906	10916	0.6322816292215253	2	GO:0016192;GO:0050789	ENSG00000064989;ENSG00000131477;ENSG00000132329;ENSG00000110680	1	1	-	-	REAC:R-HSA-419812
K1	cpdb	0.6	network_modules	6	TRUE	3.501417616886248e-9	3	4	3	0.75	1	GO:1990408	GO:BP	calcitonin gene-related peptide receptor signaling pathway	16175	25157		0.10526315789473684	0.15	3	16172	3	1	0	16171	16175	0.8659986279128109	3	GO:0016192;GO:0050789	ENSG00000064989;ENSG00000131477;ENSG00000132329;ENSG00000110680	2	1	GO:1990408	-	-
