network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes	row_rank_p	row_rank_mcc	top_go	top_kegg	top_reac
M1	string	0.4	network_modules	1	TRUE	5.0440901578290527e-82	107	71	50	0.704225352112676	0.4672897196261682	KEGG:04350	KEGG	TGF-beta signaling pathway	8484	304		0.007518796992481203	0.011235955056179775	107	8377	50	21	57	8356	8484	0.5693530187340792	3	GO:0032501;GO:0050789;GO:0050896;GO:0032502	ENSP00000262435;ENSP00000354621;ENSP00000427793;ENSP00000219255;ENSP00000364133;ENSP00000040584;ENSP00000288840;ENSP00000426568;ENSP00000393887;ENSP00000355896;ENSP00000221930;ENSP00000238682;ENSP00000260950;ENSP00000204604;ENSP00000295633;ENSP00000166139;ENSP00000295228;ENSP00000242208;ENSP00000368104;ENSP00000280377;ENSP00000351905;ENSP00000262158;ENSP00000452126;ENSP00000401907;ENSP00000287727;ENSP00000337014;ENSP00000308219;ENSP00000337159;ENSP00000363708;ENSP00000361107;ENSP00000245451;ENSP00000362299;ENSP00000359866;ENSP00000479679;ENSP00000379204;ENSP00000262120;ENSP00000297161;ENSP00000364683;ENSP00000283147;ENSP00000212355;ENSP00000243786;ENSP00000241416;ENSP00000485133;ENSP00000442656;ENSP00000352995;ENSP00000363921;ENSP00000271636;ENSP00000357005;ENSP00000347379;ENSP00000263640;ENSP00000221496;ENSP00000257863;ENSP00000392066;ENSP00000384126;ENSP00000261336;ENSP00000373574;ENSP00000364694;ENSP00000347041;ENSP00000311184;ENSP00000301873;ENSP00000377265;ENSP00000324763;ENSP00000420525;ENSP00000242719;ENSP00000441954;ENSP00000228938;ENSP00000367942;ENSP00000363492;ENSP00000385834;ENSP00000340361;ENSP00000287139;ENSP00000463051;ENSP00000369154;ENSP00000243349;ENSP00000272134;ENSP00000282701;ENSP00000257868;ENSP00000295379;ENSP00000355785;ENSP00000259216;ENSP00000256759;ENSP00000287020;ENSP00000478319;ENSP00000304930;ENSP00000370297;ENSP00000328181;ENSP00000361112;ENSP00000339916;ENSP00000248071;ENSP00000417404;ENSP00000252677;ENSP00000323264;ENSP00000308369;ENSP00000296946;ENSP00000323155;ENSP00000302621;ENSP00000361915;ENSP00000318650;ENSP00000334186;ENSP00000361664	1	1	-	KEGG:04350	-
M1	string	0.4	network_modules	1	TRUE	2.981928330692857e-72	117	98	46	0.46938775510204084	0.39316239316239315	GO:0030509	GO:BP	BMP signaling pathway	16175	6825		0.011278195488721804	0.0149812734082397	117	16058	46	52	71	16006	16175	0.4257976182523406	4	GO:0032501;GO:0050789;GO:0050896;GO:0032502	ENSP00000262435;ENSP00000354621;ENSP00000427793;ENSP00000219255;ENSP00000364133;ENSP00000040584;ENSP00000288840;ENSP00000426568;ENSP00000393887;ENSP00000355896;ENSP00000221930;ENSP00000238682;ENSP00000260950;ENSP00000204604;ENSP00000295633;ENSP00000166139;ENSP00000295228;ENSP00000242208;ENSP00000368104;ENSP00000280377;ENSP00000351905;ENSP00000262158;ENSP00000452126;ENSP00000401907;ENSP00000287727;ENSP00000337014;ENSP00000308219;ENSP00000337159;ENSP00000363708;ENSP00000361107;ENSP00000245451;ENSP00000362299;ENSP00000359866;ENSP00000479679;ENSP00000379204;ENSP00000262120;ENSP00000297161;ENSP00000364683;ENSP00000283147;ENSP00000212355;ENSP00000243786;ENSP00000241416;ENSP00000485133;ENSP00000442656;ENSP00000352995;ENSP00000363921;ENSP00000271636;ENSP00000357005;ENSP00000347379;ENSP00000263640;ENSP00000221496;ENSP00000257863;ENSP00000392066;ENSP00000384126;ENSP00000261336;ENSP00000373574;ENSP00000364694;ENSP00000347041;ENSP00000311184;ENSP00000301873;ENSP00000377265;ENSP00000324763;ENSP00000420525;ENSP00000242719;ENSP00000441954;ENSP00000228938;ENSP00000367942;ENSP00000363492;ENSP00000385834;ENSP00000340361;ENSP00000287139;ENSP00000463051;ENSP00000369154;ENSP00000243349;ENSP00000272134;ENSP00000282701;ENSP00000257868;ENSP00000295379;ENSP00000355785;ENSP00000259216;ENSP00000256759;ENSP00000287020;ENSP00000478319;ENSP00000304930;ENSP00000370297;ENSP00000328181;ENSP00000361112;ENSP00000339916;ENSP00000248071;ENSP00000417404;ENSP00000252677;ENSP00000323264;ENSP00000308369;ENSP00000296946;ENSP00000323155;ENSP00000302621;ENSP00000361915;ENSP00000318650;ENSP00000334186;ENSP00000361664	3	2	GO:0030509	-	-
M1	string	0.4	network_modules	1	TRUE	9.8241255730279e-55	31	73	27	0.3698630136986301	0.8709677419354839	REAC:R-HSA-201451	REAC	Signaling by BMP	10916	2224		0.045112781954887216	0.04868913857677903	31	10885	27	46	4	10839	10916	0.5659116279938282	13	GO:0032501;GO:0050789;GO:0050896;GO:0032502	ENSP00000262435;ENSP00000354621;ENSP00000427793;ENSP00000219255;ENSP00000364133;ENSP00000040584;ENSP00000288840;ENSP00000426568;ENSP00000393887;ENSP00000355896;ENSP00000221930;ENSP00000238682;ENSP00000260950;ENSP00000204604;ENSP00000295633;ENSP00000166139;ENSP00000295228;ENSP00000242208;ENSP00000368104;ENSP00000280377;ENSP00000351905;ENSP00000262158;ENSP00000452126;ENSP00000401907;ENSP00000287727;ENSP00000337014;ENSP00000308219;ENSP00000337159;ENSP00000363708;ENSP00000361107;ENSP00000245451;ENSP00000362299;ENSP00000359866;ENSP00000479679;ENSP00000379204;ENSP00000262120;ENSP00000297161;ENSP00000364683;ENSP00000283147;ENSP00000212355;ENSP00000243786;ENSP00000241416;ENSP00000485133;ENSP00000442656;ENSP00000352995;ENSP00000363921;ENSP00000271636;ENSP00000357005;ENSP00000347379;ENSP00000263640;ENSP00000221496;ENSP00000257863;ENSP00000392066;ENSP00000384126;ENSP00000261336;ENSP00000373574;ENSP00000364694;ENSP00000347041;ENSP00000311184;ENSP00000301873;ENSP00000377265;ENSP00000324763;ENSP00000420525;ENSP00000242719;ENSP00000441954;ENSP00000228938;ENSP00000367942;ENSP00000363492;ENSP00000385834;ENSP00000340361;ENSP00000287139;ENSP00000463051;ENSP00000369154;ENSP00000243349;ENSP00000272134;ENSP00000282701;ENSP00000257868;ENSP00000295379;ENSP00000355785;ENSP00000259216;ENSP00000256759;ENSP00000287020;ENSP00000478319;ENSP00000304930;ENSP00000370297;ENSP00000328181;ENSP00000361112;ENSP00000339916;ENSP00000248071;ENSP00000417404;ENSP00000252677;ENSP00000323264;ENSP00000308369;ENSP00000296946;ENSP00000323155;ENSP00000302621;ENSP00000361915;ENSP00000318650;ENSP00000334186;ENSP00000361664	2	1	-	-	REAC:R-HSA-201451
M1	string	0.4	network_modules	2	TRUE	1.7949866159854666e-42	67	85	27	0.3176470588235294	0.40298507462686567	GO:0097006	GO:BP	regulation of plasma lipoprotein particle levels	16175	18441		0	0.004761904761904762	67	16108	27	58	40	16050	16175	0.3547821830510006	1	GO:0006629;GO:0016192;GO:0065003;GO:0006869;GO:0032501;GO:0050789;GO:0006066	ENSP00000284981;ENSP00000236850;ENSP00000381282;ENSP00000270077;ENSP00000386357;ENSP00000348170;ENSP00000200676;ENSP00000321334;ENSP00000233242;ENSP00000317674;ENSP00000384906;ENSP00000222381;ENSP00000227667;ENSP00000309757;ENSP00000441828;ENSP00000365081;ENSP00000262101;ENSP00000445002;ENSP00000439012;ENSP00000278222;ENSP00000252486;ENSP00000466775;ENSP00000371532;ENSP00000356563;ENSP00000381250;ENSP00000356969;ENSP00000480821;ENSP00000454071;ENSP00000264005;ENSP00000457539;ENSP00000465356;ENSP00000387654;ENSP00000417138;ENSP00000368528;ENSP00000468236;ENSP00000375836;ENSP00000436126;ENSP00000274793;ENSP00000350425;ENSP00000315130;ENSP00000316779;ENSP00000205948;ENSP00000303634;ENSP00000361818;ENSP00000370767;ENSP00000352071;ENSP00000366267;ENSP00000363868;ENSP00000295897;ENSP00000263816;ENSP00000382334;ENSP00000332215;ENSP00000421986;ENSP00000305005;ENSP00000384770;ENSP00000264039;ENSP00000308970;ENSP00000319140;ENSP00000292125;ENSP00000385706;ENSP00000225275;ENSP00000374135;ENSP00000259396;ENSP00000363458;ENSP00000264613;ENSP00000261693;ENSP00000344468;ENSP00000292377;ENSP00000366246;ENSP00000377836;ENSP00000359864;ENSP00000429015;ENSP00000345179;ENSP00000303208;ENSP00000337731;ENSP00000295834;ENSP00000399421;ENSP00000233575;ENSP00000354995;ENSP00000263094;ENSP00000299155;ENSP00000399585;ENSP00000367064;ENSP00000421922;ENSP00000252490;ENSP00000256999;ENSP00000257248;ENSP00000394936;ENSP00000420939;ENSP00000421725;ENSP00000369816;ENSP00000306670;ENSP00000281419;ENSP00000373364;ENSP00000460236;ENSP00000366047;ENSP00000342850;ENSP00000480053;ENSP00000481728	1	1	GO:0097006	-	-
M1	string	0.4	network_modules	2	TRUE	3.3836779544958904e-38	71	82	27	0.32926829268292684	0.38028169014084506	REAC:R-HSA-174824	REAC	Plasma lipoprotein assembly, remodeling, and clearance	10916	1756		0.004784688995215311	0.009523809523809525	71	10845	27	55	44	10790	10916	0.3493150360069894	2	GO:0006629;GO:0016192;GO:0065003;GO:0006869;GO:0032501;GO:0050789;GO:0006066	ENSP00000284981;ENSP00000236850;ENSP00000381282;ENSP00000270077;ENSP00000386357;ENSP00000348170;ENSP00000200676;ENSP00000321334;ENSP00000233242;ENSP00000317674;ENSP00000384906;ENSP00000222381;ENSP00000227667;ENSP00000309757;ENSP00000441828;ENSP00000365081;ENSP00000262101;ENSP00000445002;ENSP00000439012;ENSP00000278222;ENSP00000252486;ENSP00000466775;ENSP00000371532;ENSP00000356563;ENSP00000381250;ENSP00000356969;ENSP00000480821;ENSP00000454071;ENSP00000264005;ENSP00000457539;ENSP00000465356;ENSP00000387654;ENSP00000417138;ENSP00000368528;ENSP00000468236;ENSP00000375836;ENSP00000436126;ENSP00000274793;ENSP00000350425;ENSP00000315130;ENSP00000316779;ENSP00000205948;ENSP00000303634;ENSP00000361818;ENSP00000370767;ENSP00000352071;ENSP00000366267;ENSP00000363868;ENSP00000295897;ENSP00000263816;ENSP00000382334;ENSP00000332215;ENSP00000421986;ENSP00000305005;ENSP00000384770;ENSP00000264039;ENSP00000308970;ENSP00000319140;ENSP00000292125;ENSP00000385706;ENSP00000225275;ENSP00000374135;ENSP00000259396;ENSP00000363458;ENSP00000264613;ENSP00000261693;ENSP00000344468;ENSP00000292377;ENSP00000366246;ENSP00000377836;ENSP00000359864;ENSP00000429015;ENSP00000345179;ENSP00000303208;ENSP00000337731;ENSP00000295834;ENSP00000399421;ENSP00000233575;ENSP00000354995;ENSP00000263094;ENSP00000299155;ENSP00000399585;ENSP00000367064;ENSP00000421922;ENSP00000252490;ENSP00000256999;ENSP00000257248;ENSP00000394936;ENSP00000420939;ENSP00000421725;ENSP00000369816;ENSP00000306670;ENSP00000281419;ENSP00000373364;ENSP00000460236;ENSP00000366047;ENSP00000342850;ENSP00000480053;ENSP00000481728	1	1	-	-	REAC:R-HSA-174824
M1	string	0.4	network_modules	2	TRUE	1.734966725267222e-31	51	50	20	0.4	0.39215686274509803	KEGG:04979	KEGG	Cholesterol metabolism	8484	410		0.028708133971291867	0.03333333333333333	51	8433	20	30	31	8403	8484	0.3924428983186764	7	GO:0006629;GO:0016192;GO:0065003;GO:0006869;GO:0032501;GO:0050789;GO:0006066	ENSP00000284981;ENSP00000236850;ENSP00000381282;ENSP00000270077;ENSP00000386357;ENSP00000348170;ENSP00000200676;ENSP00000321334;ENSP00000233242;ENSP00000317674;ENSP00000384906;ENSP00000222381;ENSP00000227667;ENSP00000309757;ENSP00000441828;ENSP00000365081;ENSP00000262101;ENSP00000445002;ENSP00000439012;ENSP00000278222;ENSP00000252486;ENSP00000466775;ENSP00000371532;ENSP00000356563;ENSP00000381250;ENSP00000356969;ENSP00000480821;ENSP00000454071;ENSP00000264005;ENSP00000457539;ENSP00000465356;ENSP00000387654;ENSP00000417138;ENSP00000368528;ENSP00000468236;ENSP00000375836;ENSP00000436126;ENSP00000274793;ENSP00000350425;ENSP00000315130;ENSP00000316779;ENSP00000205948;ENSP00000303634;ENSP00000361818;ENSP00000370767;ENSP00000352071;ENSP00000366267;ENSP00000363868;ENSP00000295897;ENSP00000263816;ENSP00000382334;ENSP00000332215;ENSP00000421986;ENSP00000305005;ENSP00000384770;ENSP00000264039;ENSP00000308970;ENSP00000319140;ENSP00000292125;ENSP00000385706;ENSP00000225275;ENSP00000374135;ENSP00000259396;ENSP00000363458;ENSP00000264613;ENSP00000261693;ENSP00000344468;ENSP00000292377;ENSP00000366246;ENSP00000377836;ENSP00000359864;ENSP00000429015;ENSP00000345179;ENSP00000303208;ENSP00000337731;ENSP00000295834;ENSP00000399421;ENSP00000233575;ENSP00000354995;ENSP00000263094;ENSP00000299155;ENSP00000399585;ENSP00000367064;ENSP00000421922;ENSP00000252490;ENSP00000256999;ENSP00000257248;ENSP00000394936;ENSP00000420939;ENSP00000421725;ENSP00000369816;ENSP00000306670;ENSP00000281419;ENSP00000373364;ENSP00000460236;ENSP00000366047;ENSP00000342850;ENSP00000480053;ENSP00000481728	1	1	-	KEGG:04979	-
M1	string	0.4	network_modules	3	TRUE	4.402891939033376e-126	162	80	74	0.925	0.4567901234567901	KEGG:04630	KEGG	JAK-STAT signaling pathway	8484	332		0	0.0030581039755351682	162	8322	74	6	88	8316	8484	0.6458237871775895	1	GO:0036211;GO:0044419;GO:0001775;GO:0006793;GO:0050789;GO:0002376;GO:0008283;GO:0050896;GO:0032502	ENSP00000360883;ENSP00000369554;ENSP00000368699;ENSP00000260665;ENSP00000470788;ENSP00000354394;ENSP00000343204;ENSP00000264657;ENSP00000215781;ENSP00000279804;ENSP00000249075;ENSP00000274276;ENSP00000263409;ENSP00000431885;ENSP00000370698;ENSP00000215794;ENSP00000343957;ENSP00000270139;ENSP00000315768;ENSP00000346508;ENSP00000360869;ENSP00000255409;ENSP00000221847;ENSP00000262345;ENSP00000303231;ENSP00000263379;ENSP00000376134;ENSP00000349365;ENSP00000385675;ENSP00000276927;ENSP00000339804;ENSP00000227752;ENSP00000327824;ENSP00000412237;ENSP00000442424;ENSP00000290200;ENSP00000270800;ENSP00000228534;ENSP00000321345;ENSP00000231228;ENSP00000229134;ENSP00000314976;ENSP00000229135;ENSP00000356713;ENSP00000290219;ENSP00000311857;ENSP00000245222;ENSP00000300134;ENSP00000360730;ENSP00000361004;ENSP00000328133;ENSP00000239347;ENSP00000244174;ENSP00000274520;ENSP00000368265;ENSP00000355370;ENSP00000304915;ENSP00000309338;ENSP00000376188;ENSP00000296161;ENSP00000369581;ENSP00000357470;ENSP00000450909;ENSP00000264497;ENSP00000338010;ENSP00000264563;ENSP00000450565;ENSP00000329991;ENSP00000356065;ENSP00000343000;ENSP00000383641;ENSP00000380073;ENSP00000367714;ENSP00000375795;ENSP00000296980;ENSP00000396068;ENSP00000369571;ENSP00000369564;ENSP00000411940;ENSP00000369574;ENSP00000369578;ENSP00000412897;ENSP00000369553;ENSP00000369558;ENSP00000369566;ENSP00000366234;ENSP00000415900;ENSP00000480467;ENSP00000379458;ENSP00000409000;ENSP00000333639;ENSP00000353512;ENSP00000418194;ENSP00000317579;ENSP00000362942;ENSP00000360891;ENSP00000388223;ENSP00000484479	1	1	-	KEGG:04630	-
M1	string	0.4	network_modules	3	TRUE	6.513763006336997e-79	142	90	50	0.5555555555555556	0.352112676056338	GO:0007259	GO:BP	cell surface receptor signaling pathway via JAK-STAT	16175	2789		0.012269938650306749	0.01529051987767584	142	16033	50	40	92	15993	16175	0.4384432049695099	5	GO:0036211;GO:0044419;GO:0001775;GO:0006793;GO:0050789;GO:0002376;GO:0008283;GO:0050896;GO:0032502	ENSP00000360883;ENSP00000369554;ENSP00000368699;ENSP00000260665;ENSP00000470788;ENSP00000354394;ENSP00000343204;ENSP00000264657;ENSP00000215781;ENSP00000279804;ENSP00000249075;ENSP00000274276;ENSP00000263409;ENSP00000431885;ENSP00000370698;ENSP00000215794;ENSP00000343957;ENSP00000270139;ENSP00000315768;ENSP00000346508;ENSP00000360869;ENSP00000255409;ENSP00000221847;ENSP00000262345;ENSP00000303231;ENSP00000263379;ENSP00000376134;ENSP00000349365;ENSP00000385675;ENSP00000276927;ENSP00000339804;ENSP00000227752;ENSP00000327824;ENSP00000412237;ENSP00000442424;ENSP00000290200;ENSP00000270800;ENSP00000228534;ENSP00000321345;ENSP00000231228;ENSP00000229134;ENSP00000314976;ENSP00000229135;ENSP00000356713;ENSP00000290219;ENSP00000311857;ENSP00000245222;ENSP00000300134;ENSP00000360730;ENSP00000361004;ENSP00000328133;ENSP00000239347;ENSP00000244174;ENSP00000274520;ENSP00000368265;ENSP00000355370;ENSP00000304915;ENSP00000309338;ENSP00000376188;ENSP00000296161;ENSP00000369581;ENSP00000357470;ENSP00000450909;ENSP00000264497;ENSP00000338010;ENSP00000264563;ENSP00000450565;ENSP00000329991;ENSP00000356065;ENSP00000343000;ENSP00000383641;ENSP00000380073;ENSP00000367714;ENSP00000375795;ENSP00000296980;ENSP00000396068;ENSP00000369571;ENSP00000369564;ENSP00000411940;ENSP00000369574;ENSP00000369578;ENSP00000412897;ENSP00000369553;ENSP00000369558;ENSP00000369566;ENSP00000366234;ENSP00000415900;ENSP00000480467;ENSP00000379458;ENSP00000409000;ENSP00000333639;ENSP00000353512;ENSP00000418194;ENSP00000317579;ENSP00000362942;ENSP00000360891;ENSP00000388223;ENSP00000484479	3	1	GO:0007259	-	-
M1	string	0.4	network_modules	3	TRUE	3.8454444836030295e-36	25	89	20	0.2247191011235955	0.8	REAC:R-HSA-8854691	REAC	Interleukin-20 family signaling	10916	1242		0.046012269938650305	0.04892966360856269	25	10891	20	69	5	10822	10916	0.42188274512774937	16	GO:0036211;GO:0044419;GO:0001775;GO:0006793;GO:0050789;GO:0002376;GO:0008283;GO:0050896;GO:0032502	ENSP00000360883;ENSP00000369554;ENSP00000368699;ENSP00000260665;ENSP00000470788;ENSP00000354394;ENSP00000343204;ENSP00000264657;ENSP00000215781;ENSP00000279804;ENSP00000249075;ENSP00000274276;ENSP00000263409;ENSP00000431885;ENSP00000370698;ENSP00000215794;ENSP00000343957;ENSP00000270139;ENSP00000315768;ENSP00000346508;ENSP00000360869;ENSP00000255409;ENSP00000221847;ENSP00000262345;ENSP00000303231;ENSP00000263379;ENSP00000376134;ENSP00000349365;ENSP00000385675;ENSP00000276927;ENSP00000339804;ENSP00000227752;ENSP00000327824;ENSP00000412237;ENSP00000442424;ENSP00000290200;ENSP00000270800;ENSP00000228534;ENSP00000321345;ENSP00000231228;ENSP00000229134;ENSP00000314976;ENSP00000229135;ENSP00000356713;ENSP00000290219;ENSP00000311857;ENSP00000245222;ENSP00000300134;ENSP00000360730;ENSP00000361004;ENSP00000328133;ENSP00000239347;ENSP00000244174;ENSP00000274520;ENSP00000368265;ENSP00000355370;ENSP00000304915;ENSP00000309338;ENSP00000376188;ENSP00000296161;ENSP00000369581;ENSP00000357470;ENSP00000450909;ENSP00000264497;ENSP00000338010;ENSP00000264563;ENSP00000450565;ENSP00000329991;ENSP00000356065;ENSP00000343000;ENSP00000383641;ENSP00000380073;ENSP00000367714;ENSP00000375795;ENSP00000296980;ENSP00000396068;ENSP00000369571;ENSP00000369564;ENSP00000411940;ENSP00000369574;ENSP00000369578;ENSP00000412897;ENSP00000369553;ENSP00000369558;ENSP00000369566;ENSP00000366234;ENSP00000415900;ENSP00000480467;ENSP00000379458;ENSP00000409000;ENSP00000333639;ENSP00000353512;ENSP00000418194;ENSP00000317579;ENSP00000362942;ENSP00000360891;ENSP00000388223;ENSP00000484479	2	1	-	-	REAC:R-HSA-8854691
M1	string	0.4	network_modules	4	TRUE	9.815870959516278e-43	44	95	25	0.2631578947368421	0.5681818181818182	GO:0016339	GO:BP	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	16175	5214		0.03333333333333333	0.04395604395604396	44	16131	25	70	19	16061	16175	0.384334923637629	4	GO:0022607;GO:0007155;GO:0032502	ENSP00000344456;ENSP00000281537;ENSP00000381768;ENSP00000362186;ENSP00000257430;ENSP00000239223;ENSP00000027335;ENSP00000384638;ENSP00000484928;ENSP00000269141;ENSP00000463325;ENSP00000262717;ENSP00000377508;ENSP00000371689;ENSP00000442954;ENSP00000462701;ENSP00000231021;ENSP00000380517;ENSP00000264012;ENSP00000304669;ENSP00000299441;ENSP00000382004;ENSP00000381058;ENSP00000246080;ENSP00000349477;ENSP00000425093;ENSP00000437790;ENSP00000344115;ENSP00000268613;ENSP00000265071;ENSP00000369129;ENSP00000325954;ENSP00000262150;ENSP00000376458;ENSP00000389714;ENSP00000263207;ENSP00000289746;ENSP00000264463;ENSP00000307134;ENSP00000261769;ENSP00000339390;ENSP00000268603;ENSP00000070846;ENSP00000280904;ENSP00000261590;ENSP00000352785;ENSP00000353608;ENSP00000257192;ENSP00000397157;ENSP00000257198;ENSP00000357789;ENSP00000257189;ENSP00000263946;ENSP00000229795;ENSP00000215659;ENSP00000333685;ENSP00000211287;ENSP00000426632;ENSP00000376457;ENSP00000356070;ENSP00000396467;ENSP00000466174;ENSP00000438262;ENSP00000267859;ENSP00000378288;ENSP00000263708;ENSP00000418663;ENSP00000262013;ENSP00000363667;ENSP00000283228;ENSP00000355866;ENSP00000417183;ENSP00000345853;ENSP00000309116;ENSP00000361014;ENSP00000219169;ENSP00000361467;ENSP00000366474;ENSP00000222574;ENSP00000281092;ENSP00000365514;ENSP00000231656;ENSP00000406229;ENSP00000246662;ENSP00000400010;ENSP00000374409;ENSP00000331678;ENSP00000314153;ENSP00000367433;ENSP00000378400;ENSP00000262366;ENSP00000371897;ENSP00000367177;ENSP00000362125;ENSP00000465419;ENSP00000325634;ENSP00000311290	4	1	GO:0016339	-	-
