network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes	row_rank_p	row_rank_mcc	top_go	top_kegg	top_reac
K1	string	0.9	network_modules	1	TRUE	2.3961810752152845e-35	19	14	13	0.9285714285714286	0.6842105263157895	REAC:R-HSA-77595	REAC	Processing of Intronless Pre-mRNAs	10916	1799		0	0.05263157894736842	19	10897	13	1	6	10896	10916	0.7967914547255702	1	GO:0016070;GO:0006396	ENSG00000090060;ENSG00000119203;ENSG00000071894;ENSG00000176102;ENSG00000125755;ENSG00000177613;ENSG00000145216;ENSG00000101811;ENSG00000165934;ENSG00000160917;ENSG00000149532;ENSG00000136709;ENSG00000111605;ENSG00000167005;ENSG00000218823;ENSG00000187959	1	1	-	-	REAC:R-HSA-77595
K1	string	0.9	network_modules	1	TRUE	1.225281369682256e-30	96	16	16	1	0.16666666666666666	KEGG:03015	KEGG	mRNA surveillance pathway	8484	210		0.1111111111111111	0.15789473684210525	96	8388	16	0	80	8388	8484	0.4063152858046413	3	GO:0016070;GO:0006396	ENSG00000090060;ENSG00000119203;ENSG00000071894;ENSG00000176102;ENSG00000125755;ENSG00000177613;ENSG00000145216;ENSG00000101811;ENSG00000165934;ENSG00000160917;ENSG00000149532;ENSG00000136709;ENSG00000111605;ENSG00000167005;ENSG00000218823;ENSG00000187959	1	1	-	KEGG:03015	-
K1	string	0.9	network_modules	2	TRUE	3.1047605775022756e-26	108	13	13	1	0.12037037037037036	GO:0061640	GO:BP	cytoskeleton-dependent cytokinesis	16175	15599		0	0.14285714285714285	108	16067	13	0	95	16067	16175	0.3459231635652633	1	GO:0008150	ENSG00000138758;ENSG00000184702;ENSG00000140623;ENSG00000125354;ENSG00000168385;ENSG00000122545;ENSG00000184640;ENSG00000108387;ENSG00000100167;ENSG00000180096;ENSG00000186522;ENSG00000164402;ENSG00000154997	1	1	GO:0061640	-	-
K1	string	0.9	network_modules	3	TRUE	5.333750833943263e-30	79	15	15	1	0.189873417721519	KEGG:03018	KEGG	RNA degradation	8484	211		0	0.016129032258064516	79	8405	15	0	64	8405	8484	0.4340950927246408	1	GO:0016070;GO:0009057;GO:0006396;GO:0050789	ENSG00000077348;ENSG00000083520;ENSG00000123737;ENSG00000223496;ENSG00000133858;ENSG00000075914;ENSG00000178896;ENSG00000138035;ENSG00000171311;ENSG00000130713;ENSG00000120699;ENSG00000171824;ENSG00000156502;ENSG00000107371;ENSG00000197223;ENSG00000166938;ENSG00000135698	1	1	-	KEGG:03018	-
K1	string	0.9	network_modules	3	TRUE	2.4355811899258594e-25	16	16	10	0.625	0.625	GO:0071025	GO:BP	RNA surveillance	16175	16425		0.01639344262295082	0.03225806451612903	16	16159	10	6	6	16153	16175	0.6246286898941766	2	GO:0016070;GO:0009057;GO:0006396;GO:0050789	ENSG00000077348;ENSG00000083520;ENSG00000123737;ENSG00000223496;ENSG00000133858;ENSG00000075914;ENSG00000178896;ENSG00000138035;ENSG00000171311;ENSG00000130713;ENSG00000120699;ENSG00000171824;ENSG00000156502;ENSG00000107371;ENSG00000197223;ENSG00000166938;ENSG00000135698	1	2	GO:0071025	-	-
K1	string	0.9	network_modules	3	TRUE	1.1441537828323718e-24	16	15	10	0.6666666666666666	0.625	REAC:R-HSA-429958	REAC	mRNA decay by 3' to 5' exoribonuclease	10916	2709		0.03278688524590164	0.04838709677419355	16	10900	10	5	6	10895	10916	0.6449938787405695	3	GO:0016070;GO:0009057;GO:0006396;GO:0050789	ENSG00000077348;ENSG00000083520;ENSG00000123737;ENSG00000223496;ENSG00000133858;ENSG00000075914;ENSG00000178896;ENSG00000138035;ENSG00000171311;ENSG00000130713;ENSG00000120699;ENSG00000171824;ENSG00000156502;ENSG00000107371;ENSG00000197223;ENSG00000166938;ENSG00000135698	1	1	-	-	REAC:R-HSA-429958
K1	string	0.9	network_modules	4	TRUE	7.418165387432586e-40	774	88	50	0.5681818181818182	0.06459948320413436	GO:0007186	GO:BP	G protein-coupled receptor signaling pathway	16175	2744		0	0.007352941176470588	774	15401	50	38	724	15363	16175	0.18029437729852055	1	GO:0002376;GO:0050896;GO:0050789;GO:0040011;GO:0065008	ENSG00000204308;ENSG00000065054;ENSG00000047932;ENSG00000109062;ENSG00000092820;ENSG00000174827;ENSG00000078369;ENSG00000225697;ENSG00000141480;ENSG00000019582;ENSG00000081237;ENSG00000127914;ENSG00000064547;ENSG00000102882;ENSG00000132155;ENSG00000178726;ENSG00000171132;ENSG00000108691;ENSG00000213088;ENSG00000185974;ENSG00000072062;ENSG00000181929;ENSG00000114349;ENSG00000163914;ENSG00000128567;ENSG00000010292;ENSG00000169429;ENSG00000127533;ENSG00000181104;ENSG00000131808;ENSG00000137819;ENSG00000170820;ENSG00000128602;ENSG00000089220;ENSG00000157514;ENSG00000101188;ENSG00000136940;ENSG00000173020;ENSG00000148824;ENSG00000120500;ENSG00000065325;ENSG00000115263;ENSG00000066230;ENSG00000160801;ENSG00000147065;ENSG00000198959;ENSG00000168398;ENSG00000186471;ENSG00000123143;ENSG00000170776;ENSG00000105127;ENSG00000147081;ENSG00000179841;ENSG00000277632;ENSG00000135046;ENSG00000143839;ENSG00000144476;ENSG00000198121;ENSG00000171517;ENSG00000240771;ENSG00000144891;ENSG00000168959;ENSG00000105443;ENSG00000108700;ENSG00000108688;ENSG00000162104;ENSG00000138039;ENSG00000163823;ENSG00000275152;ENSG00000275718;ENSG00000130561;ENSG00000189052;ENSG00000135346;ENSG00000188488;ENSG00000135919;ENSG00000107130;ENSG00000149295;ENSG00000197471;ENSG00000112164;ENSG00000141433;ENSG00000128271;ENSG00000171049;ENSG00000187474;ENSG00000178104;ENSG00000178104;ENSG00000104827;ENSG00000101200;ENSG00000128271;ENSG00000215644;ENSG00000186188;ENSG00000074706	1	1	GO:0007186	-	-
K1	string	0.9	network_modules	4	TRUE	2.732966532249814e-29	460	73	37	0.5068493150684932	0.08043478260869565	REAC:R-HSA-500792	REAC	GPCR ligand binding	10916	1019		0.007407407407407408	0.014705882352941176	460	10456	37	36	423	10420	10916	0.18978851320296392	2	GO:0002376;GO:0050896;GO:0050789;GO:0040011;GO:0065008	ENSG00000204308;ENSG00000065054;ENSG00000047932;ENSG00000109062;ENSG00000092820;ENSG00000174827;ENSG00000078369;ENSG00000225697;ENSG00000141480;ENSG00000019582;ENSG00000081237;ENSG00000127914;ENSG00000064547;ENSG00000102882;ENSG00000132155;ENSG00000178726;ENSG00000171132;ENSG00000108691;ENSG00000213088;ENSG00000185974;ENSG00000072062;ENSG00000181929;ENSG00000114349;ENSG00000163914;ENSG00000128567;ENSG00000010292;ENSG00000169429;ENSG00000127533;ENSG00000181104;ENSG00000131808;ENSG00000137819;ENSG00000170820;ENSG00000128602;ENSG00000089220;ENSG00000157514;ENSG00000101188;ENSG00000136940;ENSG00000173020;ENSG00000148824;ENSG00000120500;ENSG00000065325;ENSG00000115263;ENSG00000066230;ENSG00000160801;ENSG00000147065;ENSG00000198959;ENSG00000168398;ENSG00000186471;ENSG00000123143;ENSG00000170776;ENSG00000105127;ENSG00000147081;ENSG00000179841;ENSG00000277632;ENSG00000135046;ENSG00000143839;ENSG00000144476;ENSG00000198121;ENSG00000171517;ENSG00000240771;ENSG00000144891;ENSG00000168959;ENSG00000105443;ENSG00000108700;ENSG00000108688;ENSG00000162104;ENSG00000138039;ENSG00000163823;ENSG00000275152;ENSG00000275718;ENSG00000130561;ENSG00000189052;ENSG00000135346;ENSG00000188488;ENSG00000135919;ENSG00000107130;ENSG00000149295;ENSG00000197471;ENSG00000112164;ENSG00000141433;ENSG00000128271;ENSG00000171049;ENSG00000187474;ENSG00000178104;ENSG00000178104;ENSG00000104827;ENSG00000101200;ENSG00000128271;ENSG00000215644;ENSG00000186188;ENSG00000074706	1	1	-	-	REAC:R-HSA-500792
K1	string	0.9	network_modules	4	TRUE	1.6710792432093517e-14	365	68	24	0.35294117647058826	0.06575342465753424	KEGG:04080	KEGG	Neuroactive ligand-receptor interaction	8484	263		0.044444444444444446	0.051470588235294115	365	8119	24	44	341	8075	8484	0.1372943849588616	7	GO:0002376;GO:0050896;GO:0050789;GO:0040011;GO:0065008	ENSG00000204308;ENSG00000065054;ENSG00000047932;ENSG00000109062;ENSG00000092820;ENSG00000174827;ENSG00000078369;ENSG00000225697;ENSG00000141480;ENSG00000019582;ENSG00000081237;ENSG00000127914;ENSG00000064547;ENSG00000102882;ENSG00000132155;ENSG00000178726;ENSG00000171132;ENSG00000108691;ENSG00000213088;ENSG00000185974;ENSG00000072062;ENSG00000181929;ENSG00000114349;ENSG00000163914;ENSG00000128567;ENSG00000010292;ENSG00000169429;ENSG00000127533;ENSG00000181104;ENSG00000131808;ENSG00000137819;ENSG00000170820;ENSG00000128602;ENSG00000089220;ENSG00000157514;ENSG00000101188;ENSG00000136940;ENSG00000173020;ENSG00000148824;ENSG00000120500;ENSG00000065325;ENSG00000115263;ENSG00000066230;ENSG00000160801;ENSG00000147065;ENSG00000198959;ENSG00000168398;ENSG00000186471;ENSG00000123143;ENSG00000170776;ENSG00000105127;ENSG00000147081;ENSG00000179841;ENSG00000277632;ENSG00000135046;ENSG00000143839;ENSG00000144476;ENSG00000198121;ENSG00000171517;ENSG00000240771;ENSG00000144891;ENSG00000168959;ENSG00000105443;ENSG00000108700;ENSG00000108688;ENSG00000162104;ENSG00000138039;ENSG00000163823;ENSG00000275152;ENSG00000275718;ENSG00000130561;ENSG00000189052;ENSG00000135346;ENSG00000188488;ENSG00000135919;ENSG00000107130;ENSG00000149295;ENSG00000197471;ENSG00000112164;ENSG00000141433;ENSG00000128271;ENSG00000171049;ENSG00000187474;ENSG00000178104;ENSG00000178104;ENSG00000104827;ENSG00000101200;ENSG00000128271;ENSG00000215644;ENSG00000186188;ENSG00000074706	1	1	-	KEGG:04080	-
K1	string	0.9	network_modules	5	TRUE	2.8407559776728923e-53	147	30	28	0.9333333333333333	0.19047619047619047	GO:0006261	GO:BP	DNA-templated DNA replication	16175	2078		0	0.01694915254237288	147	16028	28	2	119	16026	16175	0.41983126517700287	1	GO:0006281;GO:0032392;GO:0006260	ENSG00000094804;ENSG00000115942;ENSG00000104738;ENSG00000115947;ENSG00000076003;ENSG00000166508;ENSG00000164815;ENSG00000073111;ENSG00000112118;ENSG00000085840;ENSG00000135336;ENSG00000065328;ENSG00000100297;ENSG00000167513;ENSG00000125885;ENSG00000091651;ENSG00000198554;ENSG00000111877;ENSG00000147536;ENSG00000197771;ENSG00000178460;ENSG00000093009;ENSG00000097046;ENSG00000181938;ENSG00000131153;ENSG00000101003;ENSG00000161036;ENSG00000006634;ENSG00000161692;ENSG00000160957	1	3	GO:0006261	-	-
