network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes	row_rank_p	row_rank_mcc	top_go	top_kegg	top_reac
R1	humanbase	0.5	network_modules	4	TRUE	0.00516199753145213	11	6	2	0.3333333333333333	0.18181818181818182	GO:0030810	GO:BP	positive regulation of nucleotide biosynthetic process	16175	6913		0	1	11	16164	2	4	9	16160	16175	0.24580989962527874	1.5	GO:0050789	ENSG00000256069;ENSG00000163697;ENSG00000281708;ENSG00000176194;ENSG00000156508;ENSG00000124491;ENSG00000048545;ENSG00000113520	1	1	GO:0030810	-	-
R1	humanbase	0.5	network_modules	6	TRUE	0.0018256130950379166	175	4	3	0.75	0.017142857142857144	KEGG:05152	KEGG	Tuberculosis	8484	440		0	0.3333333333333333	175	8309	3	1	172	8308	8484	0.1114522834350581	1	NA	ENSG00000012048;ENSG00000158869;ENSG00000179344;ENSG00000147862;ENSG00000001167;ENSG00000124333	1	1	-	KEGG:05152	-
R1	humanbase	0.5	network_modules	20	TRUE	0.00293243977894383	31	14	3	0.21428571428571427	0.0967741935483871	GO:0098815	GO:BP	modulation of excitatory postsynaptic potential	16175	18902		0	0.5	31	16144	3	11	28	16133	16175	0.14291547382459283	1	GO:0065008;GO:0050789	ENSG00000060971;ENSG00000111348;ENSG00000138115;ENSG00000115325;ENSG00000120129;ENSG00000146674;ENSG00000169047;ENSG00000120149;ENSG00000090266;ENSG00000170322;ENSG00000196092;ENSG00000067606;ENSG00000118160;ENSG00000100678	1	1	GO:0098815	-	-
R1	humanbase	0.5	network_modules	44	TRUE	9.399390566700814e-5	2	6	2	0.3333333333333333	1	GO:1905179	GO:BP	negative regulation of cardiac muscle tissue regeneration	16175	24423		0.034482758620689655	0.1	2	16173	2	4	0	16169	16175	0.5772788679688248	2.5	GO:0065009;GO:0050789	ENSG00000132965;ENSG00000124762;ENSG00000111276;ENSG00000147889;ENSG00000180198;ENSG00000143278	2	1	GO:1905179	-	-
R1	humanbase	0.5	network_modules	44	TRUE	2.966746636265275e-4	46	6	3	0.5	0.06521739130434782	REAC:R-HSA-69231	REAC	Cyclin D associated events in G1	10916	420		0.13793103448275862	0.2	46	10870	3	3	43	10867	10916	0.17948466547512307	5.5	GO:0065009;GO:0050789	ENSG00000132965;ENSG00000124762;ENSG00000111276;ENSG00000147889;ENSG00000180198;ENSG00000143278	1	1	-	-	REAC:R-HSA-69231
R1	humanbase	0.5	network_modules	44	TRUE	3.343516906772941e-4	76	5	3	0.6	0.039473684210526314	KEGG:05220	KEGG	Chronic myeloid leukemia	8484	471		0.20689655172413793	0.23333333333333334	76	8408	3	2	73	8406	8484	0.15232756915838658	7	GO:0065009;GO:0050789	ENSG00000132965;ENSG00000124762;ENSG00000111276;ENSG00000147889;ENSG00000180198;ENSG00000143278	1	1	-	KEGG:05220	-
R1	humanbase	0.5	network_modules	63	TRUE	0.004231551638968058	220	9	4	0.4444444444444444	0.01818181818181818	GO:0050767	GO:BP	regulation of neurogenesis	16175	13241		0.25	0.4	220	15955	4	5	216	15950	16175	0.08776548619757217	2	GO:0050789	ENSG00000187758;ENSG00000176697;ENSG00000137700;ENSG00000196419;ENSG00000140905;ENSG00000203879;ENSG00000261701;ENSG00000197594;ENSG00000171862;ENSG00000105894;ENSG00000130202	2	1	GO:0050767	-	-
R1	humanbase	0.5	network_modules	89	TRUE	0.00145856676457427	5	7	2	0.2857142857142857	0.4	GO:0031340	GO:BP	positive regulation of vesicle fusion	16175	7131		0	0.5	5	16170	2	5	3	16165	16175	0.33782126035976096	1	GO:0050789	ENSG00000135046;ENSG00000182718;ENSG00000168374;ENSG00000104529;ENSG00000154727;ENSG00000197641;ENSG00000124562	1	1	GO:0031340	-	-
R1	humanbase	0.5	network_modules	90	TRUE	0.0013592426355891907	48	8	3	0.375	0.0625	GO:0070227	GO:BP	lymphocyte apoptotic process	16175	15997		0	0.16666666666666666	48	16127	3	5	45	16122	16175	0.1521451045645191	1	GO:0050789	ENSG00000142208;ENSG00000267467;ENSG00000125378;ENSG00000164045;ENSG00000182187;ENSG00000136634;ENSG00000116044;ENSG00000065057	1	1	GO:0070227	-	-
R1	humanbase	0.5	network_modules	122	TRUE	0.0030149944501720693	9	7	2	0.2857142857142857	0.2222222222222222	REAC:R-HSA-629597	REAC	Highly calcium permeable nicotinic acetylcholine receptors	10916	1124		0	0.2	9	10907	2	5	7	10902	10916	0.25143346313144566	1	NA	ENSG00000134982;ENSG00000160224;ENSG00000070669;ENSG00000169684;ENSG00000147432;ENSG00000204287;ENSG00000172349;ENSG00000134333	1	1	-	-	REAC:R-HSA-629597
R1	humanbase	0.5	network_modules	126	TRUE	2.716900763295808e-5	128	12	5	0.4166666666666667	0.0390625	GO:1905952	GO:BP	regulation of lipid localization	16175	25042		0	0.25	128	16047	5	7	123	16040	16175	0.12569939912194644	1	GO:0050789	ENSG00000118137;ENSG00000196433;ENSG00000127022;ENSG00000062038;ENSG00000136161;ENSG00000151726;ENSG00000068366;ENSG00000079459;ENSG00000166573;ENSG00000188342;ENSG00000136244;ENSG00000172005;ENSG00000132646	1	1	GO:1905952	-	-
R1	humanbase	0.5	network_modules	222	TRUE	8.645605021816939e-4	49	2	2	1	0.04081632653061224	KEGG:05030	KEGG	Cocaine addiction	8484	418		0	0.3333333333333333	49	8435	2	0	47	8435	8484	0.20146999108530422	1	NA	ENSG00000213719;ENSG00000115966;ENSG00000171246;ENSG00000132005;ENSG00000165646	1	1	-	KEGG:05030	-
